연도,선수이름,소속팀,생년월일,수상카테고리,수상내역,선수구분
2020,로하스,KT,1990-05-24,최고영예,MVP,타자
2020,로하스,KT,1990-05-24,타격부문,홈런왕,타자
2020,로하스,KT,1990-05-24,타격부문,타점왕,타자
2020,로하스,KT,1990-05-24,수비부문,골든글러브_외야수2,타자
2020,최형우,KIA,1986-07-19,타격부문,타격왕,타자
2020,최형우,KIA,1986-07-19,수비부문,골든글러브_지명타자,타자
2020,알칸타라,두산,1992-09-21,투수부문,최다승,투수
2020,알칸타라,두산,1992-09-21,투수부문,승률상,투수
2020,알칸타라,두산,1992-09-21,수비부문,골든글러브_투수,투수
2020,요키시,키움,1992-02-24,투수부문,평균자책점상,투수
2020,스트레일리,롯데,1988-08-28,투수부문,탈삼진상,투수
2020,조상우,키움,1990-11-19,투수부문,세이브상,투수
2020,양의지,NC,1987-06-06,수비부문,골든글러브_포수,타자
2020,양의지,NC,1987-06-06,특별상,올스타_MVP,타자
2020,양의지,NC,1987-06-06,특별상,한국시리즈_MVP,타자
2020,강백호,KT,1999-07-29,수비부문,골든글러브_1루수,타자
2020,김하성,키움,1995-10-30,수비부문,골든글러브_유격수,타자
2020,박민우,NC,1993-01-06,수비부문,골든글러브_2루수,타자
2020,황재균,KT,1987-12-20,수비부문,골든글러브_3루수,타자
2020,김현수,LG,1988-01-12,수비부문,골든글러브_외야수1,타자
2020,이정후,키움,1998-08-20,수비부문,골든글러브_외야수3,타자
2020,소형준,KT,2001-09-16,신인부문,신인상,타자
2020,나성범,NC,1989-04-03,특별상,페어플레이상,타자
2021,미란다,두산,1989-01-31,최고영예,MVP,투수
2021,미란다,두산,1989-01-31,투수부문,평균자책점상,투수
2021,미란다,두산,1989-01-31,투수부문,탈삼진상,투수
2021,미란다,두산,1989-01-31,수비부문,골든글러브_투수,투수
2021,이정후,키움,1998-08-20,타격부문,타격왕,타자
2021,이정후,키움,1998-08-20,수비부문,골든글러브_외야수1,타자
2021,양의지,NC,1987-06-06,타격부문,타점왕,타자
