연도,선수이름,소속팀,생년월일,수상카테고리,수상내역
2020,알칸타라,두산,1992-09-21,투수부문,최다승
2020,알칸타라,두산,1992-09-21,투수부문,승률상
2020,알칸타라,두산,1992-09-21,수비부문,골든글러브_투수
2020,요키시,키움,1992-02-24,투수부문,평균자책점상
2020,스트레일리,롯데,1988-08-28,투수부문,탈삼진상
2020,조상우,키움,1990-11-19,투수부문,세이브상
2021,미란다,두산,1989-01-31,최고영예,MVP
2021,미란다,두산,1989-01-31,투수부문,평균자책점상
2021,미란다,두산,1989-01-31,투수부문,탈삼진상
2021,미란다,두산,1989-01-31,수비부문,골든글러브_투수
2021,뷰캐넌,삼성,1992-08-01,투수부문,최다승
2021,뷰캐넌,삼성,1992-08-01,투수부문,승률상
2021,요키시,키움,1992-02-24,투수부문,최다승
2021,오승환,삼성,1982-07-15,투수부문,세이브상
2021,고영표,KT,1991-01-03,특별상,페어플레이상
2022,안우진,키움,1999-08-15,투수부문,평균자책점상
2022,안우진,키움,1999-08-15,투수부문,탈삼진상
2022,안우진,키움,1999-08-15,수비부문,골든글러브_투수
2022,켈리,LG,1988-08-28,투수부문,최다승
2022,엄상백,KT,1989-08-26,투수부문,승률상
2022,고우석,LG,1998-07-04,투수부문,세이브상
2023,페디,NC,1991-04-26,최고영예,MVP
2023,페디,NC,1991-04-26,투수부문,평균자책점상
2023,페디,NC,1991-04-26,투수부문,탈삼진상
2023,페디,NC,1991-04-26,투수부문,최다승
2023,페디,NC,1991-04-26,수비부문,골든글러브_투수
2023,쿠에바스,KT,1992-12-19,투수부문,승률상
2023,서진용,SSG,1991-02-13,투수부문,세이브상
2024,곽빈,두산,1994-02-07,투수부문,최다승
2024,원태인,삼성,1994-03-20,투수부문,최다승
2024,네일,KIA,1994-05-15,투수부문,평균자책점상
2024,하트,NC,1992-03-07,투수부문,탈삼진상
2024,박영현,KT,2001-01-24,투수부문,승률상
2024,정해영,KIA,2001-04-20,투수부문,세이브상
2024,원태인,삼성,1994-03-20,특별상,페어플레이상 
