Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,팀,pid
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,,
1,터크먼,22 CF,4.14,144,4.23,-0.09,648,644,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,0.289,0.366,0.43,0.796,0.146,126.5,4.14,한화 이글스,15012
2,정은원,22 2B,3.11,140,3.68,-0.57,601,597,508,67,139,20,2,8,187,49,10,6,85,1,0,109,10,4,3,0.274,0.377,0.368,0.745,0.135,116.7,3.11,한화 이글스,13137
3,최재훈,22 C,2.22,114,1.76,0.47,437,431,364,38,81,14,0,5,110,30,1,1,44,21,0,65,17,5,2,0.223,0.339,0.302,0.641,0.105,90.9,2.22,한화 이글스,10170
4,노시환,22 3B,1.88,115,1.91,-0.03,490,490,434,55,122,24,1,6,166,59,6,2,48,4,1,95,13,0,4,0.281,0.355,0.382,0.737,0.127,109.6,1.88,한화 이글스,14125
5,김인환,22 1B,1.09,113,0.59,0.5,429,428,398,48,104,14,0,16,166,54,2,0,24,3,2,111,4,0,4,0.261,0.305,0.417,0.722,0.111,96.2,1.09,한화 이글스,12589
6,김태연,22 3B,0.9,119,0.74,0.16,464,461,404,46,97,18,0,7,136,53,3,2,48,5,1,106,9,3,4,0.24,0.325,0.337,0.662,0.102,87.6,0.9,한화 이글스,12585
7,박정현,22 SS,0.89,81,0.02,0.87,220,218,205,23,50,4,1,3,65,19,6,1,12,1,0,56,2,2,0,0.244,0.289,0.317,0.606,0.074,63.9,0.89,한화 이글스,14704
8,하주석,22 SS,0.88,125,1.46,-0.58,483,481,445,50,115,18,2,5,152,58,20,6,31,3,1,126,4,1,3,0.258,0.309,0.342,0.651,0.091,79.0,0.88,한화 이글스,10913
9,노수광,22 LF,0.7,117,0.46,0.24,361,351,315,33,72,18,6,4,114,30,17,6,32,1,1,107,2,10,3,0.229,0.299,0.362,0.661,0.097,84.5,0.7,한화 이글스,11268
10,장운호,22 RF,0.45,57,0.11,0.34,146,143,122,12,29,3,0,1,35,15,0,2,17,3,1,24,2,2,2,0.238,0.34,0.287,0.627,0.096,82.1,0.45,한화 이글스,11122
11,장진혁,22 RF,0.17,41,-0.14,0.31,132,131,116,11,27,2,0,2,35,17,2,1,12,0,0,28,1,1,3,0.233,0.298,0.302,0.6,0.074,63.3,0.17,한화 이글스,12583
12,강상원,22 CF,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,한화 이글스,12564
13,김범수,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,한화 이글스,11411
13,문동주,22 P,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,한화 이글스,15013
13,김민우,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,한화 이글스,11410
13,신정락,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,한화 이글스,10516
13,장시환,22 P,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,한화 이글스,10453
13,주현상,22 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,한화 이글스,11415
13,윤호솔,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,한화 이글스,11170
20,백용환,22 C,-0.02,4,-0.03,0.01,5,5,5,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.4,0.6,0.062,53.6,-0.02,한화 이글스,10003
21,권광민,22 LF,-0.03,32,0.09,-0.12,87,87,71,6,16,3,1,0,21,8,0,1,13,1,0,30,0,0,2,0.225,0.345,0.296,0.641,0.104,90.4,-0.03,한화 이글스,13676
22,변우혁,22 1B,-0.03,21,0.01,-0.04,61,61,61,5,16,3,0,3,28,8,0,0,0,0,0,21,3,0,0,0.262,0.262,0.459,0.721,0.103,89.0,-0.03,한화 이글스,14124
23,유상빈,22 LF,-0.09,17,0.21,-0.29,49,47,46,3,15,5,0,0,20,4,0,1,0,0,0,11,0,2,1,0.326,0.319,0.435,0.754,0.118,103.5,-0.09,한화 이글스,15141
