Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
1,최재훈,24 C,0.902,115,95,791.2,811,746,60,5,99.4,9.16,0.35,,0.35,,0.19,1.24,-0.79,,1.57,1.95,8.3,9.88,0.144,0.902,한화 이글스,10170
2,이도윤,24 SS,0.611,112,89,784.0,349,138,198,13,96.3,3.86,-2.12,,0.43,1.7,,,,,0.01,0.01,6.68,6.69,0.001,0.611,한화 이글스,11414
3,황영묵,24 2B,0.453,82,54,518.0,325,143,174,8,97.5,5.51,3.66,,-0.88,-0.34,,,,,2.44,2.85,2.52,4.96,0.222,0.453,한화 이글스,16110
4,이재원,24 C,0.277,71,40,354.0,332,304,27,1,99.7,8.42,-0.33,,0.78,,-0.17,0.17,-1.33,,-0.49,-0.99,3.53,3.04,-0.045,0.277,한화 이글스,10082
5,이원석,24 CF,0.272,40,22,219.0,62,62,0,0,100.0,2.55,2.9,-0.38,0.46,,,,,,2.97,4.92,0.0,2.97,0.272,0.272,한화 이글스,13138
6,유로결,24 RF,0.208,11,1,33.1,7,7,0,0,100.0,1.89,1.79,0.54,0.1,,,,,,2.43,15.19,-0.15,2.28,0.222,0.208,한화 이글스,14126
7,김강민,24 CF,0.196,31,15,153.1,40,40,0,0,100.0,2.35,1.45,0.38,0.32,,,,,,2.14,7.52,0.0,2.14,0.196,0.196,한화 이글스,10108
8,이진영,24 CF,0.17,27,15,131.0,46,46,0,0,100.0,3.16,1.96,-0.36,0.27,,,,,,1.87,6.4,0.0,1.87,0.17,0.17,한화 이글스,12539
9,안치홍,24 2B,0.151,36,36,265.0,168,67,99,2,98.8,5.64,-0.47,,0.6,0.16,,,,,0.29,0.32,1.37,1.66,0.026,0.151,한화 이글스,10014
10,임종찬,24 RF,0.126,13,1,33.0,6,6,0,0,100.0,1.64,1.28,0.12,0.1,,,,,,1.49,8.96,-0.11,1.38,0.136,0.126,한화 이글스,14706
11,권광민,24 1B,0.124,2,0,7.0,9,9,0,0,100.0,11.57,1.39,,0.03,,,,,,1.42,10.78,-0.06,1.36,0.13,0.124,한화 이글스,13676
12,장진혁,24 RF,0.111,15,2,48.1,12,12,0,0,100.0,2.23,1.38,-0.12,0.15,,,,,,1.4,2.04,-0.19,1.21,0.128,0.111,한화 이글스,12583
13,박상언,24 C,0.09,26,9,113.0,97,91,5,1,99.0,7.65,-0.15,,-0.09,,,-1.29,1.99,,-0.14,-0.76,1.13,0.99,-0.013,0.09,한화 이글스,12587
14,문현빈,24 3B,0.087,16,13,119.0,33,9,22,2,93.9,2.34,1.31,,-0.19,-0.17,,,,,0.95,1.33,0.0,0.95,0.087,0.087,한화 이글스,15422
15,정은원,24 LF,0.085,10,9,70.0,20,20,0,0,100.0,2.57,1.18,-0.02,0.08,,,,,,1.24,6.6,-0.31,0.93,0.113,0.085,한화 이글스,13137
16,페라자,24 CF,0.071,2,1,9.0,2,2,0,0,100.0,2.0,0.32,0.44,0.02,,,,,,0.78,0.92,0.0,0.78,0.071,0.071,한화 이글스,16121
17,최인호,24 LF,0.068,62,46,401.2,101,96,3,2,98.0,2.22,4.12,-0.77,-0.55,,,,,,2.8,4.92,-2.06,0.74,0.256,0.068,한화 이글스,14707
18,이도윤,24 2B,0.058,21,8,93.0,56,25,29,2,96.4,5.23,1.18,,-0.44,-0.43,,,,,0.31,0.33,0.33,0.64,0.028,0.058,한화 이글스,11414
19,최인호,24 RF,0.036,4,4,35.0,7,6,1,0,100.0,1.8,0.46,0.01,0.11,,,,,,0.58,1.02,-0.19,0.39,0.053,0.036,한화 이글스,14707
20,유로결,24 LF,0.022,7,3,30.0,7,7,0,0,100.0,2.1,0.08,0.26,0.03,,,,,,0.37,2.34,-0.13,0.24,0.034,0.022,한화 이글스,14126
21,한경빈,24 SS,0.015,1,0,2.0,2,1,1,0,100.0,9.0,-0.13,,0.02,0.25,,,,,0.14,20.42,0.02,0.16,0.013,0.015,한화 이글스,15633
22,정은원,24 CF,0.009,6,6,46.0,13,12,0,1,92.3,2.35,0.94,-0.43,-0.41,,,,,,0.1,0.55,0.0,0.1,0.009,0.009,한화 이글스,13137
23,권광민,24 CF,0.005,1,1,8.0,1,1,0,0,100.0,1.13,-0.17,0.21,0.02,,,,,,0.05,0.39,0.0,0.05,0.005,0.005,한화 이글스,13676
24,유로결,24 CF,0.002,2,2,18.0,2,2,0,0,100.0,1.0,0.08,-0.1,0.04,,,,,,0.02,0.12,0.0,0.02,0.002,0.002,한화 이글스,14126
25,이진영,24 LF,0.001,6,1,17.2,1,1,0,0,100.0,0.51,-0.49,0.57,0.02,,,,,,0.1,0.33,-0.09,0.01,0.009,0.001,한화 이글스,12539
26,권광민,24 RF,-0.001,1,0,1.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.02,-0.01,-0.01,0.0,-0.001,한화 이글스,13676
27,하주석,24 1B,-0.001,1,0,1.0,1,1,0,0,100.0,9.0,,,0.0,,,,,,0.0,0.01,-0.02,-0.02,0.0,-0.001,한화 이글스,10913
