구단,성명,위치,연령(세),신장(cm),체중(kg),계약금($),연봉($),입단연도,국적
KIA,"제임스 네일
(James Naile)",투수,33,193,83," 400,000 "," 1,200,000 ",2024, 미국 
,"아담 올러
(Adam Oller)",투수,32,193,102," 200,000 "," 600,000 ",2025, 미국 
,"패트릭 위즈덤
(Patrick Wisdom)",내야수,35,188,99," 200,000 "," 800,000 ",2025, 미국 
삼성,"덴지 레예스
(Denyi Reyes)",투수,30,188,113," 200,000 "," 700,000 ",2024," 도미니카
공화국 "
,"아리엘 후라도
(Ariel Jurado)",투수,30,188,109," 300,000 "," 700,000 ",2025, 파나마 
,"르윈 디아즈
(Lewin Diaz)",내야수,30,188,105," 100,000 "," 500,000 ",2024," 도미니카
공화국 "
LG,"엘리에이저 에르난데스
(Elieser Hernandez)",투수,31,185,97," 300,000 "," 800,000 ",2024, 베네수엘라 
,"요니 치리노스
(Yonny Chirinos)",투수,33,188,102," 200,000 "," 800,000 ",2025, 베네수엘라 
,"오스틴 딘
(Austin Dean)",내야수,33,183,97," 300,000 "," 1,200,000 ",2023, 미국 
두산,"콜 어빈
(Cole Irvin)",투수,32,193,102," 200,000 "," 800,000 ",2025, 미국 
,"잭 로그
(Zach Logue)",투수,30,183,84," 100,000 "," 700,000 ",2025, 미국 
,"제이크 케이브
(Jake Cave)",외야수,34,183,90," 200,000 "," 800,000 ",2025, 미국 
KT,"윌리엄 쿠에바스
(William Cuevas)",투수,36,188,98," 300,000 "," 1,000,000 ",2023, 베네수엘라 
,"엔마누엘 데 헤이수스
(Enmanuel De Jesus)",투수,30,192,104," 200,000 "," 800,000 ",2025, 베네수엘라 
,"멜 로하스
(Mel Rojas Jr.)",외야수,36,189,102," 300,000 "," 1,500,000 ",2024, 미국 
SSG,"미치 화이트
(Mitchell White)",투수,32,190,95, - ," 1,000,000 ",2025, 미국 
,"드류 앤더슨
(Andrew Anderson)",투수,32,194,83, - ," 1,150,000 ",2024, 미국 
,"기예르모 에레디아
(Guillermo Heredia)",외야수,35,178,88, - ," 1,600,000 ",2023, 미국 
롯데,"터커 데이비슨
(Tucker Davidson)",투수,30,188,97," 350,000 "," 500,000 ",2025, 미국 
,"찰리 반즈
(Charlie Barnes)",투수,31,189,91," 400,000 "," 950,000 ",2022, 미국 
,"빅터 레이예스
(Victor Reyes)",외야수,32,196,87," 200,000 "," 800,000 ",2024, 베네수엘라 
한화,"라이언 와이스
(Ryan Weiss)",투수,30,193,95," 150,000 ","600,000 ",2024, 미국 
,"코디 폰세
(Cody Ponce)",투수,32,198,115," 200,000 "," 800,000 ",2025,미국
,"에스테반 플로리얼
(Estevan Florial)",외야수,29,185,88," 50,000 "," 700,000 ",2025, 아이티 
NC,"라일리 톰슨
(Riely Thompson)",투수,30,190,100," 130,000 "," 520,000 ",2025, 미국 
,"로건 앨런
(Logan Allen)",투수,29,186,105," 140,000 "," 560,000 ",2025, 미국 
,"맷 데이비슨
(Matt Davidson)",내야수,35,190,104," 240,000 "," 960,000 ",2024, 미국 
키움,"케니 로젠버그
(Kenny Rosenberg)",투수,30,186,90, - ," 700,000 ",2025, 미국 
,"루벤 카디네스
(Ruben Cardenas)",외야수,29,188,99, - ," 450,000 ",2025, 미국 
,"야시엘 푸이그
(Yasiel Puig)",외야수,36,188,97, - ," 1,000,000 ",2025, 쿠바 
,,,,,,,,,
