Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,pid,연도,수상횟수,연봉,샐러리캡,이후연봉,예측연봉
류현진,28,28,0,0,0,0,10,8,0,0,158.1,68,78,76.95,679,182,22,1,12,33,3,0,135,10,0,1,3.87,4.43,4.37,4.41,3.67,1.36,4.44,10590,2024,0.0,250000.0,1071046,200000.0,114752.866
주현상,65,0,65,51,0,0,8,4,23,2,71.1,21,22,24.75,267,52,8,2,9,8,1,0,64,0,0,1,2.65,2.78,3.12,3.09,3.85,0.84,3.13,11415,2024,0.0,11000.0,1071046,25000.0,25514.8
와이스,16,16,0,0,0,0,5,5,0,0,91.2,38,43,41.95,384,77,13,5,8,29,3,0,98,7,0,6,3.73,4.22,4.12,4.06,3.65,1.16,2.92,16153,2024,0.0,4800.0,1071046,84000.0,12984.88
문동주,21,21,0,0,0,0,7,7,0,0,111.1,64,71,69.6,502,148,25,3,14,38,4,1,96,4,1,8,5.17,5.74,5.63,5.61,4.71,1.67,1.77,15013,2024,0.0,10000.0,1071046,10000.0,14083.39
황준서,36,11,25,6,0,0,2,8,0,1,72.0,43,44,44.05,341,80,16,0,9,51,5,0,70,1,1,3,5.38,5.5,5.51,5.42,5.67,1.82,1.24,16107,2024,0.0,3000.0,1071046,4500.0,7495.82
박상원,65,0,65,9,0,0,3,3,2,16,66.2,34,38,38.25,278,57,18,0,2,22,7,0,65,3,0,8,4.59,5.13,5.16,5.12,3.47,1.19,1.11,12871,2024,0.0,19500.0,1071046,22000.0,26996.404
이민우,64,0,64,7,0,0,2,1,1,10,55.0,23,25,31.35,235,56,10,2,5,23,1,0,49,2,0,1,3.76,4.09,5.13,4.97,4.41,1.44,0.99,13003,2024,0.0,5600.0,1071046,9400.0,10861.81
한승혁,70,0,70,4,0,0,5,5,0,19,62.2,35,39,37.1,289,63,7,1,2,38,6,2,64,2,0,6,5.03,5.6,5.33,5.27,4.2,1.61,0.94,10812,2024,0.0,4900.0,1071046,9400.0,10628.85
장민재,26,0,26,9,0,0,1,1,0,0,29.0,10,10,12.75,138,46,7,0,2,7,1,0,17,0,0,5,3.1,3.1,3.96,3.88,4.41,1.83,0.74,10610,2024,0.0,15000.0,1071046,15000.0,12162.76
김서현,37,0,37,5,0,0,1,2,0,10,38.1,16,20,20.15,178,31,6,2,0,32,4,0,43,2,0,3,3.76,4.7,4.73,4.93,4.31,1.64,0.71,15421,2024,0.0,53300.0,1071046,5600.0,43887.55
김민우,3,3,0,0,0,0,1,0,0,0,12.1,3,3,3.0,49,7,0,0,2,6,0,0,13,1,0,0,2.19,2.19,2.19,2.44,5.0,1.05,0.62,11410,2024,0.0,16700.0,1071046,13000.0,22902.856
이상규,21,3,18,4,0,0,1,4,0,0,32.0,20,20,18.95,149,39,7,1,5,15,1,1,27,0,0,1,5.63,5.63,5.33,5.29,5.4,1.69,0.48,13245,2024,0.0,4400.0,1071046,4800.0,5349.92
김기중,27,11,16,4,0,0,5,4,0,0,59.0,43,44,42.6,286,83,12,1,8,27,6,0,39,2,0,2,6.56,6.71,6.5,6.56,5.89,1.86,0.33,14808,2024,0.0,4400.0,1071046,6000.0,5837.06
장시환,30,0,30,2,0,0,2,2,0,2,33.1,19,27,22.05,156,34,6,1,3,22,1,0,28,5,0,0,5.13,7.29,5.95,5.96,5.31,1.68,0.28,10453,2024,0.0,25000.0,1071046,20000.0,15593.1
김승일,3,0,3,1,0,0,0,0,0,0,3.0,1,1,0.3,13,4,1,0,0,0,1,0,2,0,0,1,3.0,3.0,0.9,0.9,3.57,1.33,0.12,14711,2024,0.0,3000.0,1071046,3200.0,3608.5
김범수,39,0,39,6,0,0,0,0,0,4,34.0,20,20,25.1,157,33,2,0,11,20,5,1,38,2,0,3,5.29,5.29,6.64,6.53,7.44,1.56,0.08,11411,2024,0.0,19300.0,1071046,14300.0,13993.8
김규연,58,1,57,12,0,0,1,0,0,4,59.0,46,50,46.95,270,66,10,1,6,28,4,1,40,3,0,3,7.02,7.63,7.16,7.05,5.4,1.59,0.01,14871,2024,0.0,4100.0,1071046,5300.0,9191.14
조동욱,21,8,13,6,0,0,1,2,0,0,41.0,29,34,35.9,198,57,10,0,5,14,6,0,32,3,1,1,6.37,7.46,7.88,7.68,5.21,1.73,0.0,16108,2024,0.0,3000.0,1071046,4000.0,5065.38
배민서,1,0,1,0,0,0,0,0,0,0,1.2,3,3,3.0,11,4,1,0,0,3,0,0,1,0,0,0,16.2,16.2,16.2,16.17,8.28,4.2,-0.08,14158,2024,0.0,5100.0,1071046,4100.0,4465.2
김도빈,1,1,0,0,0,0,0,1,0,0,0.1,2,2,2.0,5,1,0,0,0,3,0,0,1,0,0,0,54.0,54.0,54.0,54.0,24.6,12.0,-0.11,16118,2024,0.0,3000.0,1071046,3100.0,5795.3
