Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
1,박동원,24 C,1.975,124,109,944.2,890,809,77,4,99.6,8.44,1.14,,1.4,,0.07,2.15,8.55,,10.75,11.91,10.87,21.62,0.982,1.975,포수
2,이지영,24 C,1.513,117,105,914.2,987,919,61,7,99.3,9.64,1.2,,-0.21,,0.1,1.67,5.34,,6.5,7.61,10.06,16.56,0.594,1.513,포수
3,강민호,24 C,1.181,120,96,803.0,686,631,53,2,99.7,7.67,-0.56,,1.9,,-0.1,0.95,1.84,,3.47,3.68,9.46,12.93,0.317,1.181,포수
4,장성우,24 C,1.046,114,105,856.1,838,780,56,2,99.8,8.79,-0.84,,2.09,,0.32,-3.44,3.83,,0.82,0.9,10.63,11.45,0.075,1.046,포수
5,김형준,24 C,0.967,116,104,870.1,832,761,59,12,98.6,8.48,0.42,,-2.88,,-0.04,1.15,3.15,,0.86,1.04,9.72,10.58,0.079,0.967,포수
6,최재훈,24 C,0.902,115,95,791.2,811,746,60,5,99.4,9.16,0.35,,0.35,,0.19,1.24,-0.79,,1.57,1.95,8.3,9.88,0.144,0.902,포수
7,김기연,24 C,0.895,84,61,579.0,501,474,25,2,99.6,7.76,-0.24,,1.09,,-0.26,1.28,2.43,,3.56,5.4,6.24,9.8,0.325,0.895,포수
8,김태군,24 C,0.858,101,82,640.2,611,567,38,6,99.0,8.5,0.81,,-0.7,,0.11,-1.1,5.58,,3.03,4.15,6.36,9.39,0.277,0.858,포수
9,김재현,24 C,0.787,109,85,758.1,682,627,48,7,99.0,8.01,-1.18,,-0.78,,-0.12,2.21,0.98,,0.81,1.06,7.8,8.61,0.074,0.787,포수
10,양의지,24 C,0.517,76,74,608.1,579,551,24,4,99.3,8.51,0.03,,0.19,,-0.17,-0.93,-1.5,,-1.93,-2.33,7.58,5.66,-0.176,0.517,포수
11,유강남,24 C,0.5,50,42,324.2,303,277,23,3,99.0,8.32,0.59,,-0.33,,,1.0,0.89,,1.88,5.2,3.6,5.48,0.171,0.5,포수
12,한준수,24 C,0.447,103,60,600.1,584,541,39,4,99.3,8.7,-0.57,,0.16,,0.21,0.75,-3.09,,-1.61,-2.02,6.5,4.89,-0.147,0.447,포수
13,조대현,24 C,0.392,26,12,120.0,111,100,11,0,100.0,8.33,-0.15,,0.43,,0.05,2.57,0.44,,3.21,17.79,1.08,4.29,0.293,0.392,포수
14,김건희,24 C,0.296,66,49,431.2,295,267,24,4,98.6,6.07,-0.32,,-0.45,,-0.37,-1.12,0.91,,-1.63,-2.83,4.87,3.24,-0.149,0.296,포수
15,정보근,24 C,0.291,89,42,379.1,373,335,34,4,98.9,8.75,0.41,,-0.64,,0.03,0.39,-0.49,,-0.15,-0.25,3.34,3.18,-0.014,0.291,포수
16,이재원,24 C,0.277,71,40,354.0,332,304,27,1,99.7,8.42,-0.33,,0.78,,-0.17,0.17,-1.33,,-0.49,-0.99,3.53,3.04,-0.045,0.277,포수
17,이병헌,24 C,0.234,90,44,421.2,365,341,21,3,99.2,7.73,-0.5,,0.02,,-0.44,0.01,-0.57,,-1.31,-1.98,3.86,2.56,-0.119,0.234,포수
18,손성빈,24 C,0.228,86,52,445.2,443,414,25,4,99.1,8.87,-1.0,,-0.4,,0.22,-1.43,1.43,,-1.61,-2.7,4.1,2.49,-0.147,0.228,포수
19,박세혁,24 C,0.134,71,36,357.1,311,290,18,3,99.0,7.76,0.41,,-0.22,,0.16,-0.95,-2.27,,-2.18,-3.84,3.65,1.46,-0.2,0.134,포수
