Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
1,로하스,24 RF,6.50,144,6.34,0.16,670,664,572,108,188,39,1,32,325,112,2,1,88,6,9,115,10,0,4,0.329,0.421,0.568,0.989,0.211,153.3,6.50
2,구자욱,24 LF,5.69,129,5.61,0.08,568,563,493,92,169,39,1,33,309,115,13,4,55,12,4,73,6,2,6,0.343,0.417,0.627,1.044,0.228,162.3,5.69
3,홍창기,24 RF,5.06,139,4.48,0.59,637,635,524,96,176,18,3,5,215,73,10,11,96,12,3,93,8,1,4,0.336,0.447,0.410,0.857,0.185,142.3,5.06
4,에레디아,24 LF,4.42,136,4.09,0.33,591,588,541,82,195,31,1,21,291,118,4,3,28,13,3,73,12,0,9,0.360,0.399,0.538,0.937,0.191,137.2,4.42
5,김지찬,24 CF,3.98,135,3.58,0.41,535,521,453,102,143,16,3,3,174,36,42,4,60,9,2,40,5,12,1,0.316,0.405,0.384,0.789,0.157,112.7,3.98
6,권희동,24 LF,3.77,123,3.48,0.29,511,509,416,66,125,22,1,13,188,77,4,0,77,10,1,63,10,2,6,0.300,0.417,0.452,0.869,0.182,137.9,3.77
7,소크라테스,24 LF,3.42,140,3.52,-0.10,602,599,552,92,171,30,3,26,285,97,13,5,41,4,4,91,7,0,5,0.310,0.359,0.516,0.875,0.163,121.2,3.42
8,레이예스,24 RF,3.40,144,3.98,-0.58,632,631,574,88,202,40,3,15,293,111,5,0,46,1,2,82,16,0,11,0.352,0.394,0.510,0.904,0.179,127.5,3.40
9,도슨,24 LF,3.17,95,3.07,0.10,429,429,382,69,126,31,2,11,194,57,2,2,39,6,0,54,10,0,2,0.330,0.399,0.508,0.907,0.187,145.9,3.17
