Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,로하스,24 RF,,80,75,575.0,124,119,3,2,98.4,1.91,-3.59,0.29,0.73,,,,,,-2.57,-2.57,-3.25,-5.82,-0.235,-0.532
0,로하스,24 LF,,85,58,540.0,151,149,2,0,100.0,2.52,5.33,-1.50,0.61,,,,,,4.44,4.44,-2.91,1.53,0.406,0.140
0,로하스,24 CF,,6,2,27.0,12,11,1,0,100.0,4.00,-0.14,0.14,0.06,,,,,,0.05,0.05,0.00,0.05,0.005,0.005
0,구자욱,24 LF,,100,98,802.0,193,188,4,1,99.5,2.15,1.01,-0.93,0.41,,,,,,0.49,0.55,-4.33,-3.84,0.045,-0.351
0,구자욱,24 RF,,4,4,37.1,13,13,0,0,100.0,3.13,0.17,0.19,0.11,,,,,,0.48,0.53,-0.19,0.29,0.043,0.026
0,홍창기,24 CF,,12,9,61.0,14,14,0,0,100.0,2.07,-1.26,0.04,0.13,,,,,,-1.09,-1.13,0.00,-1.09,-0.100,-0.100
0,홍창기,24 RF,,127,120,1037.0,274,257,7,10,96.4,2.29,7.65,0.69,-1.89,,,,,,6.46,6.69,-5.65,0.81,0.590,0.074
0,에레디아,24 LF,,117,115,975.0,222,211,8,3,98.6,2.02,3.21,-0.11,0.11,,,,,,3.21,3.40,-4.97,-1.76,0.293,-0.161
0,에레디아,24 CF,,2,1,14.0,3,3,0,0,100.0,1.93,0.38,0.03,0.03,,,,,,0.44,0.46,0.00,0.44,0.040,0.040
0,김지찬,24 CF,,117,103,859.0,262,259,0,3,98.9,2.71,4.85,0.22,0.28,,,,,,5.35,5.71,0.00,5.35,0.489,0.489
0,권희동,24 CF,,7,7,38.0,11,11,0,0,100.0,2.61,1.23,-0.24,0.08,,,,,,1.07,1.25,0.00,1.07,0.098,0.098
0,권희동,24 RF,,7,5,42.1,11,11,0,0,100.0,2.34,-1.70,-0.01,0.13,,,,,,-1.58,-1.85,-0.23,-1.81,-0.144,-0.165
0,권희동,24 LF,,115,101,834.2,229,216,11,2,99.1,2.45,3.95,-0.11,-0.05,,,,,,3.79,4.43,-4.38,-0.59,0.346,-0.054
0,소크라테스,24 CF,,52,47,366.2,97,93,2,2,97.9,2.33,2.50,0.06,-0.24,,,,,,2.32,2.39,0.00,2.32,0.212,0.212
0,소크라테스,24 RF,,4,1,11.0,5,4,0,1,80.0,3.27,0.60,-0.28,-0.47,,,,,,-0.14,-0.15,-0.07,-0.21,-0.013,-0.020
0,소크라테스,24 LF,,115,86,755.1,174,168,4,2,98.9,2.05,-3.34,-0.04,-0.14,,,,,,-3.53,-3.63,-3.87,-7.40,-0.323,-0.676
0,레이예스,24 CF,,1,0,2.0,2,2,0,0,100.0,9.00,0.35,,0.00,,,,,,0.35,0.35,0.00,0.35,0.032,0.032
0,레이예스,24 RF,,83,81,664.2,130,126,0,4,96.9,1.71,-3.49,-0.17,0.00,,,,,,-3.66,-3.66,-3.55,-7.21,-0.335,-0.659
0,레이예스,24 LF,,47,44,346.0,81,79,2,0,100.0,2.11,-3.14,0.00,0.39,,,,,,-2.75,-2.75,-1.94,-4.69,-0.251,-0.428
0,도슨,24 LF,,63,57,495.0,134,132,0,2,98.5,2.40,2.31,-0.02,-0.44,,,,,,1.84,2.79,-2.63,-0.79,0.168,-0.072
0,도슨,24 CF,,25,22,185.2,58,58,0,0,100.0,2.81,-1.11,-0.48,0.39,,,,,,-1.20,-1.82,0.00,-1.20,-0.110,-0.110
0,윤동희,24 CF,,88,81,696.2,210,204,2,4,98.1,2.66,4.45,0.26,-0.56,,,,,,4.16,4.25,0.00,4.16,0.380,0.380
0,윤동희,24 RF,,61,54,455.0,108,106,2,0,100.0,2.14,-3.05,0.39,1.37,,,,,,-1.29,-1.32,-2.45,-3.74,-0.118,-0.342
0,김재환,24 LF,,45,43,335.1,71,71,0,0,100.0,1.91,-3.11,-0.27,0.38,,,,,,-3.00,-3.18,-1.78,-4.78,-0.274,-0.437
0,고승민,24 LF,,13,12,86.0,19,17,2,0,100.0,1.99,0.29,0.57,0.10,,,,,,0.96,1.15,-0.45,0.51,0.088,0.047
0,고승민,24 RF,,6,3,31.0,9,9,0,0,100.0,2.61,0.74,-0.27,0.09,,,,,,0.57,0.68,-0.15,0.42,0.052,0.038
0,정수빈,24 CF,,133,131,1114.0,319,313,5,1,99.7,2.57,2.03,1.31,1.82,,,,,,5.15,5.46,0.00,5.15,0.471,0.471
0,박건우,24 CF,,3,2,15.0,4,4,0,0,100.0,2.40,-1.41,-0.27,0.03,,,,,,-1.65,-2.67,0.00,-1.65,-0.151,-0.151
0,박건우,24 RF,,68,67,522.0,108,104,3,1,99.1,1.84,-2.73,0.02,1.08,,,,,,-1.63,-2.64,-2.72,-4.35,-0.149,-0.398
0,신민재,24 LF,,1,0,3.0,0,0,0,0,0.0,0.00,0.23,,0.00,,,,,,0.23,0.26,-0.02,0.21,0.021,0.020
0,문성주,24 RF,,25,17,137.0,33,31,1,1,97.0,2.10,1.06,0.40,-0.09,,,,,,1.37,2.05,-0.71,0.66,0.125,0.060
0,문성주,24 LF,,62,51,445.0,118,114,4,0,100.0,2.39,3.41,0.42,0.51,,,,,,4.34,6.51,-2.30,2.04,0.396,0.186
0,문성주,24 CF,,1,0,2.0,1,1,0,0,100.0,4.50,0.50,,0.00,,,,,,0.51,0.76,0.00,0.51,0.046,0.046
0,황성빈,24 RF,,2,0,4.0,1,1,0,0,100.0,2.25,0.51,,0.01,,,,,,0.53,0.61,-0.01,0.52,0.048,0.047
0,황성빈,24 LF,,56,27,291.2,62,58,2,2,96.8,1.85,4.01,-0.55,-0.67,,,,,,2.79,3.21,-1.36,1.43,0.255,0.131
0,황성빈,24 CF,,65,58,453.2,92,87,3,2,97.8,1.79,-4.87,0.36,-0.06,,,,,,-4.57,-5.27,0.00,-4.57,-0.418,-0.418
0,김민혁,24 CF,,14,13,105.1,29,28,0,1,96.6,2.39,-0.88,-0.56,-0.28,,,,,,-1.72,-2.15,0.00,-1.72,-0.157,-0.157
0,김민혁,24 RF,,8,4,34.0,5,5,0,0,100.0,1.32,0.50,-0.14,0.10,,,,,,0.46,0.58,-0.16,0.30,0.042,0.028
0,김민혁,24 LF,,82,70,553.0,131,128,1,2,98.5,2.10,3.88,-0.73,-0.37,,,,,,2.77,3.47,-3.00,-0.23,0.253,-0.021
0,최원준,24 CF,,93,82,624.0,169,163,2,4,97.6,2.38,-3.00,0.55,-0.71,,,,,,-3.16,-3.35,0.00,-3.16,-0.289,-0.289
0,최원준,24 RF,,96,29,399.0,72,69,3,0,100.0,1.62,-0.13,0.19,1.21,,,,,,1.27,1.34,-1.67,-0.40,0.116,-0.037
0,페라자,24 CF,,2,1,9.0,2,2,0,0,100.0,2.00,0.32,0.44,0.02,,,,,,0.78,0.92,0.00,0.78,0.071,0.071
0,페라자,24 RF,,39,39,310.0,82,72,3,7,91.5,2.18,2.01,-0.40,-2.58,,,,,,-0.96,-1.14,-1.72,-2.68,-0.088,-0.245
0,페라자,24 LF,,54,42,349.1,80,75,3,2,97.5,2.01,-0.86,-0.71,-0.61,,,,,,-2.18,-2.57,-1.83,-4.01,-0.199,-0.366
0,강백호,24 RF,,5,3,24.0,4,2,0,2,50.0,0.75,-1.05,-0.03,-0.93,,,,,,-2.01,-2.01,-0.16,-2.17,-0.184,-0.199
0,박해민,24 CF,,143,128,1127.0,286,283,2,1,99.7,2.28,4.18,0.71,1.84,,,,,,6.72,6.72,0.00,6.72,0.614,0.614
0,이주형,24 CF,,48,40,341.0,104,102,1,1,99.0,2.72,2.02,-0.34,0.21,,,,,,1.88,2.36,0.00,1.88,0.172,0.172
0,이주형,24 RF,,58,50,431.1,113,108,3,2,98.2,2.32,1.81,0.46,0.30,,,,,,2.57,3.21,-2.40,0.17,0.234,0.015
0,이주형,24 LF,,1,1,4.0,0,0,0,0,0.0,0.00,-1.42,-0.05,0.00,,,,,,-1.46,-1.82,-0.02,-1.48,-0.133,-0.135
0,전준우,24 LF,,47,47,381.1,90,87,2,1,98.9,2.10,-4.10,0.30,-0.07,,,,,,-3.87,-5.11,-2.04,-5.91,-0.353,-0.540
0,최지훈,24 CF,,119,113,989.2,249,237,5,7,97.2,2.20,-2.90,1.10,-1.45,,,,,,-3.25,-3.74,0.00,-3.25,-0.297,-0.297
0,나성범,24 RF,,67,67,505.0,97,91,5,1,99.0,1.71,-2.51,0.08,1.02,,,,,,-1.40,-1.98,-2.81,-4.21,-0.128,-0.385
0,라모스,24 RF,,79,79,654.2,131,123,4,4,96.9,1.75,-1.65,-0.24,-0.03,,,,,,-1.92,-3.46,-3.44,-5.36,-0.175,-0.490
0,문상철,24 LF,,1,0,2.0,0,0,0,0,0.0,0.00,-0.17,0.11,0.00,,,,,,-0.06,-0.07,-0.01,-0.07,-0.005,-0.006
0,제러드,24 RF,,18,17,147.0,36,34,2,0,100.0,2.20,-1.65,-0.14,0.44,,,,,,-1.35,-5.10,-0.80,-2.15,-0.123,-0.196
