Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,안현민,25 RF,,47,38,325.1,80,68,9,3,96.3,2.13,-0.79,0.63,-0.47,,,,,,-0.63,-1.45,-1.71,-2.34,-0.064,-0.239
0,안현민,25 LF,,1,0,1.0,0,0,0,0,0.0,0.00,-0.83,-0.09,0.00,,,,,,-0.92,-2.11,-0.01,-0.93,-0.094,-0.095
0,안현민,25 CF,,14,12,88.2,19,18,0,1,94.7,1.83,1.33,-0.23,-0.35,,,,,,0.76,1.73,0.00,0.76,0.077,0.077
0,위즈덤,25 LF,,1,0,1.0,0,0,0,0,0.0,0.00,,,0.00,,,,,,0.00,0.00,,,0.000,
0,최형우,25 LF,,4,4,27.0,4,4,0,0,100.0,1.33,0.07,-0.21,0.03,,,,,,-0.10,-0.18,-0.16,-0.26,-0.011,-0.027
0,김성윤,25 CF,,50,42,383.0,108,107,1,0,100.0,2.54,1.67,-0.04,0.68,,,,,,2.32,4.63,0.00,2.32,0.236,0.236
0,김성윤,25 RF,,24,18,147.0,29,28,1,0,100.0,1.78,1.07,-0.48,0.24,,,,,,0.84,1.68,-0.80,0.04,0.086,0.004
0,김성윤,25 LF,,1,0,1.0,0,0,0,0,0.0,0.00,-0.21,,0.00,,,,,,-0.20,-0.41,-0.01,-0.21,-0.021,-0.022
0,케이브,25 RF,,80,80,677.0,138,133,4,1,99.3,1.82,3.84,0.57,0.61,,,,,,5.03,8.83,-3.50,1.53,0.512,0.156
0,이주형,25 CF,,71,66,575.0,202,200,1,1,99.5,3.15,3.95,-0.17,0.52,,,,,,4.29,8.03,0.00,4.29,0.437,0.437
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,레이예스,25 RF,,30,30,236.0,46,45,0,1,97.8,1.72,-1.18,-0.03,-0.12,,,,,,-1.33,-2.07,-1.25,-2.58,-0.135,-0.262
0,레이예스,25 LF,,55,45,396.1,75,75,0,0,100.0,1.70,1.41,-0.40,0.50,,,,,,1.51,2.37,-2.03,-0.52,0.154,-0.053
0,김현수,25 LF,,47,45,351.1,77,75,1,1,98.7,1.95,-0.57,-0.39,-0.06,,,,,,-1.02,-1.62,-1.89,-2.91,-0.103,-0.296
0,박해민,25 CF,,91,85,741.1,195,191,3,1,99.5,2.36,6.31,0.24,0.81,,,,,,7.37,11.66,0.00,7.37,0.750,0.750
0,권희동,25 CF,,6,4,22.0,5,5,0,0,100.0,2.05,-1.69,-0.01,0.04,,,,,,-1.66,-2.88,0.00,-1.66,-0.169,-0.169
0,권희동,25 RF,,3,2,7.0,0,0,0,0,0.0,0.00,-0.32,,0.01,,,,,,-0.31,-0.54,-0.05,-0.36,-0.032,-0.037
0,권희동,25 LF,,74,65,510.1,111,103,7,1,99.1,1.94,1.07,-0.82,0.14,,,,,,0.39,0.68,-2.62,-2.23,0.040,-0.227
0,정수빈,25 CF,,86,85,698.1,166,162,2,2,98.8,2.11,3.18,0.21,0.23,,,,,,3.62,5.99,0.00,3.62,0.369,0.369
0,고승민,25 RF,,2,1,9.1,4,4,0,0,100.0,3.86,0.54,-0.11,0.02,,,,,,0.45,0.91,-0.05,0.40,0.046,0.040
0,고승민,25 LF,,1,0,2.0,0,0,0,0,0.0,0.00,,,0.00,,,,,,0.00,0.01,-0.01,-0.01,0.000,-0.001
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,문현빈,25 CF,,4,1,14.0,4,3,1,0,100.0,2.57,-2.22,0.06,0.02,,,,,,-2.13,-3.49,0.00,-2.13,-0.217,-0.217
0,문현빈,25 LF,,52,51,429.1,75,71,3,1,98.7,1.55,-0.90,-0.44,0.04,,,,,,-1.30,-2.13,-2.21,-3.51,-0.132,-0.357
0,이진영,25 RF,,65,62,483.1,89,86,2,1,98.9,1.64,3.25,0.60,0.29,,,,,,4.14,7.84,-2.29,1.85,0.421,0.188
0,이진영,25 LF,,7,5,52.0,15,14,1,0,100.0,2.60,1.45,0.73,0.07,,,,,,2.25,4.27,-0.23,2.02,0.229,0.206
0,이진영,25 CF,,2,1,7.0,1,1,0,0,100.0,1.29,0.06,,0.01,,,,,,0.07,0.14,0.00,0.07,0.007,0.007
0,플로리얼,25 CF,,63,62,537.1,142,133,4,5,96.5,2.29,1.22,0.22,-1.57,,,,,,-0.13,-0.30,0.00,-0.13,-0.014,-0.014
0,플로리얼,25 LF,,2,1,11.0,4,3,1,0,100.0,3.27,-0.65,0.87,0.01,,,,,,0.23,0.51,-0.05,0.18,0.023,0.018
0,윤동희,25 CF,,12,11,74.0,23,23,0,0,100.0,2.80,-0.54,-0.71,0.13,,,,,,-1.12,-2.87,0.00,-1.12,-0.114,-0.114
0,윤동희,25 RF,,50,42,383.1,92,89,1,2,97.8,2.11,4.77,-0.61,-0.38,,,,,,3.78,9.72,-1.86,1.92,0.385,0.196
0,구자욱,25 LF,,75,71,595.0,126,124,0,2,98.4,1.88,-4.44,-0.95,-0.26,,,,,,-5.64,-9.23,-3.10,-8.74,-0.574,-0.890
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,로하스,25 LF,,29,18,156.1,39,37,1,1,97.4,2.19,-1.22,0.23,-0.31,,,,,,-1.29,-2.19,-0.83,-2.12,-0.132,-0.216
0,로하스,25 CF,,5,5,34.0,7,7,0,0,100.0,1.85,0.79,0.10,0.06,,,,,,0.95,1.61,0.00,0.95,0.097,0.097
0,로하스,25 RF,,50,47,367.1,80,75,3,2,97.5,1.91,0.51,-0.82,-0.40,,,,,,-0.71,-1.20,-1.99,-2.70,-0.072,-0.275
0,신민재,25 CF,,2,1,6.0,0,0,0,0,0.0,0.00,,,0.01,,,,,,0.01,0.02,0.00,0.01,0.001,0.001
0,임지열,25 RF,,4,4,32.0,9,8,1,0,100.0,2.53,-1.71,1.01,0.05,,,,,,-0.65,-1.86,-0.14,-0.79,-0.066,-0.080
0,임지열,25 LF,,27,27,223.0,83,79,2,2,97.6,3.27,4.68,-0.34,-0.73,,,,,,3.61,10.39,-1.15,2.46,0.367,0.250
0,문성주,25 RF,,35,32,286.1,67,63,3,1,98.5,2.07,2.33,-0.61,-0.03,,,,,,1.69,2.96,-1.41,0.28,0.172,0.028
0,문성주,25 LF,,28,22,194.0,49,49,0,0,100.0,2.27,2.98,-0.16,0.25,,,,,,3.07,5.39,-0.95,2.12,0.313,0.216
0,김동혁,25 CF,,20,14,130.0,44,44,0,0,100.0,3.05,2.39,-0.47,0.23,,,,,,2.15,5.08,0.00,2.15,0.219,0.219
0,김동혁,25 RF,,14,7,78.0,25,22,3,0,100.0,2.88,0.42,1.35,0.13,,,,,,1.89,4.47,-0.33,1.56,0.193,0.159
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,김동혁,25 LF,,17,0,20.0,7,7,0,0,100.0,3.15,0.35,-0.23,0.03,,,,,,0.14,0.34,-0.04,0.10,0.015,0.011
0,김재환,25 LF,,32,30,219.1,47,46,1,0,100.0,1.93,2.46,0.29,0.28,,,,,,3.03,5.39,-1.16,1.87,0.309,0.191
0,양도근,25 CF,,3,0,5.0,1,1,0,0,100.0,1.80,-0.12,,0.01,,,,,,-0.11,-0.21,0.00,-0.11,-0.011,-0.011
0,손아섭,25 LF,,11,8,43.0,16,15,1,0,100.0,3.35,1.50,0.09,0.05,,,,,,1.65,3.21,-0.25,1.40,0.168,0.142
0,손아섭,25 RF,,41,38,278.0,61,61,0,0,100.0,1.97,2.38,-0.12,0.46,,,,,,2.72,5.30,-1.49,1.23,0.277,0.125
0,한유섬,25 LF,,6,6,44.0,10,10,0,0,100.0,2.05,1.90,0.49,0.06,,,,,,2.45,4.20,-0.25,2.20,0.249,0.224
0,한유섬,25 RF,,48,46,383.2,66,63,1,2,97.0,1.50,-3.73,-0.47,-0.38,,,,,,-4.58,-7.85,-1.96,-6.54,-0.466,-0.666
0,박건우,25 CF,,7,7,51.0,14,13,0,1,92.9,2.29,-1.19,-0.12,0.09,,,,,,-1.22,-2.66,0.00,-1.22,-0.124,-0.124
0,박건우,25 RF,,40,35,255.2,50,47,2,1,98.0,1.72,-1.24,0.16,-0.08,,,,,,-1.17,-2.55,-1.31,-2.48,-0.119,-0.252
0,전준우,25 LF,,47,46,368.0,69,66,3,0,100.0,1.69,-5.03,-0.42,0.47,,,,,,-4.98,-7.88,-1.96,-6.94,-0.507,-0.707
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,리베라토,25 CF,,15,15,125.0,28,25,1,2,92.9,1.87,0.65,-0.63,-0.79,,,,,,-0.77,-6.13,0.00,-0.77,-0.078,-0.078
0,김호령,25 CF,,50,42,395.1,98,93,2,3,96.9,2.16,-0.70,0.83,-0.81,,,,,,-0.69,-1.97,0.00,-0.69,-0.070,-0.070
0,장두성,25 CF,,51,33,341.0,105,103,1,1,99.0,2.74,3.23,0.12,0.10,,,,,,3.45,7.00,0.00,3.45,0.351,0.351
0,장두성,25 RF,,11,8,77.0,19,18,0,1,94.7,2.10,2.98,-0.55,-0.38,,,,,,2.04,4.15,-0.35,1.69,0.208,0.173
0,장두성,25 LF,,4,0,8.0,1,1,0,0,100.0,1.13,0.56,,0.01,,,,,,0.57,1.16,-0.03,0.54,0.058,0.055
0,최지훈,25 CF,,85,82,728.2,152,147,2,3,98.0,1.84,-1.79,0.33,-0.22,,,,,,-1.68,-2.75,0.00,-1.68,-0.171,-0.171
0,이원석,25 RF,,30,9,123.1,28,26,2,0,100.0,2.04,2.85,-0.14,0.20,,,,,,2.91,5.59,-0.52,2.39,0.297,0.244
0,이원석,25 LF,,19,2,56.1,18,17,0,1,94.4,2.72,3.01,0.42,-0.43,,,,,,2.99,5.75,-0.20,2.79,0.305,0.284
0,이원석,25 CF,,12,11,92.0,23,23,0,0,100.0,2.25,1.89,-0.27,0.16,,,,,,1.79,3.44,0.00,1.79,0.182,0.182
0,최정원,25 RF,,1,0,4.0,1,1,0,0,100.0,2.25,0.12,0.23,0.01,,,,,,0.36,1.03,-0.02,0.34,0.036,0.034
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,최정원,25 LF,,3,1,16.0,4,4,0,0,100.0,2.25,-0.15,-0.44,0.02,,,,,,-0.57,-1.64,-0.07,-0.64,-0.058,-0.065
0,최정원,25 CF,,27,11,124.0,31,29,2,0,100.0,2.25,-0.54,0.74,0.22,,,,,,0.42,1.20,0.00,0.42,0.043,0.043
0,홍창기,25 RF,,38,36,296.2,52,51,1,0,100.0,1.58,-1.16,0.35,0.49,,,,,,-0.32,-1.22,-1.62,-1.94,-0.033,-0.198
0,오선우,25 LF,,28,15,152.2,42,41,1,0,100.0,2.48,-2.18,0.05,0.19,,,,,,-1.94,-3.98,-0.71,-2.65,-0.197,-0.269
0,오선우,25 RF,,17,12,95.0,23,19,3,1,95.7,2.08,-0.34,0.06,-0.35,,,,,,-0.62,-1.28,-0.47,-1.09,-0.063,-0.111
0,에레디아,25 LF,,42,42,366.0,93,89,3,1,98.9,2.26,3.72,0.35,-0.04,,,,,,4.03,12.89,-1.85,2.18,0.410,0.222
0,이유찬,25 RF,,1,1,8.0,2,2,0,0,100.0,2.25,0.78,-0.28,0.01,,,,,,0.51,1.83,-0.03,0.48,0.052,0.049
0,이유찬,25 LF,,2,2,13.0,3,3,0,0,100.0,2.08,0.59,-0.25,0.02,,,,,,0.35,1.27,-0.09,0.26,0.036,0.027
0,김인태,25 LF,,23,15,118.0,27,27,0,0,100.0,2.06,1.02,-0.75,0.15,,,,,,0.42,0.97,-0.57,-0.15,0.043,-0.015
0,김인태,25 RF,,6,0,8.0,2,2,0,0,100.0,2.25,-0.63,-0.23,0.01,,,,,,-0.85,-1.98,-0.02,-0.87,-0.087,-0.089
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
