Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
1,유영찬,25 P,0.0,16,0,18.0,1,1,0,0,100.0,0.5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,김건우,25 P,,29,8,47.0,6,1,3,2,66.7,0.77,,,,,,,,,0.0,0.0,,,0.0,
2,박윤성,25 P,,32,0,30.2,8,5,3,0,100.0,2.35,,,,,,,,,0.0,0.0,,,0.0,
2,박준우,25 P,,7,0,5.2,1,0,1,0,100.0,1.59,,,,,,,,,0.0,0.0,,,0.0,
2,노경은,25 P,,49,0,49.1,7,1,6,0,100.0,1.28,,,,,,,,,0.0,0.0,,,0.0,
2,김태훈,25 P,,45,0,43.2,8,1,5,2,75.0,1.24,,,,,,,,,0.0,,,,0.0,
2,류진욱,25 P,,41,0,43.2,15,3,11,1,93.3,2.89,,,,,,,,,0.0,0.0,,,0.0,
2,최민준,25 P,,27,0,35.0,1,1,0,0,100.0,0.26,,,,,,,,,0.0,0.0,,,0.0,
2,전사민,25 P,,36,0,39.1,10,1,8,1,90.0,2.06,,,,,,,,,0.0,0.0,,,0.0,
2,정해영,25 P,,43,0,45.2,9,2,6,1,88.9,1.58,,,,,,,,,0.0,0.0,,,0.0,
2,황동하,25 P,,13,3,29.1,2,1,1,0,100.0,0.61,,,,,,,,,0.0,0.0,,,0.0,
2,육선엽,25 P,,17,0,19.1,5,0,4,1,80.0,1.86,,,,,,,,,0.0,0.0,,,0.0,
2,김영우,25 P,,38,0,34.2,8,1,7,0,100.0,2.08,,,,,,,,,0.0,0.0,,,0.0,
2,이승현,25 P,,15,0,15.0,2,1,1,0,100.0,1.2,,,,,,,,,0.0,0.0,,,0.0,
2,장현식,25 P,,32,0,31.0,3,1,1,1,66.7,0.58,,,,,,,,,0.0,0.0,,,0.0,
2,이정현,25 P,,4,0,2.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
2,알칸타라,25 P,,8,8,49.0,10,3,7,0,100.0,1.84,,,,,,,,,0.0,,,,0.0,
2,한재승,25 P,,17,0,18.0,2,0,2,0,100.0,1.0,,,,,,,,,0.0,0.0,,,0.0,
2,김서현,25 P,,44,0,42.2,6,0,6,0,100.0,1.27,,,,,,,,,0.0,0.0,,,0.0,
2,김택연,25 P,,40,0,46.0,3,0,2,1,66.7,0.39,,,,,,,,,0.0,0.0,,,0.0,
2,박정훈,25 P,,5,0,5.0,1,0,1,0,100.0,1.8,,,,,,,,,0.0,0.0,,,0.0,
2,이우찬,25 P,,23,0,19.0,4,2,1,1,75.0,1.42,,,,,,,,,0.0,0.0,,,0.0,
2,구승민,25 P,,8,0,6.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
2,김시훈,25 P,,15,0,16.0,2,1,1,0,100.0,1.13,,,,,,,,,0.0,0.0,,,0.0,
2,이정용,25 P,,14,0,13.1,2,0,2,0,100.0,1.35,,,,,,,,,0.0,0.0,,,0.0,
2,조병현,25 P,,42,0,42.0,4,0,4,0,100.0,0.86,,,,,,,,,0.0,0.0,,,0.0,
2,박명근,25 P,,38,0,33.2,10,4,6,0,100.0,2.67,,,,,,,,,0.0,0.0,,,0.0,
2,조동욱,25 P,,38,1,39.0,7,0,7,0,100.0,1.62,,,,,,,,,0.0,0.0,,,0.0,
2,김상수,25 P,,42,0,35.2,5,4,1,0,100.0,1.26,,,,,,,,,0.0,0.0,,,0.0,
2,함덕주,25 P,,4,0,3.0,1,1,0,0,100.0,3.0,,,,,,,,,0.0,0.0,,,0.0,
2,이영하,25 P,,47,0,45.2,17,3,13,1,94.1,3.15,,,,,,,,,0.0,,,,0.0,
2,한두솔,25 P,,27,0,19.0,4,0,4,0,100.0,1.89,,,,,,,,,0.0,0.0,,,0.0,
2,박진,25 P,,27,2,37.1,7,4,3,0,100.0,1.69,,,,,,,,,0.0,0.0,,,0.0,
2,주승우,25 P,,34,0,35.1,5,3,2,0,100.0,1.27,,,,,,,,,0.0,0.0,,,0.0,
2,최현석,25 P,,13,0,17.1,3,1,2,0,100.0,1.56,,,,,,,,,0.0,0.0,,,0.0,
2,홍민규,25 P,,16,2,28.1,3,1,2,0,100.0,0.95,,,,,,,,,0.0,0.0,,,0.0,
2,최동환,25 P,,12,0,10.2,2,0,2,0,100.0,1.69,,,,,,,,,0.0,0.0,,,0.0,
2,김진성,25 P,,53,0,48.1,10,1,9,0,100.0,1.86,,,,,,,,,0.0,0.0,,,0.0,
2,박신지,25 P,,28,0,38.0,8,2,6,0,100.0,1.89,,,,,,,,,0.0,0.0,,,0.0,
