선수,연봉(만원),팀,pid,연도,팀연봉순위,전체연봉순위,계약금(만원),계약금(만원)분할,연봉 총수령액(만원)
가빌리오,44980,SSG 랜더스,14896,2021,8,70,0,0,44980
강경학,8700,KIA 타이거즈,10676,2021,24,264,0,0,8700
강동연,4400,NC 다이노스,10883,2021,44,442,0,0,4400
강동호,3500,롯데 자이언츠,12927,2021,45,491,0,0,3500
강로한,3700,롯데 자이언츠,11389,2021,43,478,0,0,3700
강민,3000,LG 트윈스,14660,2021,69,618,0,0,3000
강민국,5500,KT 위즈,11243,2021,47,390,0,0,5500
강민성,3300,KT 위즈,14191,2021,59,521,0,0,3300
강민호,50000,삼성 라이온즈,10232,2021,7,57,0,0,50000
강백호,31000,KT 위즈,13168,2021,8,84,0,0,31000
강상원,3000,한화 이글스,12564,2021,66,618,0,0,3000
강승호,5000,두산 베어스,11087,2021,38,401,0,0,5000
강원진,7000,두산 베어스,14832,2021,29,305,0,0,7000
강윤구,10000,롯데 자이언츠,10423,2021,19,218,0,0,10000
강재민,7900,한화 이글스,14708,2021,23,291,0,0,7900
강지광,3000,SSG 랜더스,10495,2021,45,618,0,0,3000
강진성,12000,NC 다이노스,11148,2021,22,185,0,0,12000
강태경,3000,NC 다이노스,14647,2021,55,618,0,0,3000
강태율,3200,롯데 자이언츠,11388,2021,52,544,0,0,3200
강한울,12000,삼성 라이온즈,11255,2021,25,185,0,0,12000
강현구,10000,두산 베어스,14773,2021,22,218,0,0,10000
강현우,3000,KT 위즈,14603,2021,67,618,0,0,3000
강효종,23000,LG 트윈스,14780,2021,13,109,0,0,23000
고명성,3000,KT 위즈,13171,2021,67,618,0,0,3000
고명준,12000,SSG 랜더스,14807,2021,20,185,0,0,12000
고봉재,3300,두산 베어스,12605,2021,51,521,0,0,3300
고영찬,2700,KT 위즈,14719,2021,79,809,0,0,2700
고영창,5200,KIA 타이거즈,11068,2021,41,398,0,0,5200
고영표,12000,KT 위즈,11308,2021,21,185,0,0,12000
고우석,18000,LG 트윈스,12907,2021,18,132,0,0,18000
고종욱,11000,SSG 랜더스,10659,2021,21,197,0,0,11000
고효준,5000,LG 트윈스,10124,2021,45,401,0,0,5000
곽빈,3000,두산 베어스,13061,2021,64,618,0,0,3000
구본혁,6300,LG 트윈스,14140,2021,39,345,0,0,6300
구승민,15000,롯데 자이언츠,11291,2021,15,165,0,0,15000
구자욱,36000,삼성 라이온즈,10892,2021,12,79,0,0,36000
구준범,3100,삼성 라이온즈,12645,2021,67,573,0,0,3100
구창모,25000,NC 다이노스,11353,2021,12,105,0,0,25000
국해성,5000,두산 베어스,10172,2021,38,401,0,0,5000
권동진,18000,KT 위즈,14777,2021,13,132,0,0,18000
권동현,5000,롯데 자이언츠,14814,2021,32,401,0,0,5000
권민석,3500,두산 베어스,13079,2021,46,491,0,0,3500
권법수,3000,NC 다이노스,12904,2021,55,618,0,0,3000
권용우,3000,한화 이글스,12582,2021,66,618,0,0,3000
권정웅,4000,삼성 라이온즈,12529,2021,56,455,0,0,4000
권혁경,10000,KIA 타이거즈,14790,2021,16,218,0,0,10000
권혁찬,5000,SSG 랜더스,14860,2021,40,401,0,0,5000
권휘,3200,두산 베어스,13665,2021,53,544,0,0,3200
권희동,17000,NC 다이노스,11172,2021,18,143,0,0,17000
길지석,3000,SSG 랜더스,14685,2021,45,618,0,0,3000
김강률,11000,두산 베어스,10690,2021,19,197,0,0,11000
김강민,20000,SSG 랜더스,10108,2021,14,119,0,0,20000
김강현,3000,롯데 자이언츠,12699,2021,63,618,0,0,3000
김건국,6000,롯데 자이언츠,12944,2021,27,348,0,0,6000
김건우,23000,SSG 랜더스,14803,2021,13,109,0,0,23000
김건태,8000,NC 다이노스,10432,2021,33,271,0,0,8000
김건형,7000,KT 위즈,14779,2021,32,305,0,0,7000
김결의,3000,삼성 라이온즈,12642,2021,74,618,0,0,3000
김경민,3100,삼성 라이온즈,14694,2021,67,573,0,0,3100
김경호,3000,SSG 랜더스,11207,2021,45,618,0,0,3000
김규남,3000,SSG 랜더스,14200,2021,45,618,0,0,3000
김규성,4500,KIA 타이거즈,12540,2021,45,429,0,0,4500
김규연,7000,한화 이글스,14871,2021,26,305,0,0,7000
김기연,3000,LG 트윈스,12549,2021,69,618,0,0,3000
김기중,18000,한화 이글스,14808,2021,8,132,0,0,18000
김기탁,3300,한화 이글스,12875,2021,49,521,0,0,3300
김기환,3000,NC 다이노스,11400,2021,55,618,0,0,3000
김기훈,4000,KIA 타이거즈,14176,2021,49,455,0,0,4000
김대우,5000,롯데 자이언츠,10271,2021,32,401,0,0,5000
김대우,15500,삼성 라이온즈,10685,2021,22,162,0,0,15500
김대유,4000,LG 트윈스,10706,2021,51,455,0,0,4000
김대현,2700,KT 위즈,14883,2021,79,809,0,0,2700
김대현,11000,LG 트윈스,12532,2021,26,197,0,0,11000
김대현,6000,LG 트윈스,14841,2021,40,348,0,0,6000
김도경,3000,두산 베어스,14886,2021,64,618,0,0,3000
김도규,3000,롯데 자이언츠,13148,2021,63,618,0,0,3000
김도윤,9000,두산 베어스,14768,2021,24,249,0,0,9000
김도현,3000,KT 위즈,10764,2021,67,618,0,0,3000
김도환,5200,삼성 라이온즈,14115,2021,45,398,0,0,5200
김동규,3000,롯데 자이언츠,14165,2021,63,618,0,0,3000
김동엽,21000,삼성 라이온즈,12548,2021,16,116,0,0,21000
김동우,3000,롯데 자이언츠,13149,2021,63,618,0,0,3000
김동욱,3000,키움 히어로즈,14681,2021,54,618,0,0,3000
김동은,3000,키움 히어로즈,14683,2021,54,618,0,0,3000
김동주,15000,두산 베어스,14769,2021,18,165,0,0,15000
김동진,9000,삼성 라이온즈,14863,2021,31,249,0,0,9000
김동혁,3000,키움 히어로즈,14674,2021,54,618,0,0,3000
김만수,3100,KT 위즈,12646,2021,66,573,0,0,3100
김명신,4500,두산 베어스,12847,2021,40,429,0,0,4500
김명찬,3500,KIA 타이거즈,11297,2021,54,491,0,0,3500
김문수,3000,두산 베어스,14205,2021,64,618,0,0,3000
김민규,5500,두산 베어스,13072,2021,37,390,0,0,5500
김민서,6000,KT 위즈,14884,2021,41,348,0,0,6000
김민성,40000,LG 트윈스,10238,2021,7,71,0,0,40000
김민수,7000,KT 위즈,11317,2021,32,305,0,0,7000
김민수,3000,NC 다이노스,12903,2021,55,618,0,0,3000
김민수,3200,롯데 자이언츠,12931,2021,52,544,0,0,3200
김민수,4700,삼성 라이온즈,11266,2021,50,425,0,0,4700
김민식,8500,KIA 타이거즈,10707,2021,25,265,0,0,8500
김민우,9000,한화 이글스,11410,2021,19,249,0,0,9000
김민재,3000,SSG 랜더스,12616,2021,45,618,0,0,3000
김민하,4500,한화 이글스,10777,2021,36,429,0,0,4500
김민혁,6500,KT 위즈,11339,2021,38,340,0,0,6500
김민혁,3400,두산 베어스,12970,2021,50,509,0,0,3400
김범수,6500,한화 이글스,11411,2021,28,340,0,0,6500
김범준,3000,NC 다이노스,14222,2021,55,618,0,0,3000
김병휘,3000,키움 히어로즈,14577,2021,54,618,0,0,3000
김병희,3500,KT 위즈,11330,2021,56,491,0,0,3500
김상수,25000,삼성 라이온즈,10320,2021,15,105,0,0,25000
김상수,30000,키움 히어로즈,10427,2021,8,57,40000,20000,50000
김석환,3000,KIA 타이거즈,12917,2021,70,618,0,0,3000
김선기,5300,키움 히어로즈,13092,2021,39,397,0,0,5300
김선빈,45000,KIA 타이거즈,10008,2021,5,68,0,0,45000
김선우,6000,KIA 타이거즈,14822,2021,35,348,0,0,6000
김성균,3000,KT 위즈,14723,2021,67,618,0,0,3000
김성민,3000,SSG 랜더스,14585,2021,45,618,0,0,3000
김성민,6000,키움 히어로즈,12918,2021,34,348,0,0,6000
김성윤,3300,삼성 라이온즈,12936,2021,61,521,0,0,3300
김성진,10000,키움 히어로즈,14849,2021,22,218,0,0,10000
김성표,3300,삼성 라이온즈,11109,2021,61,521,0,0,3300
김성현,25000,SSG 랜더스,10636,2021,9,80,20000,10000,35000
김성훈,3200,KT 위즈,14189,2021,62,544,0,0,3200
김세민,7000,삼성 라이온즈,14865,2021,35,305,0,0,7000
김세현,8000,SSG 랜더스,10431,2021,27,271,0,0,8000
김수환,3000,키움 히어로즈,13096,2021,54,618,0,0,3000
김승일,3000,한화 이글스,14711,2021,66,618,0,0,3000
김시앙,8000,키움 히어로즈,14851,2021,28,271,0,0,8000
김신회,3000,키움 히어로즈,14218,2021,54,618,0,0,3000
김양수,3000,KIA 타이거즈,14645,2021,70,618,0,0,3000
김연준,3000,KIA 타이거즈,14825,2021,70,618,0,0,3000
김영규,8300,NC 다이노스,13088,2021,32,270,0,0,8300
김영중,3000,NC 다이노스,12853,2021,55,618,0,0,3000
김영현,9000,KT 위즈,14869,2021,26,249,0,0,9000
김영환,3300,KIA 타이거즈,11332,2021,60,521,0,0,3300
김용의,10000,LG 트윈스,10466,2021,16,119,10000,10000,20000
김웅빈,5600,키움 히어로즈,12503,2021,38,389,0,0,5600
김원경,8000,KIA 타이거즈,14791,2021,29,271,0,0,8000
김원중,17000,롯데 자이언츠,10825,2021,13,143,0,0,17000
김유민,7000,LG 트윈스,14842,2021,36,305,0,0,7000
김유신,3000,KIA 타이거즈,13114,2021,70,618,0,0,3000
김유영,4500,롯데 자이언츠,11229,2021,38,429,0,0,4500
김윤동,10000,KIA 타이거즈,10821,2021,16,218,0,0,10000
김윤수,8000,삼성 라이온즈,13162,2021,32,271,0,0,8000
김윤식,5000,LG 트윈스,14588,2021,45,401,0,0,5000
김은성,3000,키움 히어로즈,12683,2021,54,618,0,0,3000
김응민,4900,삼성 라이온즈,10890,2021,49,422,0,0,4900
김이환,4100,한화 이글스,14128,2021,37,453,0,0,4100
김인범,3000,키움 히어로즈,14480,2021,54,618,0,0,3000
김인태,6500,두산 베어스,11098,2021,33,340,0,0,6500
김재성,3100,LG 트윈스,11344,2021,60,573,0,0,3100
김재열,3200,KIA 타이거즈,14747,2021,63,544,0,0,3200
김재웅,5200,키움 히어로즈,12858,2021,40,398,0,0,5200
김재유,4200,롯데 자이언츠,11483,2021,40,449,0,0,4200
김재윤,17000,KT 위즈,11489,2021,14,143,0,0,17000
김재중,6000,NC 다이노스,14830,2021,39,348,0,0,6000
김재현,5000,삼성 라이온즈,11289,2021,46,401,0,0,5000
김재현,7000,키움 히어로즈,10870,2021,31,305,0,0,7000
김재호,60000,두산 베어스,10174,2021,5,32,90000,30000,90000
김재환,76000,두산 베어스,10643,2021,7,41,0,0,76000
김정빈,4000,SSG 랜더스,11364,2021,41,455,0,0,4000
김정인,3200,키움 히어로즈,11531,2021,52,544,0,0,3200
김정주,6000,롯데 자이언츠,14815,2021,27,348,0,0,6000
김정호,7000,NC 다이노스,14829,2021,36,305,0,0,7000
김정후,3200,키움 히어로즈,13184,2021,52,544,0,0,3200
김종성,2700,KT 위즈,13002,2021,79,809,0,0,2700
김종수,6100,한화 이글스,11117,2021,29,347,0,0,6100
김주성,3100,LG 트윈스,12545,2021,60,573,0,0,3100
김주온,2700,SSG 랜더스,13057,2021,80,809,0,0,2700
김주완,6000,두산 베어스,14833,2021,34,348,0,0,6000
김주원,18000,NC 다이노스,14765,2021,17,132,0,0,18000
김주현,3100,롯데 자이언츠,12570,2021,58,573,0,0,3100
김주형,3700,키움 히어로즈,14214,2021,48,478,0,0,3700
김준상,8000,NC 다이노스,14827,2021,33,271,0,0,8000
김준완,6000,NC 다이노스,11182,2021,39,348,0,0,6000
김준우,3100,삼성 라이온즈,14119,2021,67,573,0,0,3100
김준태,6500,KT 위즈,10835,2021,38,340,0,0,6500
김준형,11000,키움 히어로즈,14848,2021,20,197,0,0,11000
김지수,3100,한화 이글스,12662,2021,61,573,0,0,3100
김지용,11000,LG 트윈스,10747,2021,26,197,0,0,11000
김지용,7000,LG 트윈스,14843,2021,36,305,0,0,7000
김지찬,7000,삼성 라이온즈,14618,2021,35,305,0,0,7000
김진성,20000,NC 다이노스,11166,2021,14,119,0,0,20000
김진수,13000,LG 트윈스,14781,2021,24,174,0,0,13000
김진영,7900,한화 이글스,12926,2021,23,291,0,0,7900
김진우,6000,NC 다이노스,14831,2021,39,348,0,0,6000
김진욱,40000,롯데 자이언츠,14792,2021,8,71,0,0,40000
김진욱,3900,한화 이글스,13144,2021,40,471,0,0,3900
김진호,3000,NC 다이노스,12897,2021,55,618,0,0,3000
김찬형,5800,SSG 랜더스,12622,2021,38,385,0,0,5800
김찬호,3000,SSG 랜더스,12614,2021,45,618,0,0,3000
김창평,3000,SSG 랜더스,14146,2021,45,618,0,0,3000
김창훈,11000,롯데 자이언츠,14793,2021,17,197,0,0,11000
김철호,3000,NC 다이노스,13083,2021,55,618,0,0,3000
김태경,3000,NC 다이노스,14593,2021,55,618,0,0,3000
김태군,20000,NC 다이노스,10459,2021,14,119,0,0,20000
김태수,3000,삼성 라이온즈,12886,2021,74,618,0,0,3000
김태연,3200,한화 이글스,12585,2021,56,544,0,0,3200
김태욱,3000,한화 이글스,12923,2021,66,618,0,0,3000
김태진,8500,KIA 타이거즈,11244,2021,25,265,0,0,8500
김태현,3000,NC 다이노스,12898,2021,55,618,0,0,3000
김태형,3100,LG 트윈스,12863,2021,60,573,0,0,3100
김태훈,3700,KT 위즈,11336,2021,54,478,0,0,3700
김태훈,16000,SSG 랜더스,10133,2021,17,152,0,0,16000
김태훈,10000,키움 히어로즈,10871,2021,22,218,0,0,10000
김택형,3000,SSG 랜더스,11373,2021,45,618,0,0,3000
김표승,3000,SSG 랜더스,13189,2021,45,618,0,0,3000
김헌곤,16000,삼성 라이온즈,10640,2021,20,152,0,0,16000
김현민,3100,한화 이글스,14209,2021,61,573,0,0,3100
김현수,3500,KIA 타이거즈,14162,2021,54,491,0,0,3500
김현수,100000,LG 트윈스,10187,2021,3,24,0,0,100000
김현우,8000,키움 히어로즈,14856,2021,28,271,0,0,8000
김현준,3100,KIA 타이거즈,12533,2021,66,573,0,0,3100
김현준,6000,삼성 라이온즈,14867,2021,41,348,0,0,6000
김형욱,9000,LG 트윈스,14844,2021,32,249,0,0,9000
김혜성,17000,키움 히어로즈,12905,2021,17,143,0,0,17000
김호령,8500,KIA 타이거즈,11298,2021,25,265,0,0,8500
김호은,5000,LG 트윈스,12554,2021,45,401,0,0,5000
김호재,6000,삼성 라이온즈,13240,2021,41,348,0,0,6000
김휘집,13000,키움 히어로즈,14785,2021,18,174,0,0,13000
나균안,4300,롯데 자이언츠,12930,2021,39,444,0,0,4300
나성범,78000,NC 다이노스,11162,2021,4,38,0,0,78000
나승엽,53000,롯데 자이언츠,14797,2021,4,52,0,0,53000
나원탁,3000,롯데 자이언츠,12935,2021,63,618,0,0,3000
나주환,10000,KIA 타이거즈,10092,2021,16,218,0,0,10000
나지완,40000,KIA 타이거즈,10030,2021,6,71,0,0,40000
남재현,3200,KIA 타이거즈,12535,2021,63,544,0,0,3200
남지민,3000,한화 이글스,14619,2021,66,618,0,0,3000
남태혁,3000,SSG 랜더스,12521,2021,45,618,0,0,3000
남호,3300,두산 베어스,14139,2021,51,521,0,0,3300
노경은,20000,롯데 자이언츠,10203,2021,11,119,0,0,20000
노성호,7000,삼성 라이온즈,11144,2021,35,305,0,0,7000
노수광,17300,한화 이글스,11268,2021,10,142,0,0,17300
노시환,6000,한화 이글스,14125,2021,30,348,0,0,6000
노시훈,3000,NC 다이노스,14649,2021,55,618,0,0,3000
노진혁,23000,NC 다이노스,11165,2021,13,109,0,0,23000
노태형,3400,한화 이글스,11269,2021,45,509,0,0,3400
다카하시,7800,KIA 타이거즈,14994,2021,31,293,0,0,7800
데스파이네,104000,KT 위즈,14602,2021,1,20,0,0,104000
도태훈,3200,NC 다이노스,12560,2021,49,544,0,0,3200
라모스,104000,LG 트윈스,14592,2021,2,20,0,0,104000
라이블리,65000,삼성 라이온즈,14232,2021,6,46,0,0,65000
로맥,117000,SSG 랜더스,12991,2021,5,18,0,0,117000
로켓,96590,두산 베어스,14750,2021,3,27,0,0,96590
루친스키,208000,NC 다이노스,13932,2021,1,2,0,0,208000
류원석,3300,LG 트윈스,13251,2021,56,521,0,0,3300
류지혁,10000,KIA 타이거즈,10894,2021,16,218,0,0,10000
류진욱,3000,NC 다이노스,11355,2021,55,618,0,0,3000
류효승,3000,SSG 랜더스,14586,2021,45,618,0,0,3000
류희운,3800,KT 위즈,12655,2021,53,472,0,0,3800
르위키,84500,SSG 랜더스,14758,2021,7,34,0,0,84500
마차도,84500,롯데 자이언츠,14629,2021,3,34,0,0,84500
멩덴,94250,KIA 타이거즈,14755,2021,4,29,0,0,94250
모창민,30000,NC 다이노스,10093,2021,8,85,0,0,30000
몽고메리,71500,삼성 라이온즈,14898,2021,5,42,0,0,71500
문경찬,11500,NC 다이노스,11299,2021,23,195,0,0,11500
문대원,3100,두산 베어스,12848,2021,55,573,0,0,3100
문동욱,3600,한화 이글스,11230,2021,42,486,0,0,3600
문보경,3000,LG 트윈스,14137,2021,69,618,0,0,3000
문상인,3200,KT 위즈,13227,2021,62,544,0,0,3200
문상준,3000,KT 위즈,14720,2021,67,618,0,0,3000
문상철,6000,KT 위즈,11333,2021,41,348,0,0,6000
문선재,4000,KIA 타이거즈,10468,2021,49,455,0,0,4000
