Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
하주석,21 SS,0.692,113,111,923.2,376,131,231,14,96.3,3.53,-3.46,,0.0,0.99,,,,,-2.48,-2.58,9.46,6.98,-0.246,109139
이해창,21 C,0.18,20,16,149.0,129,112,16,1,99.2,7.73,0.27,,-0.02,,-0.06,0.56,-0.54,,0.37,2.68,1.44,1.81,0.037,103919
김현민,21 2B,0.089,3,1,13.0,7,2,5,0,100.0,4.85,0.95,,0.02,-0.11,,,,,0.85,24.46,0.05,0.9,0.084,142099
이성열,21 1B,0.019,10,7,64.0,52,46,5,1,98.1,7.17,0.7,,0.05,,,,,,0.76,2.37,-0.56,0.2,0.075,101689
장규현,21 C,0.019,4,1,16.0,12,12,0,0,100.0,6.75,0.0,,0.05,,,0.0,0.0,,0.05,1.01,0.14,0.19,0.005,148119
이성곤,21 1B,-0.115,38,34,283.0,268,251,13,4,98.5,8.4,1.78,,-0.26,,0.06,,,,1.58,3.66,-2.74,-1.16,0.156,112069
허관회,21 C,-0.14,17,9,94.0,78,74,3,1,98.7,7.37,-0.12,,-0.2,,,-0.31,-2.67,,-2.49,-12.83,1.08,-1.41,-0.247,142049
힐리,21 1B,-0.228,62,59,527.0,526,479,42,5,99.0,8.9,2.92,,-0.06,,-0.12,,,,2.74,5.88,-5.04,-2.3,0.272,147619
임종찬,21 RF,-0.366,40,38,329.0,71,70,0,1,98.6,1.91,-1.39,-0.81,-0.05,,,,,,-2.25,-7.71,-1.44,-3.69,-0.223,147069
윤대경,21 P,,43,9,77.2,6,4,2,0,100.0,0.7,,,,,,,,,0.0,,,,0.0,111109
장민재,21 P,,12,6,29.1,2,0,2,0,100.0,0.61,,,,,,,,,0.0,0.0,,,0.0,106109
카펜터,21 P,,31,30,170.0,25,6,16,3,88.0,1.16,,,,,,,,,0.0,,,,0.0,147609
임준섭,21 P,,13,0,10.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,107959
김종수,21 P,,47,0,46.2,6,2,4,0,100.0,1.16,,,,,,,,,0.0,0.0,,,0.0,111179
신정락,21 P,,20,0,20.0,5,2,3,0,100.0,2.25,,,,,,,,,0.0,0.0,,,0.0,105169
송윤준,21 P,,16,0,12.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,107489
김기탁,21 P,,17,0,12.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,128759
정우람,21 P,,50,0,44.2,6,1,5,0,100.0,1.21,,,,,,,,,0.0,0.0,,,0.0,101569
윤호솔,21 P,,54,0,48.2,1,0,0,1,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,111709
강재민,21 P,,58,0,63.1,11,5,6,0,100.0,1.56,,,,,,,,,0.0,0.0,,,0.0,147089
오지환,21 SS,1.738,132,129,1060.2,547,175,359,13,97.6,4.53,7.69,,-0.28,-0.34,,,,,7.07,7.6,10.46,17.53,0.701,104756
유강남,21 C,1.024,129,117,961.0,897,829,65,3,99.7,8.37,-1.21,,2.61,,-0.42,0.59,-2.26,,-0.01,-0.01,10.34,10.33,-0.001,107536
