선수,연봉(만원),WAR,WAR당 연봉,팀,pid
정우람,80000,-0.40,-198244,한화 이글스,10156
힐리,50000,0.63,79974,한화 이글스,14761
이성열,40000,-0.07,-601907,한화 이글스,10168
카펜터,30000,2.79,10768,한화 이글스,14760
페레즈,30000,0.72,41833,한화 이글스,14991
최재훈,26000,4.84,5367,한화 이글스,10170
킹험,25000,4.20,5957,한화 이글스,14582
노수광,17300,0.17,99751,한화 이글스,11268
장시환,15400,-0.34,-44832,한화 이글스,10453
하주석,13500,3.17,4254,한화 이글스,10913
정은원,12000,4.46,2693,한화 이글스,13137
정진호,12000,0.08,147045,한화 이글스,10645
장민재,10000,0.41,24267,한화 이글스,10610
김민우,9000,3.90,2305,한화 이글스,11410
신정락,8000,-0.68,-11747,한화 이글스,10516
강재민,7900,1.79,4410,한화 이글스,14708
김진영,7900,0.05,151718,한화 이글스,12926
윤대경,7700,1.39,5526,한화 이글스,11110
김범수,6500,0.50,12872,한화 이글스,11411
김종수,6100,-0.11,-56894,한화 이글스,11117
노시환,6000,4.21,1424,한화 이글스,14125
이해창,6000,-0.30,-20226,한화 이글스,10391
임준섭,5800,-0.35,-16395,한화 이글스,10795
이성곤,5400,0.90,6007,한화 이글스,11206
김민하,4500,0.59,7603,한화 이글스,10777
김이환,4100,-0.17,-23741,한화 이글스,14128
백용환,4000,-0.62,-6485,한화 이글스,10003
송윤준,4000,0.30,13196,한화 이글스,10748
김진욱,3900,-,-,한화 이글스,13144
서균,3700,-0.08,-43733,한화 이글스,11271
문동욱,3600,0.05,65526,한화 이글스,11230
임종찬,3600,-1.29,-2782,한화 이글스,14706
장운호,3500,0.92,3785,한화 이글스,11122
노태형,3400,-0.45,-7489,한화 이글스,11269
박정현,3400,-0.18,-19293,한화 이글스,14704
최인호,3400,0.89,3820,한화 이글스,14707
조한민,3400,-0.33,-10374,한화 이글스,14210
장웅정,3300,-0.10,-33828,한화 이글스,14714
이동훈,3300,-0.51,-6475,한화 이글스,12526
박주홍,3300,-0.08,-43602,한화 이글스,13136
황영국,3300,-0.06,-57547,한화 이글스,11278
오동욱,3300,-0.09,-36793,한화 이글스,14713
김기탁,3300,-0.17,-19475,한화 이글스,12875
주현상,3300,0.67,4898,한화 이글스,11415
유로결,3200,-0.94,-3415,한화 이글스,14126
정기훈,3200,-,-,한화 이글스,12985
김태연,3200,2.75,1163,한화 이글스,12585
