Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
1,이도윤,23 SS,1.297,97,90,746.0,368,157,203,8,97.8,4.34,4.29,,0.76,1.31,,,,,6.37,8.66,6.34,12.71,0.65,1.297,한화 이글스,11414
2,최재훈,23 C,1.18,120,106,884.1,774,704,67,3,99.6,7.85,0.65,,0.8,,-0.02,0.36,0.23,,1.95,2.24,9.62,11.57,0.199,1.18,한화 이글스,10170
3,노시환,23 3B,0.369,122,121,1065.2,361,114,228,19,94.7,2.89,4.55,,-0.5,-0.11,-0.32,,,,3.61,3.97,0.0,3.61,0.369,0.369,한화 이글스,14125
4,박상언,23 C,0.347,79,38,388.2,368,333,34,1,99.7,8.5,-0.39,,0.51,,-0.02,-0.17,-0.12,,-0.15,-0.24,3.55,3.41,-0.015,0.347,한화 이글스,12587
5,문현빈,23 2B,0.325,54,42,358.0,184,77,102,5,97.3,4.5,2.34,,-0.52,-0.46,,,,,1.36,1.42,1.83,3.19,0.138,0.325,한화 이글스,15422
6,정은원,23 2B,0.32,101,92,797.2,441,188,245,8,98.2,4.89,-2.03,,0.67,0.43,,,,,-0.93,-1.09,4.06,3.13,-0.095,0.32,한화 이글스,13137
7,이진영,23 RF,0.23,80,53,509.1,140,127,9,4,97.1,2.4,5.24,0.51,-1.0,,,,,,4.75,5.65,-2.49,2.26,0.484,0.23,한화 이글스,12539
8,이원석,23 CF,0.18,64,25,294.1,98,93,3,2,98.0,2.94,1.9,-0.02,-0.12,,,,,,1.76,3.13,0.0,1.76,0.18,0.18,한화 이글스,13138
9,오선진,23 2B,0.177,8,3,30.0,21,14,7,0,100.0,6.3,1.73,,0.08,-0.17,,,,,1.64,2.62,0.1,1.74,0.167,0.177,한화 이글스,10557
10,김태연,23 RF,0.151,30,26,188.2,48,45,2,1,97.9,2.24,2.78,-0.2,-0.13,,,,,,2.45,3.88,-0.97,1.48,0.25,0.151,한화 이글스,12585
11,최인호,23 LF,0.137,37,35,271.1,77,76,0,1,98.7,2.52,3.09,-0.3,-0.01,,,,,,2.78,9.77,-1.44,1.34,0.284,0.137,한화 이글스,14707
12,노수광,23 CF,0.135,7,4,41.1,10,10,0,0,100.0,2.18,1.48,-0.21,0.05,,,,,,1.32,6.34,0.0,1.32,0.135,0.135,한화 이글스,11268
13,이도윤,23 2B,0.133,15,2,57.0,36,14,22,0,100.0,5.68,0.74,,0.15,0.2,,,,,1.09,1.48,0.21,1.3,0.111,0.133,한화 이글스,11414
14,김태연,23 2B,0.11,6,5,41.0,30,8,21,1,96.7,6.37,0.77,,0.11,,,,,,0.88,1.39,0.2,1.08,0.09,0.11,한화 이글스,12585
15,문현빈,23 SS,0.098,9,5,48.0,25,10,13,2,92.0,4.31,0.79,,-0.38,0.16,,,,,0.56,0.59,0.4,0.96,0.057,0.098,한화 이글스,15422
16,윌리엄스,23 RF,0.097,21,21,159.0,36,33,1,2,94.4,1.92,3.08,-0.57,-0.68,,,,,,1.82,3.86,-0.87,0.95,0.186,0.097,한화 이글스,15647
17,오그레디,23 LF,0.083,15,15,126.2,37,36,1,0,100.0,2.63,0.89,0.29,0.22,,,,,,1.41,9.21,-0.59,0.82,0.143,0.083,한화 이글스,15541
18,김태연,23 3B,0.078,9,4,38.0,7,3,4,0,100.0,1.66,0.4,,0.09,0.28,,,,,0.77,1.22,0.0,0.77,0.078,0.078,한화 이글스,12585
19,권광민,23 1B,0.077,8,1,20.0,23,20,2,1,95.7,9.9,1.35,,-0.46,,,,,,0.89,1.95,-0.14,0.75,0.091,0.077,한화 이글스,13676
20,이명기,23 LF,0.062,2,1,14.0,6,5,0,1,83.3,3.21,1.1,0.04,-0.47,,,,,,0.67,6.94,-0.07,0.6,0.069,0.062,한화 이글스,10119
21,이진영,23 LF,0.055,21,15,140.1,35,34,0,1,97.1,2.18,2.34,-0.9,-0.25,,,,,,1.2,1.42,-0.66,0.54,0.122,0.055,한화 이글스,12539
22,이민준,23 SS,0.054,4,0,8.0,2,1,1,0,100.0,2.25,0.47,,0.02,,,,,,0.49,17.69,0.04,0.53,0.05,0.054,한화 이글스,15423
23,유로결,23 LF,0.052,8,3,33.0,7,7,0,0,100.0,1.91,0.64,-0.07,0.06,,,,,,0.63,3.36,-0.12,0.51,0.064,0.052,한화 이글스,14126
24,박정현,23 2B,0.044,2,0,7.0,1,1,0,0,100.0,1.29,0.39,,0.02,,,,,,0.41,1.11,0.02,0.43,0.042,0.044,한화 이글스,14704
25,채은성,23 RF,0.039,23,22,171.1,37,34,2,1,97.3,1.89,1.05,0.41,-0.16,,,,,,1.29,1.36,-0.91,0.38,0.132,0.039,한화 이글스,11215
26,박정현,23 SS,0.039,32,20,186.0,91,37,47,7,92.3,4.06,-0.41,,-0.55,-0.13,,,,,-1.1,-2.98,1.48,0.38,-0.112,0.039,한화 이글스,14704
27,이재용,23 C,0.039,2,0,4.0,2,2,0,0,100.0,4.5,0.0,,0.01,,,,0.46,,0.33,23.9,0.05,0.38,0.034,0.039,한화 이글스,12902
28,김인환,23 LF,0.034,1,0,2.0,0,0,0,0,0.0,0.0,0.23,0.11,0.0,,,,,,0.34,0.44,-0.01,0.33,0.035,0.034,한화 이글스,12589
29,문현빈,23 3B,0.03,1,0,1.0,2,1,1,0,100.0,18.0,0.47,,0.0,-0.18,,,,,0.29,0.31,0.0,0.29,0.03,0.03,한화 이글스,15422
30,유로결,23 RF,0.03,14,8,80.0,13,12,1,0,100.0,1.46,0.51,-0.07,0.15,,,,,,0.59,3.16,-0.3,0.29,0.06,0.03,한화 이글스,14126
31,유상빈,23 RF,0.022,1,1,8.0,1,1,0,0,100.0,1.13,0.23,,0.02,,,,,,0.24,11.74,-0.03,0.21,0.025,0.022,한화 이글스,15141
32,장진혁,23 LF,0.011,27,17,153.2,34,32,1,1,97.1,1.93,0.47,0.47,-0.22,,,,,,0.72,1.53,-0.61,0.11,0.074,0.011,한화 이글스,12583
33,오선진,23 1B,0.01,6,2,25.0,21,20,1,0,100.0,7.56,0.25,,0.05,,,,,,0.3,0.48,-0.2,0.1,0.03,0.01,한화 이글스,10557
34,오선진,23 3B,-0.001,30,13,127.0,38,12,24,2,94.7,2.55,-0.49,,0.29,0.19,,,,,-0.01,-0.01,0.0,-0.01,-0.001,-0.001,한화 이글스,10557
35,장진혁,23 RF,-0.006,17,6,79.0,17,17,0,0,100.0,1.94,0.65,-0.53,0.15,,,,,,0.27,0.57,-0.33,-0.06,0.027,-0.006,한화 이글스,12583
36,권광민,23 RF,-0.017,3,0,4.0,1,1,0,0,100.0,2.25,-0.29,0.13,0.01,,,,,,-0.15,-0.33,-0.01,-0.16,-0.016,-0.017,한화 이글스,13676
37,노시환,23 1B,-0.018,3,0,4.0,3,2,1,0,100.0,6.75,-0.63,,0.01,,0.46,,,,-0.16,-0.18,-0.02,-0.18,-0.016,-0.018,한화 이글스,14125
38,장운호,23 LF,-0.024,1,1,6.0,1,1,0,0,100.0,1.5,-0.22,,0.01,,,,,,-0.21,-7.42,-0.03,-0.24,-0.021,-0.024,한화 이글스,11122
39,이원석,23 RF,-0.025,12,2,42.1,8,8,0,0,100.0,1.7,-0.31,0.13,0.08,,,,,,-0.1,-0.17,-0.15,-0.25,-0.01,-0.025,한화 이글스,13138
40,김태연,23 1B,-0.031,32,23,191.0,202,189,12,1,99.5,9.47,1.15,,0.35,,-0.08,,,,1.41,2.24,-1.72,-0.31,0.144,-0.031,한화 이글스,12585
41,이도윤,23 3B,-0.032,3,0,6.0,2,1,1,0,100.0,3.0,-0.14,,0.01,-0.18,,,,,-0.31,-0.42,0.0,-0.31,-0.032,-0.032,한화 이글스,11414
