구단,성명,위치,연령(세),신장(cm),체중(kg),계약금($),연봉($),입단연도,국적
LG,"케이시 켈리
",투수,35,191,98,"400,000","800,000",2019,미국
LG,디트릭 엔스,투수,33,185,95,"300,000","600,000",2024,미국
LG,오스틴 딘,내야수,31,183,97,"300,000","800,000",2023,미국
KT,웨스 벤자민,투수,31,188,95,"400,000","900,000",2022,미국
KT,"윌리엄 쿠에바스
(William Cuevas)",투수,34,188,98,"300,000","1,000,000",2019,베네수엘라
KT,"멜 로하스 주니어
(Mel Rojas Jr.)",외야수,34,189,102,"100,000","500,000",2017,미국
SSG,"로버트 더거
(Robert Dugger)",투수,29,183,83,"100,000","650,000",2024,미국
SSG,"로에니스 엘리아스
(Roenis Elias)",투수,36,185,92,"100,000","650,000",2023,쿠바
SSG,"기에르모 에레디아
(Guillermo Heredia)",외야수,33,178,88,"150,000","1,150,000",2023,쿠바
NC,"다니엘 카스타노
(Daniel Castano)",투수,30,190,104,"130,000","520,000",2024,미국
NC,"카일 하트
(Kyle Hart)",투수,32,196,90,"200,000","500,000",2024,미국
NC,"메튜 데이비슨
(Matthew Davidson)",내야수,31,190,104,"140,000","560,000",2024,미국
두산,"브랜든 와델
(Brandon Waddell)",투수,30,190,81,"250,000","750,000",2022,미국
두산,"라울 알칸타라
(Raul Alcantara)",투수,32,193,100,"500,000","800,000","2019(KT)
2020(두산)",도미니카
두산,"헨리 라모스
(Henry Ramos)",외야수,32,183,97,"50,000","550,000","2022(KT)
2024(두산)",푸에르토리코
KIA,"윌리엄 크로우
(William Crowe)",투수,30,185,108,"200,000","600,000",2024,미국
KIA,"제임스 네일
(James Naile)",투수,31,193,83,"200,000","350,000",2024,미국
KIA,"소크라테스 브리또
(Socrates Brito)",외야수,32,188,93,"300,000","500,000",2022,도미니카
롯데,"찰리 반즈
(Charlie Barnes)",투수,29,189,91,"350,000","850,000",2022,미국
롯데,"애런 윌커슨
(Aaron Wilkerson)",투수,35,188,104,"150,000","600,000",2023,미국
롯데,"빅터 레이예스
(Victor Reyes)",외야수,30,196,87,"100,000","600,000",2024,베네수엘라
삼성,"데니 레예스
(Denyi Reyes)",투수,28,198,113,"100,000","500,000",2024,도미니카
삼성,"코너 시볼드
(Connor Seabold)",투수,28,188,95,"100,000","800,000",2024,미국
삼성,"데이비드 맥키넌
(David MacKinnon)",내야수,30,188,101,"100,000","900,000",2024,미국
한화,"리카르도 산체스
(Ricardo Sanchez)",투수,27,178,99,"100,000","500,000",2023,베네수엘라
한화,"펠릭스 페냐
(Felix Pena)",투수,34,188,99,"200,000","650,000",2022,도미니카
한화,"요나단 페라자
(Yonathan Perlaza)",외야수,26,175,88,"200,000","600,000",2024,베네수엘라
키움,"아리엘 후라도
(Ariel Jurado)",투수,28,187,109, - ,"1,200,000",2023,파나마
키움,"헤이수스
(Enmanuel De Jesus)",투수,28,192,104, - ,"600,000",2024,베네수엘라
키움,"로니 도슨
(Ronnie Dawson)",외야수,29,183,100, - ,"550,000",2023,미국
