Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
1,최재훈,24 C,0.902,115,95,791.2,811,746,60,5,99.4,9.16,0.35,,0.35,,0.19,1.24,-0.79,,1.57,1.95,8.3,9.88,0.144,101709
4,이재원,24 C,0.277,71,40,354.0,332,304,27,1,99.7,8.42,-0.33,,0.78,,-0.17,0.17,-1.33,,-0.49,-0.99,3.53,3.04,-0.045,100829
7,김강민,24 CF,0.196,31,15,153.1,40,40,0,0,100.0,2.35,1.45,0.38,0.32,,,,,,2.14,7.52,0.0,2.14,0.196,101089
13,박상언,24 C,0.09,26,9,113.0,97,91,5,1,99.0,7.65,-0.15,,-0.09,,,-1.29,1.99,,-0.14,-0.76,1.13,0.99,-0.013,125879
21,한경빈,24 SS,0.015,1,0,2.0,2,1,1,0,100.0,9.0,-0.13,,0.02,0.25,,,,,0.14,20.42,0.02,0.16,0.013,156339
32,노시환,24 3B,-0.024,126,125,1098.1,302,97,196,9,97.0,2.4,-3.43,,3.03,0.56,-0.43,,,,-0.27,-0.28,0.0,-0.27,-0.024,141259
33,장규현,24 C,-0.028,9,0,16.0,10,8,1,1,90.0,5.06,0.0,,-0.44,,,-0.11,0.13,,-0.47,-7.54,0.17,-0.3,-0.043,148119
56,김서현,24 P,,37,0,38.1,5,0,5,0,100.0,1.17,,,,,,,,,0.0,0.0,,,0.0,154219
56,장민재,24 P,,26,0,29.0,2,1,1,0,100.0,0.62,,,,,,,,,0.0,0.0,,,0.0,106109
56,박상원,24 P,,64,0,66.2,6,2,3,1,83.3,0.68,,,,,,,,,0.0,0.0,,,0.0,128719
56,주현상,24 P,,62,0,71.1,12,2,10,0,100.0,1.51,,,,,,,,,0.0,0.0,,,0.0,114159
1,박동원,24 C,1.975,124,109,944.2,890,809,77,4,99.6,8.44,1.14,,1.4,,0.07,2.15,8.55,,10.75,11.91,10.87,21.62,0.982,103876
2,오지환,24 SS,1.027,107,97,858.0,400,150,238,12,97.0,4.07,1.33,,1.59,-0.02,,,,,2.9,3.86,8.34,11.24,0.265,104756
3,박해민,24 CF,0.614,143,128,1127.0,286,283,2,1,99.7,2.28,4.18,0.71,1.84,,,,,,6.72,6.72,0.0,6.72,0.614,111906
27,백승현,24 P,0.0,33,0,26.2,6,0,5,1,83.3,1.69,,,,,,,,,0.0,0.0,0.0,0.0,0.0,130096
27,정우영,24 P,0.0,27,0,22.2,7,0,7,0,100.0,2.78,,,,,,,,,0.0,0.0,0.0,0.0,0.0,141366
31,송찬의,24 LF,-0.013,3,2,17.0,4,4,0,0,100.0,2.12,0.24,-0.34,0.02,,,,,,-0.08,-1.17,-0.06,-0.14,-0.007,131096
