팀,선수,계약금,포지션
한화 이글스,김서현,500000000,투수
한화 이글스,문현빈,150000000,타자
한화 이글스,이민준,110000000,타자
한화 이글스,김관우,90000000,투수
한화 이글스,김해찬,70000000,타자
한화 이글스,한서구,50000000,투수
한화 이글스,송성훈,50000000,투수
한화 이글스,최원준,40000000,투수
한화 이글스,박재규,40000000,투수
한화 이글스,천보웅,30000000,투수
한화 이글스,김예준,30000000,타자
KIA 타이거즈,윤영철,320000000,투수
KIA 타이거즈,김동헌,150000000,포수
KIA 타이거즈,정해원,100000000,타자
KIA 타이거즈,김세일,60000000,투수
KIA 타이거즈,곽도규,60000000,투수
KIA 타이거즈,이송찬,50000000,투수
KIA 타이거즈,이도현,40000000,투수
KIA 타이거즈,박일훈,40000000,투수
KIA 타이거즈,김도월,30000000,타자
KIA 타이거즈,김재현,30000000,타자
KIA 타이거즈,고윤호,대학진학,타자
롯데 자이언츠,김민석,250000000,타자
롯데 자이언츠,이진하,150000000,투수
롯데 자이언츠,서현원,110000000,투수
롯데 자이언츠,김기준,80000000,투수
롯데 자이언츠,정대선,70000000,타자
롯데 자이언츠,이태연,60000000,투수
롯데 자이언츠,석상호,50000000,투수
롯데 자이언츠,조경민,40000000,투수
롯데 자이언츠,정재환,30000000,포수
롯데 자이언츠,장세진,30000000,투수
롯데 자이언츠,배인혁,20000000,타자
NC 다이노스,신영우,250000000,투수
NC 다이노스,박한결,150000000,타자
NC 다이노스,신용석,100000000,포수
NC 다이노스,목지훈,80000000,투수
NC 다이노스,강건준,60000000,투수
NC 다이노스,이준호,60000000,투수
NC 다이노스,신성호,50000000,타자
NC 다이노스,정주영,40000000,투수
NC 다이노스,서동욱,30000000,투수
NC 다이노스,배상호,30000000,타자
NC 다이노스,김주환,30000000,투수
SSG 랜더스,이로운,250000000,투수
SSG 랜더스,송영진,150000000,투수
SSG 랜더스,김정민,100000000,타자
SSG 랜더스,안현서,80000000,투수
SSG 랜더스,김건웅,70000000,타자
SSG 랜더스,박세직,60000000,타자
SSG 랜더스,김민준,50000000,타자
SSG 랜더스,류현곤,40000000,투수
SSG 랜더스,이승훈,40000000,투수
SSG 랜더스,김건이,30000000,포수
SSG 랜더스,김준영,30000000,투수
키움 히어로즈,김건희,220000000,투수/포수
키움 히어로즈,오상원,110000000,투수
키움 히어로즈,박윤성,90000000,투수
키움 히어로즈,이승원,70000000,타자
키움 히어로즈,송재선,70000000,타자
키움 히어로즈,우승원,50000000,타자
키움 히어로즈,박성빈,50000000,포수
키움 히어로즈,이호열,40000000,타자
키움 히어로즈,변헌성,40000000,포수
키움 히어로즈,안겸,30000000,포수
키움 히어로즈,서유신,30000000,타자
LG 트윈스,김범석,250000000,포수
LG 트윈스,김동규,130000000,투수
LG 트윈스,박명근,110000000,투수
LG 트윈스,이준서,80000000,타자
LG 트윈스,원상훈,70000000,투수
LG 트윈스,권동혁,60000000,타자
LG 트윈스,허용주,50000000,투수
LG 트윈스,송대현,40000000,타자
LG 트윈스,이철민,40000000,타자
LG 트윈스,곽민호,30000000,타자
LG 트윈스,강민균,30000000,타자
삼성 라이온즈,이호성,200000000,투수
삼성 라이온즈,박권후,130000000,투수
삼성 라이온즈,김재상,100000000,타자
삼성 라이온즈,신윤호,80000000,투수
삼성 라이온즈,강준서,70000000,타자
삼성 라이온즈,김시온,60000000,투수
삼성 라이온즈,류승민,50000000,타자
삼성 라이온즈,김민호,40000000,타자
삼성 라이온즈,박시원,40000000,투수
삼성 라이온즈,박장민,30000000,타자
삼성 라이온즈,박진우,30000000,포수
두산 베어스,최준호,200000000,투수
두산 베어스,김유성,150000000,투수
두산 베어스,장우진,100000000,투수
두산 베어스,임서준,80000000,타자
두산 베어스,윤준호,70000000,포수
두산 베어스,한충희,50000000,투수
두산 베어스,백승우,50000000,투수
두산 베어스,박민준,40000000,포수
두산 베어스,김문수,30000000,타자
두산 베어스,류건우,30000000,투수
두산 베어스,남율,30000000,투수
KT 위즈,김정운,220000000,투수
KT 위즈,정준영,120000000,타자
KT 위즈,손민석,90000000,타자
KT 위즈,김건웅,80000000,투수
KT 위즈,임정균,70000000,투수
KT 위즈,이준희,60000000,포수
KT 위즈,류현인,50000000,타자
KT 위즈,황의준,40000000,타자
KT 위즈,정진호,40000000,투수
KT 위즈,이준명,30000000,투수
KT 위즈,강건,30000000,투수 
