선수_x,팀_x,pid,포지션
최재훈,한화 이글스,101709,포수
이재원,한화 이글스,100829,포수
김강민,한화 이글스,101089,중견수
박상언,한화 이글스,125879,포수
한경빈,한화 이글스,156339,유격수
노시환,한화 이글스,141259,3루수
장규현,한화 이글스,148119,포수
박동원,LG 트윈스,103876,포수
오지환,LG 트윈스,104756,유격수
박해민,LG 트윈스,111906,중견수
백승현,LG 트윈스,130096,투수
정우영,LG 트윈스,141366,투수
송찬의,LG 트윈스,131096,지명타자
최명경,LG 트윈스,160266,3루수
이주헌,LG 트윈스,150816,포수
김성우,LG 트윈스,150856,포수
허도환,LG 트윈스,106846,포수
오스틴,LG 트윈스,155326,1루수
김대원,LG 트윈스,160166,지명타자
전준호,LG 트윈스,128646,포수
유강남,롯데 자이언츠,107532,포수
정보근,롯데 자이언츠,131542,포수
손성빈,롯데 자이언츠,147962,포수
정대선,롯데 자이언츠,154432,2루수
강태율,롯데 자이언츠,113882,포수
강승구,롯데 자이언츠,161022,포수
서동욱,롯데 자이언츠,156242,포수
한동희,롯데 자이언츠,131452,지명타자
전준우,롯데 자이언츠,102662,지명타자
나승엽,롯데 자이언츠,147972,1루수
강성우,롯데 자이언츠,160932,지명타자
박찬호,KIA 타이거즈,112610,유격수
김태군,KIA 타이거즈,104590,포수
한준수,KIA 타이거즈,131130,포수
김호령,KIA 타이거즈,112980,중견수
황대인,KIA 타이거즈,113060,1루수
고종욱,KIA 타이거즈,106590,좌익수
한승택,KIA 타이거즈,111190,포수
최형우,KIA 타이거즈,103440,지명타자
나성범,KIA 타이거즈,111620,우익수
장성우,KT 위즈,102358,포수
조대현,KT 위즈,131778,포수
김준태,KT 위즈,108358,포수
강민성,KT 위즈,141918,1루수
강현우,KT 위즈,146038,포수
김건형,KT 위즈,147798,우익수
박경수,KT 위즈,104698,2루수
안현민,KT 위즈,150928,좌익수
배정대,KT 위즈,112128,중견수
오재일,KT 위즈,104008,1루수
이재현,삼성 라이온즈,150343,유격수
강민호,삼성 라이온즈,102323,포수
이병헌,삼성 라이온즈,141173,포수
디아즈,삼성 라이온즈,161623,1루수
류승민,삼성 라이온즈,155033,우익수
김민수,삼성 라이온즈,112663,포수
김도환,삼성 라이온즈,141153,포수
박병호,삼성 라이온즈,104703,1루수
이지영,SSG 랜더스,103124,포수
박성한,SSG 랜더스,129224,유격수
김민식,SSG 랜더스,107074,포수
김창평,SSG 랜더스,141464,지명타자
추신수,SSG 랜더스,148884,지명타자
문승원,SSG 랜더스,107834,투수
조형우,SSG 랜더스,148064,포수
최지훈,SSG 랜더스,145874,중견수
전의산,SSG 랜더스,146994,1루수
김주원,NC 다이노스,147655,유격수
박민우,NC 다이노스,111375,2루수
김형준,NC 다이노스,130815,포수
송승환,NC 다이노스,141725,우익수
박세혁,NC 다이노스,108915,포수
오영수,NC 다이노스,130825,1루수
신용석,NC 다이노스,154525,포수
