선수_x,팀_x,pid
최재훈,한화 이글스,101709
이재원,한화 이글스,100829
김강민,한화 이글스,101089
박상언,한화 이글스,125879
한경빈,한화 이글스,156339
노시환,한화 이글스,141259
장규현,한화 이글스,148119
박동원,LG 트윈스,103876
오지환,LG 트윈스,104756
박해민,LG 트윈스,111906
백승현,LG 트윈스,130096
정우영,LG 트윈스,141366
송찬의,LG 트윈스,131096
최명경,LG 트윈스,160266
이주헌,LG 트윈스,150816
김성우,LG 트윈스,150856
허도환,LG 트윈스,106846
오스틴,LG 트윈스,155326
김대원,LG 트윈스,160166
전준호,LG 트윈스,128646
유강남,롯데 자이언츠,107532
정보근,롯데 자이언츠,131542
손성빈,롯데 자이언츠,147962
정대선,롯데 자이언츠,154432
강태율,롯데 자이언츠,113882
강승구,롯데 자이언츠,161022
서동욱,롯데 자이언츠,156242
한동희,롯데 자이언츠,131452
전준우,롯데 자이언츠,102662
나승엽,롯데 자이언츠,147972
강성우,롯데 자이언츠,160932
박찬호,KIA 타이거즈,112610
김태군,KIA 타이거즈,104590
한준수,KIA 타이거즈,131130
김호령,KIA 타이거즈,112980
황대인,KIA 타이거즈,113060
고종욱,KIA 타이거즈,106590
한승택,KIA 타이거즈,111190
최형우,KIA 타이거즈,103440
나성범,KIA 타이거즈,111620
장성우,KT 위즈,102358
조대현,KT 위즈,131778
김준태,KT 위즈,108358
강민성,KT 위즈,141918
강현우,KT 위즈,146038
김건형,KT 위즈,147798
박경수,KT 위즈,104698
안현민,KT 위즈,150928
배정대,KT 위즈,112128
오재일,KT 위즈,104008
이재현,삼성 라이온즈,150343
강민호,삼성 라이온즈,102323
이병헌,삼성 라이온즈,141173
디아즈,삼성 라이온즈,161623
류승민,삼성 라이온즈,155033
김민수,삼성 라이온즈,112663
김도환,삼성 라이온즈,141153
박병호,삼성 라이온즈,104703
이지영,SSG 랜더스,103124
박성한,SSG 랜더스,129224
김민식,SSG 랜더스,107074
김창평,SSG 랜더스,141464
추신수,SSG 랜더스,148884
문승원,SSG 랜더스,107834
조형우,SSG 랜더스,148064
최지훈,SSG 랜더스,145874
전의산,SSG 랜더스,146994
김주원,NC 다이노스,147655
박민우,NC 다이노스,111375
김형준,NC 다이노스,130815
송승환,NC 다이노스,141725
박세혁,NC 다이노스,108915
오영수,NC 다이노스,130825
신용석,NC 다이노스,154525
안중열,NC 다이노스,113295
박한결,NC 다이노스,154515
데이비슨,NC 다이노스,160665
김범준,NC 다이노스,142225
김기연,두산 베어스,125491
양의지,두산 베어스,101651
정수빈,두산 베어스,101951
허경민,두산 베어스,101841
임종성,두산 베어스,160691
안승한,두산 베어스,113281
장승현,두산 베어스,110971
장규빈,두산 베어스,145701
류현준,두산 베어스,160761
여동건,두산 베어스,160681
권휘,두산 베어스,136651
박민준,두산 베어스,155151
윤준호,두산 베어스,155121
김재호,두산 베어스,101741
김재환,두산 베어스,106431
라모스,두산 베어스,150001
양석환,두산 베어스,112131
오명진,두산 베어스,147371
김민혁,두산 베어스,129701
김혜성,키움 히어로즈,129057
김재현,키움 히어로즈,108707
김건희,키움 히어로즈,154727
김시앙,키움 히어로즈,148517
이형종,키움 히어로즈,125167
송지후,키움 히어로즈,161307
박성빈,키움 히어로즈,154797
박준형,키움 히어로즈,142117
김동헌,키움 히어로즈,154737
이원석,키움 히어로즈,101807
이재상,키움 히어로즈,161247
최주환,키움 히어로즈,101827
이영빈,LG 트윈스,147836
이유찬,두산 베어스,128941
김태진,키움 히어로즈,112447
오태곤,SSG 랜더스,102494
권광민,한화 이글스,136769
김민수,LG 트윈스,129316
전민재,두산 베어스,130731
박계범,두산 베어스,111981
홍종표,KIA 타이거즈,146120
도태훈,NC 다이노스,125605
김선빈,KIA 타이거즈,100080
김규성,KIA 타이거즈,125400
이주찬,롯데 자이언츠,148192
김재혁,삼성 라이온즈,150363
