선수,연봉(만원),WAR,WAR당 연봉,팀
박민우,100000,5.55,18022,KT 위즈
박건우,80000,2.94,27245,KT 위즈
박세혁,70000,0.59,118283,KT 위즈
데이비슨,56000,4.27,13108,KT 위즈
카스타노,52000,1.83,28476,KT 위즈
하트,50000,6.22,8035,KT 위즈
손아섭,50000,1.03,48314,KT 위즈
이용찬,40000,-1.02,-39294,KT 위즈
김영규,22500,1.48,15219,KT 위즈
이재학,20000,1.16,17183,KT 위즈
신민혁,18000,2.76,6531,KT 위즈
류진욱,16500,-0.13,-122398,KT 위즈
김주원,16000,5.43,2945,KT 위즈
권희동,15000,4.11,3647,KT 위즈
임정호,13500,0.59,22735,KT 위즈
송명기,13500,-0.16,-83813,KT 위즈
서호철,12000,2.00,6001,KT 위즈
김시훈,11000,1.91,5771,KT 위즈
김휘집,11000,2.42,4548,KT 위즈
요키시,10000,0.08,131961,KT 위즈
김성욱,9500,-0.37,-25964,KT 위즈
심창민,8500,,,KT 위즈
최성영,8300,-0.03,-322111,KT 위즈
도태훈,8000,0.48,16655,KT 위즈
오영수,7200,0.23,30943,KT 위즈
안중열,7100,0.33,21755,KT 위즈
이용준,6700,0.04,185028,KT 위즈
최정원,6600,0.82,8096,KT 위즈
윤형준,6500,,,KT 위즈
배재환,6300,-0.11,-55843,KT 위즈
김재열,6000,1.98,3034,KT 위즈
김진호,6000,0.00,11747269,KT 위즈
김형준,5800,0.50,11489,KT 위즈
천재환,5000,0.31,16080,KT 위즈
이준호,4500,-0.68,-6645,KT 위즈
한재환,4000,-0.08,-50935,KT 위즈
김태현,4000,-0.13,-31557,KT 위즈
한석현,3900,-0.47,-8230,KT 위즈
김한별,3800,-0.23,-16588,KT 위즈
채원후,3500,-0.03,-101895,KT 위즈
송승환,3500,0.13,26594,KT 위즈
한재승,3400,0.59,5789,KT 위즈
전사민,3400,-0.30,-11353,KT 위즈
전루건,3200,-0.14,-22406,KT 위즈
박영빈,3200,-0.12,-27206,KT 위즈
이우석,3200,,,KT 위즈
소이현,3200,-0.06,-53577,KT 위즈
김수윤,3200,-0.10,-31236,KT 위즈
최보성,3200,,,KT 위즈
문상인,3100,,,KT 위즈
조현진,3100,,,KT 위즈
박한결,3100,-0.31,-9935,KT 위즈
박주찬,3100,,,KT 위즈
김준원,3000,,,KT 위즈
김재민,3000,,,KT 위즈
김민균,3000,,,KT 위즈
고승완,3000,,,KT 위즈
조현민,3000,,,KT 위즈
홍유원,3000,,,KT 위즈
원종해,3000,,,KT 위즈
김세훈,3000,-0.11,-27852,KT 위즈
손주환,3000,-0.04,-73787,KT 위즈
최우석,3000,0.12,25298,KT 위즈
최우재,3000,,,KT 위즈
임상현,3000,-0.02,-121956,KT 위즈
김휘건,3000,,,KT 위즈
박인우,3000,,,KT 위즈
김태호,3000,,,KT 위즈
김민규,3000,-0.08,-39480,KT 위즈
서의태,3000,-0.06,-52157,KT 위즈
안인산,3000,,,KT 위즈
박시원,3000,-0.27,-11284,KT 위즈
임형원,3000,,,KT 위즈
박지한,3000,,,KT 위즈
이현우,3000,,,KT 위즈
박동수,3000,,,KT 위즈
목지훈,3000,-0.21,-14190,KT 위즈
신용석,3000,-0.10,-30908,KT 위즈
신영우,3000,-0.13,-22821,KT 위즈
박주현,3000,0.03,109982,KT 위즈
신성호,3000,,,KT 위즈
김택우,3000,,,KT 위즈
서동욱,3000,,,KT 위즈
김범준,3000,-0.15,-19963,KT 위즈
최형우,100000,2.09,47887,KIA 타이거즈
나성범,80000,1.84,43391,KIA 타이거즈
김태군,70000,1.00,70094,KIA 타이거즈
김선빈,60000,2.11,28379,KIA 타이거즈
크로우,60000,1.28,47041,KIA 타이거즈
소크라테스,50000,4.06,12324,KIA 타이거즈
양현종,50000,4.99,10026,KIA 타이거즈
네일,35000,5.02,6975,KIA 타이거즈
박찬호,30000,4.03,7451,KIA 타이거즈
알드레드,30000,1.45,20711,KIA 타이거즈
라우어,30000,0.88,33923,KIA 타이거즈
임기영,25000,-0.20,-125138,KIA 타이거즈
최원준,22000,2.35,9351,KIA 타이거즈
정해영,20000,2.35,8510,KIA 타이거즈
전상현,17000,1.49,11445,KIA 타이거즈
이의리,17000,0.09,183155,KIA 타이거즈
장현식,16000,1.69,9468,KIA 타이거즈
고종욱,15000,0.09,165595,KIA 타이거즈
이준영,14000,0.38,36780,KIA 타이거즈
이우성,13000,-0.10,-128006,KIA 타이거즈
이창진,12000,0.64,18738,KIA 타이거즈
김대유,11000,-0.35,-31834,KIA 타이거즈
최지민,10000,0.38,25990,KIA 타이거즈
김도영,10000,8.52,1174,KIA 타이거즈
김호령,9000,-0.07,-126775,KIA 타이거즈
윤영철,9000,2.11,4261,KIA 타이거즈
박준표,8000,-0.04,-194862,KIA 타이거즈
황대인,8000,-0.02,-349722,KIA 타이거즈
이형범,7000,-0.19,-36107,KIA 타이거즈
한승택,6500,-0.10,-64995,KIA 타이거즈
