팀,선수,WAR,연봉등급,pid,연도
한화 이글스,채은성,2.36,A,11215,2023
한화 이글스,최재훈,3.90,B,10170,2023
한화 이글스,스미스,0.09,A,15540,2023
한화 이글스,오그레디,-0.87,B,15541,2023
한화 이글스,이태양,1.44,B,10609,2023
한화 이글스,페냐,4.20,B,15146,2023
한화 이글스,정우람,0.26,B,10156,2023
한화 이글스,산체스,2.51,B,15643,2023
한화 이글스,장시환,0.52,C,10453,2023
한화 이글스,윌리엄스,-0.81,C,15647,2023
한화 이글스,김민우,-0.46,C,11410,2023
한화 이글스,정은원,1.03,C,13137,2023
한화 이글스,강재민,-0.64,C,14708,2023
한화 이글스,김범수,0.17,C,11411,2023
한화 이글스,박상원,-0.18,C,12871,2023
한화 이글스,노시환,6.82,C,14125,2023
한화 이글스,장민재,0.05,C,10610,2023
한화 이글스,노수광,-0.12,C,11268,2023
한화 이글스,오선진,0.02,C,10557,2023
한화 이글스,하주석,-0.58,C,10913,2023
한화 이글스,윤대경,1.08,D,11110,2023
한화 이글스,김종수,-,D,11117,2023
한화 이글스,김인환,0.23,D,12589,2023
한화 이글스,한승혁,-0.26,D,10812,2023
한화 이글스,장진혁,-0.44,D,12583,2023
한화 이글스,김태연,1.41,D,12585,2023
한화 이글스,주현상,2.21,D,11415,2023
한화 이글스,김재영,-0.14,D,12547,2023
한화 이글스,이민우,0.16,D,13003,2023
한화 이글스,이명기,-0.29,D,10119,2023
한화 이글스,장운호,-0.08,D,11122,2023
한화 이글스,이성곤,-0.20,E,11206,2023
한화 이글스,윤산흠,-0.14,E,14196,2023
한화 이글스,남지민,-0.14,E,14619,2023
한화 이글스,박정현,-0.33,E,14704,2023
한화 이글스,이진영,3.60,E,12539,2023
한화 이글스,최인호,1.49,E,14707,2023
한화 이글스,박상언,-0.30,E,12587,2023
한화 이글스,김기중,0.67,E,14808,2023
한화 이글스,송윤준,-0.04,E,10748,2023
한화 이글스,류원석,0.02,E,13251,2023
한화 이글스,이도윤,2.27,E,11414,2023
한화 이글스,박윤철,-0.09,E,14129,2023
한화 이글스,류희운,-0.06,E,12655,2023
한화 이글스,이원석,0.25,E,13138,2023
한화 이글스,유로결,-0.45,E,14126,2023
한화 이글스,허관회,-0.27,E,14204,2023
한화 이글스,문동주,2.96,E,15013,2023
한화 이글스,유상빈,-0.03,E,15141,2023
한화 이글스,이충호,-0.10,E,11116,2023
한화 이글스,장지수,-0.05,E,14178,2023
한화 이글스,장지승,-0.06,E,14880,2023
한화 이글스,원혁재,-,E,12872,2023
한화 이글스,이재용,0.04,E,12902,2023
한화 이글스,이승관,-,E,13135,2023
한화 이글스,권광민,-1.03,E,13676,2023
한화 이글스,김건,-0.35,E,14209,2023
한화 이글스,신지후,-,E,14620,2023
한화 이글스,한승주,0.57,E,14621,2023
한화 이글스,정민규,-,E,14813,2023
한화 이글스,김규연,0.46,E,14871,2023
한화 이글스,박준영,-0.08,E,15014,2023
한화 이글스,이재민,-,E,15020,2023
한화 이글스,이성원,-,E,13140,2023
한화 이글스,김민기,-,E,13141,2023
한화 이글스,정이황,-,E,14127,2023
한화 이글스,김현우,-,E,14166,2023
한화 이글스,김범준,-,E,14710,2023
한화 이글스,오세훈,-,E,14835,2023
한화 이글스,안진,-,E,14876,2023
한화 이글스,양경모,-,E,15017,2023
한화 이글스,김겸재,-,E,15018,2023
한화 이글스,노석진,-,E,15022,2023
한화 이글스,민승기,-,E,15137,2023
한화 이글스,이상혁,-0.16,E,15139,2023
한화 이글스,김서현,-0.24,E,15421,2023
한화 이글스,문현빈,1.87,E,15422,2023
한화 이글스,이민준,0.05,E,15423,2023
한화 이글스,김관우,-,E,15424,2023
한화 이글스,김해찬,-,E,15425,2023
한화 이글스,한서구,-,E,15426,2023
한화 이글스,송성훈,-,E,15427,2023
한화 이글스,최원준,-,E,15428,2023
한화 이글스,박재규,-,E,15429,2023
한화 이글스,천보웅,-,E,15430,2023
한화 이글스,김예준,-,E,15431,2023
한화 이글스,이정재,-,E,15628,2023
한화 이글스,고영재,-,E,15629,2023
한화 이글스,이석제,-,E,15630,2023
