선수,WAR,G_x,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,G_y,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,수상횟수,1루수,2루수,3루수,우익수,유격수,좌익수,중견수,포수,샐러리캡,연봉,이후연봉
최재훈,4.91,116,4.22,0.7,467,461,375,52,103,21,0,7,145,44,3,2,72,12,2,68,16,5,3,0.275,0.405,0.387,0.792,0.159,133.0,101709,2021,10170,109.0,100.0,844.0,1.716,767.0,704.0,62.0,1.0,0.999,8.168,0.18,0.0,2.22,0.0,1.83,0.0,3.51,0.0,7.02,9.274,10.275,17.295,0.696,0.0,0,0,0,0,0,0,0,1,415241,26000.0,112000.0
정은원,4.45,139,4.84,-0.4,608,604,495,85,140,22,5,6,190,39,19,11,105,1,1,105,9,4,3,0.283,0.407,0.384,0.791,0.159,132.1,131379,2021,13137,126.0,123.0,1024.0,0.143,512.0,220.0,279.0,13.0,0.975,4.386,-3.94,0.0,0.29,-0.37,0.0,0.0,0.0,0.0,-4.01,-4.583,5.447,1.437,-0.398,1.0,0,1,0,0,0,0,0,0,415241,12000.0,21800.0
노시환,4.18,107,3.61,0.56,458,451,380,56,103,18,1,18,177,84,5,2,73,1,9,107,15,0,4,0.271,0.386,0.466,0.852,0.17,141.6,141259,2021,14125,101.0,94.0,823.0,0.563,304.0,107.0,177.0,20.0,0.934,3.106,5.32,0.0,-0.38,0.43,0.0,0.0,0.0,0.0,5.68,8.098,-0.005,5.675,0.563,0.0,0,0,1,0,0,0,0,0,415241,6000.0,13100.0
하주석,2.93,138,3.17,-0.25,594,589,525,84,143,27,3,10,206,68,23,6,51,10,1,135,9,5,3,0.272,0.346,0.392,0.738,0.123,102.5,109139,2021,10913,113.0,111.0,923.2,0.692,376.0,131.0,231.0,14.0,96.3,3.53,-3.46,0.0,0.0,0.99,0.0,0.0,0.0,0.0,-2.48,-2.58,9.46,6.98,-0.246,0.0,0,0,0,0,1,0,0,0,415241,13500.0,10000.0
김태연,2.26,53,1.82,0.44,220,220,176,29,53,12,0,3,74,34,5,3,34,5,0,44,4,0,5,0.301,0.418,0.42,0.838,0.17,143.0,125859,2021,12585,60.0,49.0,406.0,0.421,158.0,79.0,72.0,7.0,0.956,3.347,4.97,0.07,-0.61,-0.1,0.0,0.0,0.0,0.0,4.43,10.632,-0.191,4.239,0.439,0.0,0,0,1,0,0,0,0,0,415241,3200.0,6000.0
이성곤,0.85,60,0.69,0.16,206,205,172,17,46,12,2,1,65,24,0,3,29,3,0,52,4,1,1,0.267,0.38,0.378,0.758,0.141,117.7,112069,2021,11206,38.0,34.0,283.0,-0.115,268.0,251.0,13.0,4.0,98.5,8.4,1.78,0.0,-0.26,0.0,0.06,0.0,0.0,0.0,1.58,3.66,-2.74,-1.16,0.156,0.0,1,0,0,0,0,0,0,0,415241,5400.0,4800.0
최인호,0.53,49,0.14,0.38,164,164,136,17,28,6,0,4,46,23,2,1,24,2,0,43,1,0,2,0.206,0.329,0.338,0.667,0.105,88.2,147079,2021,14707,45.0,41.0,335.0,0.239,78.0,77.0,1.0,0.0,1.0,2.096,2.7,0.87,0.31,0.0,0.0,0.0,0.0,0.0,3.87,12.384,-1.464,2.406,0.384,0.0,0,0,0,0,0,1,0,0,415241,3400.0,3800.0
페레즈,0.49,59,0.52,-0.03,252,252,224,26,60,15,1,5,92,33,4,5,17,4,0,52,4,0,7,0.268,0.321,0.411,0.732,0.113,94.9,149919,2021,14991,75.0,54.0,465.0,-0.104,272.0,199.0,63.0,10.0,0.963,5.071,-0.87,-0.59,0.48,0.72,0.0,0.0,0.0,0.0,-0.3,-0.576,-0.752,-1.052,-0.03,0.0,1,0,0,0,0,0,0,0,415241,52000.0,
김민하,0.45,46,-0.2,0.65,142,142,115,14,24,4,1,1,33,17,6,3,17,8,0,36,3,0,2,0.209,0.345,0.287,0.632,0.101,82.9,107779,2021,10777,42.0,28.0,258.0,0.61,76.0,71.0,2.0,3.0,0.961,2.547,5.53,1.75,-0.71,0.0,0.0,0.0,0.0,0.0,6.58,22.56,-0.427,6.153,0.653,0.0,0,0,0,1,0,0,0,0,415241,4500.0,
힐리,0.24,67,-0.04,0.27,268,268,249,27,64,11,1,7,98,37,2,1,16,2,0,58,6,0,1,0.257,0.306,0.394,0.7,0.105,86.3,147619,2021,14761,62.0,59.0,527.0,-0.228,526.0,479.0,42.0,5.0,99.0,8.9,2.92,0.0,-0.06,0.0,-0.12,0.0,0.0,0.0,2.74,5.88,-5.04,-2.3,0.272,0.0,1,0,0,0,0,0,0,0,415241,104000.0,
