팀,선수,연봉 총수령액(만원),연봉등급,pid,연도,팀연봉순위,전체연봉순위
SSG 랜더스,가빌리오,44980,B,14896,2021,8,70
KIA 타이거즈,강경학,8700,C,10676,2021,24,264
NC 다이노스,강동연,4400,D,10883,2021,44,442
롯데 자이언츠,강동호,3500,D,12927,2021,45,491
롯데 자이언츠,강로한,3700,D,11389,2021,43,478
LG 트윈스,강민,3000,D,14660,2021,69,618
KT 위즈,강민국,5500,C,11243,2021,47,390
KT 위즈,강민성,3300,D,14191,2021,59,521
삼성 라이온즈,강민호,50000,A,10232,2021,7,57
KT 위즈,강백호,31000,B,13168,2021,8,84
한화 이글스,강상원,3000,D,12564,2021,66,618
두산 베어스,강승호,5000,C,11087,2021,38,401
두산 베어스,강원진,7000,C,14832,2021,29,305
롯데 자이언츠,강윤구,10000,B,10423,2021,19,218
한화 이글스,강재민,7900,C,14708,2021,23,291
SSG 랜더스,강지광,3000,D,10495,2021,45,618
NC 다이노스,강진성,12000,B,11148,2021,22,185
NC 다이노스,강태경,3000,D,14647,2021,55,618
롯데 자이언츠,강태율,3200,D,11388,2021,52,544
삼성 라이온즈,강한울,12000,B,11255,2021,25,185
두산 베어스,강현구,10000,B,14773,2021,22,218
KT 위즈,강현우,3000,D,14603,2021,67,618
LG 트윈스,강효종,23000,B,14780,2021,13,109
KT 위즈,고명성,3000,D,13171,2021,67,618
SSG 랜더스,고명준,12000,B,14807,2021,20,185
두산 베어스,고봉재,3300,D,12605,2021,51,521
KT 위즈,고영찬,2700,D,14719,2021,79,809
KIA 타이거즈,고영창,5200,C,11068,2021,41,398
KT 위즈,고영표,12000,B,11308,2021,21,185
LG 트윈스,고우석,18000,B,12907,2021,18,132
SSG 랜더스,고종욱,11000,B,10659,2021,21,197
LG 트윈스,고효준,5000,C,10124,2021,45,401
두산 베어스,곽빈,3000,D,13061,2021,64,618
LG 트윈스,구본혁,6300,C,14140,2021,39,345
롯데 자이언츠,구승민,15000,B,11291,2021,15,165
삼성 라이온즈,구자욱,36000,B,10892,2021,12,79
삼성 라이온즈,구준범,3100,D,12645,2021,67,573
NC 다이노스,구창모,25000,B,11353,2021,12,105
두산 베어스,국해성,5000,C,10172,2021,38,401
