Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
2,최재훈,23 C,1.18,120,106,884.1,774,704,67,3,99.6,7.85,0.65,,0.8,,-0.02,0.36,0.23,,1.95,2.24,9.62,11.57,0.199,101709
4,박상언,23 C,0.347,79,38,388.2,368,333,34,1,99.7,8.5,-0.39,,0.51,,-0.02,-0.17,-0.12,,-0.15,-0.24,3.55,3.41,-0.015,125879
6,정은원,23 2B,0.32,101,92,797.2,441,188,245,8,98.2,4.89,-2.03,,0.67,0.43,,,,,-0.93,-1.09,4.06,3.13,-0.095,131379
11,최인호,23 LF,0.137,37,35,271.1,77,76,0,1,98.7,2.52,3.09,-0.3,-0.01,,,,,,2.78,9.77,-1.44,1.34,0.284,147079
22,이민준,23 SS,0.054,4,0,8.0,2,1,1,0,100.0,2.25,0.47,,0.02,,,,,,0.49,17.69,0.04,0.53,0.05,154239
27,이재용,23 C,0.039,2,0,4.0,2,2,0,0,100.0,4.5,0.0,,0.01,,,,0.46,,0.33,23.9,0.05,0.38,0.034,129029
31,유상빈,23 RF,0.022,1,1,8.0,1,1,0,0,100.0,1.13,0.23,,0.02,,,,,,0.24,11.74,-0.03,0.21,0.025,151419
42,이성곤,23 1B,-0.045,1,0,3.0,3,3,0,0,100.0,9.0,-0.43,,0.01,,,,,,-0.42,-7.6,-0.02,-0.44,-0.043,112069
47,이상혁,23 CF,-0.098,2,0,6.0,2,2,0,0,100.0,3.0,-0.66,-0.31,0.01,,,,,,-0.96,-19.72,0.0,-0.96,-0.098,151399
50,허관회,23 C,-0.136,8,0,14.2,15,14,0,1,93.3,8.59,-0.88,,0.04,,,-0.19,-0.57,,-1.43,-20.63,0.1,-1.34,-0.146,142049
51,하주석,23 SS,-0.154,23,4,84.0,36,11,23,2,94.4,3.64,-2.73,,0.2,0.38,,,,,-2.15,-12.36,0.64,-1.51,-0.219,109139
63,박상원,23 P,,55,0,61.2,18,3,14,1,94.4,2.48,,,,,,,,,0.0,0.0,,,0.0,128719
63,장지승,23 LF,,1,0,2.0,0,0,0,0,0.0,0.0,-0.38,,0.0,,,,,,-0.38,-18.19,,,-0.039,148809
63,정우람,23 P,,52,0,40.1,1,0,1,0,100.0,0.22,,,,,,,,,0.0,,,,0.0,101569
63,윤대경,23 P,,47,0,47.2,7,1,6,0,100.0,1.32,,,,,,,,,0.0,0.0,,,0.0,111109
63,이태양,23 P,,50,12,100.1,19,6,13,0,100.0,1.7,,,,,,,,,0.0,0.0,,,0.0,106099
63,박준영,23 P,,4,0,4.1,1,0,1,0,100.0,2.08,,,,,,,,,0.0,0.0,,,0.0,150149
63,김서현,23 P,,20,1,22.1,4,0,4,0,100.0,1.61,,,,,,,,,0.0,0.0,,,0.0,154219
63,강재민,23 P,,43,0,43.1,5,0,5,0,100.0,1.04,,,,,,,,,0.0,,,,0.0,147089
1,오지환,23 SS,1.36,125,115,1010.2,465,176,275,14,97.0,4.02,3.31,,-0.59,0.68,,,,,3.4,3.88,9.94,13.34,0.346,104756
2,박동원,23 C,1.24,128,112,982.0,831,751,72,8,99.0,7.54,-0.64,,-1.42,,0.14,1.9,1.55,,1.07,1.18,11.09,12.15,0.109,103876
3,박해민,23 CF,0.92,142,136,1187.2,343,338,2,3,99.1,2.58,8.18,0.81,0.03,,,,,,9.02,9.02,0.0,9.02,0.92,111906
8,허도환,23 C,0.195,45,21,212.0,176,168,8,0,100.0,7.47,-0.2,,0.55,,,-0.63,0.48,,0.06,0.18,1.85,1.91,0.006,106846
20,전준호,23 C,0.005,2,0,3.0,4,4,0,0,100.0,12.0,0.0,,0.01,,,-0.04,0.08,,0.02,1.51,0.02,0.05,0.002,128646
