선수,포지션,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,팀,기존pid,연봉(만원),연도,포지션구분,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR▼,oWAR,dWAR,PA,ePA,AB,TB,RBI,SB,CS,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉등급,신인여부,국적,선발투수
킹험,투수,4.59,25,25.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,144.0,51.0,58.0,57.5,591.0,117.0,22.0,0.0,11.0,41.0,5.0,1.0,131.0,10.0,2.0,4.0,3.19,3.63,3.59,3.62,3.39,1.1,4.59,한화 이글스,14582,25000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김민우,투수,4.4,29,28.0,1.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,155.1,69.0,71.0,66.2,662.0,131.0,23.0,1.0,15.0,76.0,7.0,1.0,125.0,5.0,1.0,5.0,4.0,4.11,3.84,3.93,4.56,1.33,4.4,한화 이글스,11410,9000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카펜터,투수,3.25,31,30.0,1.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,170.0,75.0,90.0,87.75,746.0,150.0,21.0,3.0,16.0,72.0,19.0,0.0,179.0,16.0,1.0,7.0,3.97,4.76,4.65,4.78,3.91,1.31,3.25,한화 이글스,14760,30000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강재민,투수,2.22,58,0.0,58.0,18.0,0.0,0.0,2.0,1.0,5.0,13.0,63.1,15.0,16.0,22.6,269.0,51.0,13.0,0.0,2.0,26.0,5.0,3.0,55.0,4.0,1.0,1.0,2.13,2.27,3.21,3.37,3.39,1.22,2.22,한화 이글스,14708,7900,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤대경,투수,1.71,43,9.0,34.0,2.0,0.0,0.0,2.0,5.0,0.0,7.0,77.2,34.0,35.0,36.2,337.0,73.0,13.0,0.0,8.0,34.0,6.0,2.0,54.0,5.0,0.0,3.0,3.94,4.06,4.19,4.27,4.81,1.38,1.71,한화 이글스,11110,7700,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주현상,투수,0.97,43,0.0,43.0,6.0,0.0,0.0,2.0,2.0,0.0,4.0,50.1,20.0,21.0,24.6,218.0,46.0,6.0,3.0,6.0,21.0,1.0,2.0,33.0,3.0,0.0,6.0,3.58,3.75,4.4,4.39,4.78,1.33,0.97,한화 이글스,11415,3300,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김범수,투수,0.88,56,2.0,54.0,3.0,0.0,0.0,4.0,9.0,1.0,9.0,70.2,41.0,44.0,38.8,319.0,68.0,11.0,2.0,2.0,42.0,2.0,1.0,70.0,3.0,1.0,8.0,5.22,5.6,4.94,5.02,3.56,1.56,0.88,한화 이글스,11411,6500,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김기중,투수,0.59,15,12.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,53.2,28.0,32.0,32.0,260.0,63.0,10.0,1.0,4.0,36.0,4.0,2.0,36.0,3.0,2.0,0.0,4.7,5.37,5.37,5.54,5.29,1.84,0.59,한화 이글스,14808,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장민재,투수,0.47,12,6.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,29.1,9.0,17.0,17.05,128.0,34.0,7.0,0.0,4.0,8.0,0.0,1.0,13.0,3.0,0.0,1.0,2.76,5.22,5.23,5.5,5.13,1.43,0.47,한화 이글스,10610,10000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
배동현,투수,0.46,20,4.0,16.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,38.0,19.0,21.0,21.0,177.0,34.0,9.0,1.0,3.0,25.0,4.0,0.0,26.0,1.0,2.0,1.0,4.5,4.97,4.97,5.15,5.36,1.55,0.46,한화 이글스,14809,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송윤준,투수,0.35,17,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,12.2,5.0,5.0,4.1,55.0,12.0,2.0,0.0,1.0,6.0,2.0,1.0,8.0,0.0,0.0,0.0,3.55,3.55,2.91,3.02,4.84,1.42,0.35,한화 이글스,10748,4000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김진영,투수,0.15,20,0.0,20.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,18.1,8.0,8.0,10.9,81.0,16.0,3.0,0.0,2.0,14.0,0.0,2.0,8.0,1.0,0.0,1.0,3.93,3.93,5.35,5.43,6.34,1.64,0.15,한화 이글스,12926,7900,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정진호,우익수,0.07,3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63,1.2,0.07,한화 이글스,10645,12000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
