G_x,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,연도,기존pid_x,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,수상횟수,현재 연봉,이후 연봉,예측연봉
115,95,791.2,0.902,811.0,746.0,60.0,5.0,99.4,9.16,0.35,0.0,0.35,0.0,0.19,1.24,-0.79,0.0,1.57,1.95,8.3,9.88,0.144,101709,2024,10170,1.82,116,1.69,0.13,348,340,280,34,72,10,0,4,94,37,0,0,33,21,0,58,10,8,6,0.257,0.371,0.336,0.707,0.131,96.6,0.0,92000.0,82000.0,72540.07956637807
71,40,354.0,0.277,332.0,304.0,27.0,1.0,99.7,8.42,-0.33,0.0,0.78,0.0,-0.17,0.17,-1.33,0.0,-0.49,-0.99,3.53,3.04,-0.045,100829,2024,10082,-0.29,72,-0.24,-0.05,152,150,134,10,32,4,0,1,39,16,0,0,7,4,1,21,4,2,5,0.239,0.287,0.291,0.578,0.059,44.0,0.0,5000.0,10000.0,5563.585263072213
26,9,113.0,0.09,97.0,91.0,5.0,1.0,99.0,7.65,-0.15,0.0,-0.09,0.0,0.0,-1.29,1.99,0.0,-0.14,-0.76,1.13,0.99,-0.013,125879,2024,12587,0.47,27,0.48,-0.02,52,52,42,4,12,3,0,0,15,4,1,0,9,1,0,12,0,0,0,0.286,0.423,0.357,0.78,0.166,119.8,0.0,4200.0,4200.0,4974.859804365712
1,0,2.0,0.015,2.0,1.0,1.0,0.0,100.0,9.0,-0.13,0.0,0.02,0.25,0.0,0.0,0.0,0.0,0.14,20.42,0.02,0.16,0.013,156339,2024,15633,-0.01,1,-0.02,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,0.0,3000.0,3100.0,3597.272943790346
126,125,1098.1,-0.024,302.0,97.0,196.0,9.0,97.0,2.4,-3.43,0.0,3.03,0.56,-0.43,0.0,0.0,0.0,-0.27,-0.28,0.0,-0.27,-0.024,141259,2024,14125,2.41,136,2.5,-0.08,601,597,526,88,143,20,2,24,239,89,6,0,60,11,9,129,10,0,4,0.272,0.356,0.454,0.81,0.145,106.5,0.0,35000.0,33000.0,37384.735155215225
9,0,16.0,-0.028,10.0,8.0,1.0,1.0,90.0,5.06,0.0,0.0,-0.44,0.0,0.0,-0.11,0.13,0.0,-0.47,-7.54,0.17,-0.3,-0.043,148119,2024,14811,-0.14,9,-0.1,-0.04,7,7,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.143,0.0,0.143,-0.086,-63.4,0.0,3200.0,3300.0,5368.611896848477
107,97,858.0,1.027,400.0,150.0,238.0,12.0,97.0,4.07,1.33,0.0,1.59,-0.02,0.0,0.0,0.0,0.0,2.9,3.86,8.34,11.24,0.265,104756,2024,10475,3.0,108,2.67,0.33,428,426,370,67,94,24,2,10,152,59,17,4,51,4,0,106,8,2,1,0.254,0.35,0.411,0.761,0.136,104.5,0.0,30000.0,30000.0,30990.29311896553
33,0,26.2,0.0,6.0,0.0,5.0,1.0,83.3,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130096,2024,13009,-0.03,3,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,0.0,9200.0,7000.0,8772.537445511294
27,0,22.2,0.0,7.0,0.0,7.0,0.0,100.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141366,2024,14136,-0.03,1,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-127.9,0.0,32000.0,18000.0,30143.534728127466
3,2,17.0,-0.013,4.0,4.0,0.0,0.0,100.0,2.12,0.24,-0.34,0.02,0.0,0.0,0.0,0.0,0.0,-0.08,-1.17,-0.06,-0.14,-0.007,131096,2024,13109,-0.13,10,-0.12,-0.01,21,20,15,2,1,0,0,0,1,1,1,0,3,1,0,6,0,1,1,0.067,0.25,0.067,0.317,0.003,2.3,0.0,3600.0,3500.0,3618.059136393363
