Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,팀,bat_G,PA,ePA,AB,R_y,H_y,2B_y,3B_y,HR_y,RBI,SB,CS,BB_y,HP_y,IB_y,SO_y,GDP,SH,SF,연봉(만원),WAR,WAR당 연봉
김선빈,1루수,1,0,1.0,2,0,0,18.0,0.0,0.01,KIA 타이거즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,2.11,28379
안치홍,1루수,37,34,293.0,240,24,4,8.11,-3.45,-3.88,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,1.97,25319
최정,1루수,1,0,1.0,0,0,0,0.0,0.0,0.01,SSG 랜더스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,4.68,21383
이원석,1루수,12,12,87.0,85,4,2,9.21,-2.02,-7.46,키움 히어로즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,-0.47,-84662
최주환,1루수,122,116,1027.2,906,60,6,8.46,4.75,5.26,키움 히어로즈,130,544,544,482,49,124,23,1,13,84,0,1,47,6,2,92,12,0,9,65000,0.35,184816
김현수,1루수,7,0,11.0,8,0,0,6.55,-0.28,-0.3,LG 트윈스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1.01,99083
오태곤,1루수,89,42,478.2,427,35,2,8.69,3.57,4.39,SSG 랜더스,117,288,281,247,43,68,16,0,9,36,27,4,31,1,2,73,4,6,3,25000,1.43,17510
정훈,1루수,37,29,271.0,259,20,2,9.27,1.04,1.38,롯데 자이언츠,109,325,324,285,31,76,20,0,9,47,1,1,35,0,0,63,3,1,4,30000,1.18,25494
오재일,1루수,55,43,406.1,339,18,3,7.91,-4.41,-6.05,KT 위즈,83,272,272,232,27,57,13,0,8,37,0,0,30,2,0,70,3,0,8,50000,-0.84,-59474
황재균,1루수,1,0,1.0,2,0,0,18.0,0.86,0.9,KT 위즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,-0.19,-536924
박병호,1루수,31,29,248.2,223,28,2,9.08,1.85,2.22,삼성 라이온즈,76,285,285,249,42,61,5,0,20,60,3,0,31,3,0,83,5,0,2,70000,0.25,283380
최항,1루수,10,1,21.1,14,0,0,5.91,-0.54,-1.08,롯데 자이언츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,-0.18,-17554
서건창,1루수,51,25,276.2,241,30,4,8.82,-2.99,-4.58,KIA 타이거즈,94,248,245,203,40,63,14,1,1,26,3,1,36,3,0,31,2,3,3,5000,1.61,3106
류지혁,1루수,13,3,44.2,34,2,0,7.25,-0.54,-0.77,삼성 라이온즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0.34,58607
하주석,1루수,1,0,1.0,1,0,0,9.0,0.0,0.01,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0.23,30579
강승호,1루수,32,13,143.2,126,18,1,9.02,2.01,2.06,두산 베어스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500,4.39,5809
이우성,1루수,87,79,670.1,609,36,6,8.66,-4.15,-5.33,KIA 타이거즈,112,449,449,399,56,115,16,1,9,54,7,1,44,3,0,89,17,0,3,13000,-0.10,-128006
강진성,1루수,2,1,9.0,6,1,0,7.0,0.7,6.31,SSG 랜더스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,-0.04,-196132
노진혁,1루수,12,3,36.0,36,3,1,9.75,0.21,0.41,롯데 자이언츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,-0.23,-260317
박계범,1루수,1,0,1.0,0,0,0,0.0,0.0,0.03,두산 베어스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,-0.47,-18168
양석환,1루수,131,130,1118.0,943,85,10,8.28,3.27,3.32,두산 베어스,142,593,592,533,83,131,25,1,34,107,5,3,49,7,1,128,15,1,3,30000,2.31,13009
채은성,1루수,75,73,601.1,548,23,7,8.55,-3.33,-3.86,한화 이글스,124,498,498,436,61,118,24,0,20,83,1,1,49,8,1,83,12,0,5,100000,1.40,71340
강한울,1루수,1,0,1.0,1,0,0,9.0,0.0,0.04,삼성 라이온즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,-0.32,-30994
황대인,1루수,2,2,10.0,9,1,0,9.0,-0.46,-22.06,KIA 타이거즈,3,7,7,7,1,2,1,0,0,3,0,0,0,0,0,1,0,0,0,8000,-0.02,-349722
문상철,1루수,88,78,638.2,563,50,6,8.64,8.1,9.34,KT 위즈,125,403,401,347,50,89,11,0,17,58,6,1,45,7,2,86,8,1,3,11000,3.43,3206
김재성,1루수,1,1,5.0,3,0,1,5.4,-0.94,-13.59,삼성 라이온즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,-0.23,-30485
송성문,1루수,32,15,148.0,130,7,1,8.33,-1.76,-1.78,키움 히어로즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,6.87,1892
오윤석,1루수,5,0,7.0,5,0,0,6.43,0.21,0.41,KT 위즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,1.57,8907
전병우,1루수,3,3,18.0,13,0,1,6.5,0.77,1.9,삼성 라이온즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0.46,13079
최원준,1루수,1,0,1.0,1,0,0,9.0,-0.6,-0.63,KIA 타이거즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,2.35,9351
김규성,1루수,9,0,13.0,15,1,1,11.08,0.29,1.55,KIA 타이거즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,-0.18,-30087
도태훈,1루수,57,17,215.2,171,20,1,7.97,1.87,2.7,NC 다이노스,100,181,177,145,20,31,4,0,0,15,1,0,24,6,0,29,5,4,2,8000,0.48,16655
이성규,1루수,39,21,201.1,173,10,2,8.18,0.67,0.79,삼성 라이온즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,1.86,3233
김태연,1루수,49,30,306.1,253,26,5,8.2,-3.33,-3.8,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,0.47,16566
김인환,1루수,14,7,66.0,50,3,2,7.23,-1.43,-4.05,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6900,-1.27,-5425
홍성호,1루수,3,0,5.0,5,0,0,9.0,0.02,0.2,두산 베어스,15,15,15,14,0,4,2,0,0,1,1,0,1,0,0,7,0,0,0,3300,0.10,31759
