Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,팀,pid,pit_G,pit_GS,GR,GF,CG,SHO,W,L,S,HD,pit_IP,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,FIP,WHIP,연봉(만원),WAR,WAR당 연봉
양현종,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,10058.0,29,29,0,3,3,0,11,5,0,0,171.1,78,86,83.1,727,174,37,6,21,41,6,0,129,11,0,2,4.1,4.63,1.25,50000,4.99,10026
진해수,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,10075.0,54,0,54,3,0,0,2,1,0,5,27.2,19,21,23.55,128,36,3,0,5,10,3,1,22,0,0,2,6.18,5.82,1.66,15000,0.02,609489
고효준,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,10124.0,26,0,26,2,0,0,2,1,0,5,22.0,20,21,19.25,109,23,4,0,4,20,1,1,27,1,0,2,8.18,6.25,1.95,15300,-0.05,-304187
김광현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,10126.0,31,31,0,0,0,0,12,10,0,0,162.1,89,95,94.65,709,162,29,0,24,73,6,1,154,6,0,8,4.93,5.1,1.45,100000,3.91,25582
박종훈,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,10131.0,10,9,1,1,0,0,1,4,0,0,35.0,27,28,26.1,164,37,7,0,7,21,8,0,34,0,0,3,6.94,6.72,1.66,110000,0.29,373407
송은범,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,10137.0,9,0,9,3,0,0,0,0,0,2,8.1,1,1,1.5,32,8,2,0,0,1,0,0,2,0,0,0,1.08,3.97,1.08,5000,0.34,14521
정우람,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,10156.0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4.2,99.99,10000,-,-
노경은,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,10203.0,77,0,77,7,0,0,8,5,0,38,83.2,27,30,36.0,350,71,10,1,10,32,4,4,71,2,0,3,2.9,4.69,1.23,35000,3.10,11275
이용찬,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,10217.0,57,0,57,36,0,0,3,9,16,2,54.1,37,48,46.5,262,82,20,3,6,21,2,1,49,5,0,6,6.13,4.57,1.9,40000,-1.02,-39294
이재학,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,10220.0,21,21,0,0,0,0,3,12,0,0,104.1,64,68,66.25,462,108,27,3,17,42,4,0,97,3,0,2,5.52,5.18,1.44,20000,1.16,17183
하준호,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,10304.0,2,0,2,1,0,0,0,0,0,0,2.0,2,2,2.0,11,5,0,0,0,1,0,0,0,0,0,0,9.0,5.75,3.0,4500,0.00,-1497604
백정현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,10363.0,17,15,2,1,0,0,6,5,0,0,78.2,52,56,54.8,360,104,15,2,13,27,1,1,56,4,0,0,5.95,5.45,1.67,40000,0.72,55812
오승환,투수,58,0,55.0,1,5,0,0.98,0.0,0.0,삼성 라이온즈,10367.0,58,0,58,42,0,0,3,9,27,2,55.0,30,36,40.35,262,75,17,2,9,18,3,3,42,3,0,5,4.91,5.31,1.69,40000,-0.40,-101083
김상수,투수,71,0,73.2,1,13,1,1.71,0.0,0.0,롯데 자이언츠,10427.0,74,0,74,10,0,0,8,4,2,17,73.2,34,40,45.4,322,71,11,1,5,26,5,2,56,6,1,6,4.15,4.33,1.32,16000,1.22,13126
문성현,투수,39,0,38.1,2,1,0,0.7,0.0,0.0,키움 히어로즈,10437.0,42,0,42,12,0,0,1,2,3,2,38.1,28,28,29.55,189,54,6,2,3,25,2,0,31,1,0,2,6.57,5.29,2.06,7500,-0.12,-64581
임창민,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,10452.0,60,0,60,6,0,0,2,1,1,28,54.1,24,26,23.3,253,60,10,0,4,30,2,2,50,3,0,5,3.98,4.49,1.66,20000,1.51,13278
장시환,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,10453.0,30,0,30,2,0,0,2,2,0,2,33.1,19,27,22.05,156,34,6,1,3,22,1,0,28,5,0,0,5.13,5.31,1.68,20000,0.21,97084
우규민,투수,44,0,43.1,1,5,1,1.25,0.0,0.0,KT 위즈,10523.0,45,0,45,15,0,0,4,1,1,4,43.1,12,14,15.9,181,47,7,2,1,2,2,0,39,4,0,0,2.49,2.51,1.13,22000,1.34,16466
이승현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,10527.0,60,0,60,9,0,0,6,2,1,9,60.1,30,31,34.15,265,68,14,2,6,23,3,0,51,1,0,2,4.48,4.61,1.51,17000,0.62,27425
정찬헌,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,키움 히어로즈,10533.0,4,4,0,0,0,0,0,2,0,0,16.0,14,14,13.3,74,26,5,0,3,3,1,0,5,0,0,0,7.88,6.42,1.81,20000,-0.01,-2847960
