Name_x,포지션,fid_G,fid_GS,fid_IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도.1,수비 관련 득점 기여도.2,수비 관련 득점 기여도.3,수비 관련 득점 기여도.4,수비 관련 득점 기여도.5,수비 관련 득점 기여도.6,수비 관련 득점 기여도.7,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid,pit_G,pit_GS,GR,GF,CG,SHO,W,L,S,HD,pit_IP,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼_x,bat_G,oWAR,dWAR,PA,ePA,AB,R_y,H_y,2B_y,3B_y,HR_y,TB,RBI,SB,CS,BB_y,HP_y,IB_y,SO_y,GDP,SH,SF,비율,비율.1,비율.2,비율.3,비율.4,비율.5,WAR▼_y,Name_y,연봉(만원),WAR,WAR당 연봉
김선빈,1루수,1,0,1.0,2,2,0,0,100.0,18.0,0,0,0.0,0,0,0,0,0,0.0,0.01,0,0,0.0,0,KIA 타이거즈,10008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,김선빈,60000,2.11,28379
안치홍,1루수,37,34,293.0,268,240,24,4,98.5,8.11,-2.95,0,-0.56,0,0.06,0,0,0,-3.45,-3.88,-3.0,-6.45,-0.315,-0.589,한화 이글스,10014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,안치홍,50000,1.97,25319
최정,1루수,1,0,1.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.01,0,0,0.0,0,SSG 랜더스,10106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,최정,100000,4.68,21383
이원석,1루수,12,12,87.0,91,85,4,2,97.8,9.21,-1.45,0,-0.57,0,0,0,0,0,-2.02,-7.46,-0.76,-2.78,-0.185,-0.254,키움 히어로즈,10180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이원석,40000,-0.47,-84662
최주환,1루수,122,116,1027.2,972,906,60,6,99.4,8.46,2.39,0,2.07,0,0.29,0,0,0,4.75,5.26,-10.22,-5.47,0.434,-0.499,키움 히어로즈,10182.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,-0.32,0.3,544,544,482,49,124,23,1,13,188,84,0,1,47,6,2,92,12,0,9,0.257,0.325,0.39,0.715,0.111,86.1,-0.03,최주환,65000,0.35,184816
김현수,1루수,7,0,11.0,8,8,0,0,100.0,6.55,-0.34,0,0.05,0,0,0,0,0,-0.28,-0.3,-0.12,-0.4,-0.026,-0.037,LG 트윈스,10187.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,김현수,100000,1.01,99083
오태곤,1루수,89,42,478.2,464,427,35,2,99.6,8.69,1.91,0,1.36,0,0.29,0,0,0,3.57,4.39,-3.92,-0.35,0.326,-0.032,SSG 랜더스,10249.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1.19,0.09,288,281,247,43,68,16,0,9,111,36,27,4,31,1,2,73,4,6,3,0.275,0.355,0.449,0.804,0.143,102.4,1.29,오태곤,25000,1.43,17510
정훈,1루수,37,29,271.0,281,259,20,2,99.3,9.27,0.42,0,0.34,0,0.29,0,0,0,1.04,1.38,-2.6,-1.56,0.095,-0.142,롯데 자이언츠,10253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0.76,0.0,325,324,285,31,76,20,0,9,123,47,1,1,35,0,0,63,3,1,4,0.267,0.343,0.432,0.775,0.133,94.9,0.76,정훈,30000,1.18,25494
오재일,1루수,55,43,406.1,360,339,18,3,99.2,7.91,-4.5,0,0.5,0,-0.42,0,0,0,-4.41,-6.05,-4.16,-8.57,-0.403,-0.783,KT 위즈,10400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,-0.01,-0.43,272,272,232,27,57,13,0,8,94,37,0,0,30,2,0,70,3,0,8,0.246,0.327,0.405,0.732,0.116,84.3,-0.45,오재일,50000,-0.84,-59474
오재일,1루수,12,11,84.2,86,77,9,0,100.0,9.14,-0.76,0,0.42,0,0,0,0,0,-0.34,-0.47,-0.78,-1.12,-0.031,-0.102,삼성 라이온즈,10400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,-0.22,-0.05,71,71,64,6,15,5,1,3,31,8,0,0,6,0,0,18,4,0,1,0.234,0.296,0.484,0.78,0.123,87.0,-0.27,0,0,0,0
