구분,구단,성명,위치,연령,신장(cm),체중(kg),계약금(USD),연봉(USD),계약금(₩),연봉(₩),입단연도,국적
투수,LG,Elieser Hernandez,투수,28,185,97,440000,2024,572000000,2631200,2024,베네수엘라
투수,LG,Dietrich Enns,투수,33,185,95,300000,600000,390000000,780000000,2024,미국
타자,LG,Austin Dean,내야수,31,183,97,300000,800000,390000000,1040000000,2023,미국
투수,KT,Wes Benjamin,투수,31,188,95,400000,900000,520000000,1170000000,2022,미국
투수,KT,William Cuevas,투수,34,188,98,300000,1000000,390000000,1300000000,2019,베네수엘라
타자,KT,Mel Rojas Jr.,외야수,34,189,102,100000,500000,130000000,650000000,2017,미국
투수,SSG,Roenis Elias,투수,36,185,92,100000,650000,130000000,845000000,2023,쿠바
투수,SSG,Drew Anderson,투수,30,190,92,,570000,,741000000,2024,미국
타자,SSG,Guillermo Heredia,외야수,33,178,88,150000,1150000,195000000,1495000000,2023,쿠바
투수,NC,Eric Jokisch,투수,35,188,93,100000,,130000000,,2019,미국
투수,NC,Kyle Hart,투수,32,196,90,200000,500000,260000000,650000000,2024,미국
타자,NC,Matthew Davidson,내야수,31,190,104,140000,560000,182000000,728000000,2024,미국
투수,두산,Brandon Waddell,투수,30,190,81,250000,750000,325000000,975000000,2022,미국
투수,두산,Raul Alcantara,투수,32,193,100,500000,800000,650000000,1040000000,2019,도미니카
타자,두산,Jared Young,외야수,29,185,,,,2024,미국
투수,롯데,Charlie Barnes,투수,29,190,95,200000,900000,260000000,1170000000,2022,미국
투수,롯데,Wilkerson,투수,35,185,95,100000,700000,130000000,910000000,2023,미국
타자,롯데,Victor Reyes,외야수,29,196,95,100000,700000,130000000,910000000,2024,베네수엘라
투수,삼성,David Buchanan,투수,35,191,88,200000,900000,260000000,1170000000,2020,미국
투수,삼성,Connor Seabold,투수,28,188,86,100000,600000,130000000,780000000,2024,미국
타자,삼성,Jose Pirela,외야수,35,183,99,100000,700000,130000000,910000000,2021,베네수엘라
투수,한화,Jamie Barria,투수,27,188,95,70000,480000,91000000,624000000,2024,파나마
타자,한화,Yonathan Perlaza,외야수,26,175,88,200000,600000,260000000,780000000,2024,베네수엘라
투수,키움,Ariel Jurado,투수,28,187,109,,1200000,,1560000000,2023,파나마
투수,키움,Enmanuel De Jesus,투수,28,192,104,,600000,,780000000,2024,베네수엘라
타자,키움,Ronnie Dawson,외야수,29,183,100,,550000,,715000000,2023,미국 
