Name_x,포지션,pit_G,GR,GF,CG,SHO,W,L,S,HD,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,RA9,FIP,WHIP,팀,pid,Sort▼_y,fid_G,fid_GS,fid_IP,PO,Ass,E,F%,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,연봉(만원),WAR,WAR당 연봉,팀_y,pit_GS,pit_IP
장원준,투수,11,1,0,0,0,3,5,0,0,24,27,26.0,183,53,8,2,4,11,2,0,24,2,0,2,5.27,5.93,4.53,1.56,두산 베어스,10299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.1,49587,두산 베어스,,
신정락,투수,34,34,9,0,0,4,0,0,1,15,15,20.7,128,32,6,0,4,11,3,3,28,1,0,0,4.66,4.66,4.47,1.48,롯데 자이언츠,10516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000,-0.1,-71487,롯데 자이언츠,,
심창민,투수,5,5,1,0,0,0,1,0,0,1,2,1.3,18,2,0,0,0,5,1,0,5,0,0,0,2.7,5.4,5.68,2.1,NC 다이노스,10720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000,0.06,260282,NC 다이노스,,
송윤준,투수,4,4,1,0,0,0,0,0,0,4,4,4.0,19,4,2,0,0,2,0,0,3,0,1,0,8.31,8.31,3.55,1.38,한화 이글스,10748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500,-0.04,-99340,한화 이글스,,
홍성민,투수,2,2,2,0,0,0,0,0,0,2,2,2.0,12,5,0,1,1,1,0,0,1,0,0,1,9.0,9.0,10.1,3.0,키움 히어로즈,10814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000,-0.01,-1243915,키움 히어로즈,,
변시원,투수,4,4,0,0,0,0,0,0,0,11,11,8.25,19,6,2,0,1,4,2,0,2,0,0,0,42.43,42.43,14.78,4.29,키움 히어로즈,10882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,-0.14,-28982,키움 히어로즈,,
윤명준,투수,21,21,8,0,0,0,1,0,5,14,14,21.95,98,31,3,1,4,10,4,2,11,0,0,5,6.52,6.52,7.13,2.12,롯데 자이언츠,10885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000,-0.65,-9233,롯데 자이언츠,,
노건우,투수,16,16,1,0,0,0,1,0,1,10,11,12.65,65,22,3,0,3,5,1,0,12,1,0,1,7.3,8.03,5.82,2.19,삼성 라이온즈,11144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800,-0.18,-27227,삼성 라이온즈,,
최영환,투수,8,8,4,0,0,0,1,0,0,11,14,13.65,54,15,8,0,0,7,1,0,7,3,0,0,9.9,12.6,4.58,2.2,롯데 자이언츠,11276.0,0.0,8.0,0.0,10.0,1.0,3.0,0.0,100.0,3.6,0.0,0.0,4000,-0.28,-14162,롯데 자이언츠,,
문경찬,투수,2,2,1,0,0,0,1,0,0,6,6,6.0,12,6,0,0,3,0,0,0,2,0,0,0,27.0,27.0,19.2,3.0,롯데 자이언츠,11299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7200,-0.19,-37857,롯데 자이언츠,,
