Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,포지션
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
1,박동원,25 C,4.28,88,4.09,0.19,330,326,279,38,78,12,0,16,138,52,3,0,41,2,2,74,6,3,5,0.28,0.37,0.495,0.865,0.166,145.0,4.28,포수
2,양의지,25 C,3.6,88,3.55,0.05,353,351,308,35,93,15,0,13,147,58,1,1,38,4,4,45,6,0,3,0.302,0.382,0.477,0.859,0.163,142.2,3.6,포수
3,최재훈,25 C,2.39,76,2.55,-0.16,217,209,165,20,51,9,0,1,63,20,1,1,28,12,0,24,2,8,4,0.309,0.435,0.382,0.817,0.172,140.6,2.39,포수
4,유강남,25 C,1.69,74,1.77,-0.08,218,216,183,24,51,14,0,4,77,25,0,0,21,10,0,44,6,2,2,0.279,0.38,0.421,0.801,0.152,124.7,1.69,포수
5,강민호,25 C,1.65,79,1.48,0.18,291,288,259,21,71,16,0,8,111,49,2,2,24,3,3,42,9,0,5,0.274,0.337,0.429,0.766,0.125,99.8,1.65,포수
6,장성우,25 C,1.63,84,1.67,-0.04,315,313,272,28,71,11,0,7,103,39,0,1,36,0,1,64,6,1,6,0.261,0.341,0.379,0.72,0.12,100.5,1.63,포수
7,김형준,25 C,1.46,73,1.18,0.28,239,238,212,26,45,6,1,12,89,35,2,0,23,1,0,77,3,1,2,0.212,0.29,0.42,0.71,0.11,92.8,1.46,포수
8,김태군,25 C,1.05,63,0.62,0.43,179,173,150,13,36,8,1,1,49,20,0,0,15,5,1,11,3,6,3,0.24,0.324,0.327,0.651,0.095,81.8,1.05,포수
9,이주헌,25 C,0.66,50,0.9,-0.24,115,114,94,15,21,3,0,3,33,7,0,0,13,7,0,23,1,1,0,0.223,0.36,0.351,0.711,0.13,115.0,0.66,포수
10,조형우,25 C,0.65,63,0.45,0.2,195,194,176,15,43,5,0,3,57,18,0,0,13,3,0,34,5,1,2,0.244,0.304,0.324,0.628,0.084,71.1,0.65,포수
11,한준수,25 C,0.53,60,0.72,-0.18,166,166,144,22,34,9,1,3,54,15,0,0,17,2,1,26,2,0,3,0.236,0.319,0.375,0.694,0.108,93.7,0.53,포수
12,조대현,25 C,0.27,35,0.27,0.0,45,43,37,4,9,2,0,0,11,6,0,0,5,1,0,10,0,2,0,0.243,0.349,0.297,0.646,0.107,87.6,0.27,포수
13,김기연,25 C,0.22,53,0.29,-0.07,133,130,117,11,29,4,0,1,36,16,0,0,11,1,0,22,5,3,1,0.248,0.315,0.308,0.623,0.087,76.2,0.22,포수
14,정보근,25 C,0.21,70,0.17,0.04,133,130,116,4,24,4,1,1,33,15,0,0,14,1,1,33,4,2,0,0.207,0.298,0.284,0.582,0.074,61.2,0.21,포수
15,박재엽,25 C,0.21,8,0.28,-0.07,15,15,13,2,4,1,0,1,8,3,0,0,2,0,0,4,0,0,0,0.308,0.4,0.615,1.015,0.218,170.8,0.21,포수
16,신범수,25 C,0.18,21,0.17,0.01,27,27,21,1,4,0,0,1,7,3,0,0,5,1,0,4,0,0,0,0.19,0.37,0.333,0.703,0.14,118.8,0.18,포수
17,김정호,25 C,0.13,7,0.12,0.02,10,9,9,2,4,0,0,0,4,0,0,0,0,0,0,4,0,1,0,0.444,0.444,0.444,0.888,0.172,142.6,0.13,포수
18,김건희,25 C,0.13,56,0.22,-0.08,179,177,172,15,42,11,2,1,60,13,0,1,4,0,0,46,2,2,1,0.244,0.26,0.349,0.609,0.064,59.0,0.13,포수
19,강현우,25 C,0.1,18,0.26,-0.16,35,35,31,3,8,1,0,1,12,4,0,0,4,0,0,8,0,0,0,0.258,0.343,0.387,0.73,0.127,108.4,0.1,포수
20,허인서,25 C,0.07,4,0.08,-0.01,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,0.913,699.8,0.07,포수
21,한승택,25 C,0.06,12,0.01,0.05,20,20,18,3,4,1,0,0,5,0,0,0,1,1,0,6,1,0,0,0.222,0.3,0.278,0.578,0.071,61.5,0.06,포수
22,장규현,25 C,0.06,1,0.05,0.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.594,455.3,0.06,포수
23,김도환,25 C,0.03,2,0.06,-0.03,3,3,3,0,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1.0,0.194,141.3,0.03,포수
24,이재원,25 C,0.03,70,-0.27,0.3,107,104,93,1,19,0,1,0,21,7,1,1,7,1,0,22,2,3,3,0.204,0.26,0.226,0.486,0.035,28.7,0.03,포수
25,김성우,25 C,0.0,4,0.01,-0.01,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,0.087,79.8,0.0,포수
26,김동헌,25 C,0.0,36,-0.01,0.01,69,69,62,7,15,2,0,0,17,6,0,0,5,1,0,19,0,0,1,0.242,0.304,0.274,0.578,0.07,63.6,0.0,포수
27,손성빈,25 C,-0.02,21,-0.09,0.08,22,21,19,3,3,0,0,1,6,3,0,0,1,1,0,6,1,1,0,0.158,0.238,0.316,0.554,0.054,43.4,-0.02,포수
28,이율예,25 C,-0.03,1,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.166,-136.5,-0.03,포수
