,Unnamed: 0,선수,팀,G,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,연도,기존pid,포지션,연봉(만원),팀연봉순위,전체연봉순위,계약금(만원)분할,연봉 총수령액(만원)
0,0,하주석,한화 이글스,113,111,923.2,0.692,376.0,131.0,231.0,14.0,96.3,3.53,-3.46,,0.0,0.99,,,,,-2.48,-2.58,9.46,6.98,-0.246,109139,2021,10913,유격수,13500.0,12.0,173.0,0.0,13500.0
1,1,이해창,한화 이글스,20,16,149.0,0.18,129.0,112.0,16.0,1.0,99.2,7.73,0.27,,-0.02,,-0.06,0.56,-0.54,,0.37,2.68,1.44,1.81,0.037,103919,2021,10391,포수,6000.0,30.0,348.0,0.0,6000.0
2,2,김현민,한화 이글스,3,1,13.0,0.089,7.0,2.0,5.0,0.0,100.0,4.85,0.95,,0.02,-0.11,,,,,0.85,24.46,0.05,0.9,0.084,142099,2021,14209,2루수,3100.0,61.0,573.0,0.0,3100.0
3,3,이성열,한화 이글스,10,7,64.0,0.019,52.0,46.0,5.0,1.0,98.1,7.17,0.7,,0.05,,,,,,0.76,2.37,-0.56,0.2,0.075,101689,2021,10168,1루수,40000.0,6.0,71.0,0.0,40000.0
4,4,장규현,한화 이글스,4,1,16.0,0.019,12.0,12.0,0.0,0.0,100.0,6.75,0.0,,0.05,,,0.0,0.0,,0.05,1.01,0.14,0.19,0.005,148119,2021,14811,포수,10000.0,17.0,218.0,0.0,10000.0
5,5,이성곤,한화 이글스,38,34,283.0,-0.115,268.0,251.0,13.0,4.0,98.5,8.4,1.78,,-0.26,,0.06,,,,1.58,3.66,-2.74,-1.16,0.156,112069,2021,11206,1루수,5400.0,35.0,396.0,0.0,5400.0
6,6,허관회,한화 이글스,17,9,94.0,-0.14,78.0,74.0,3.0,1.0,98.7,7.37,-0.12,,-0.2,,,-0.31,-2.67,,-2.49,-12.83,1.08,-1.41,-0.247,142049,2021,14204,포수,3100.0,61.0,573.0,0.0,3100.0
7,7,힐리,한화 이글스,62,59,527.0,-0.228,526.0,479.0,42.0,5.0,99.0,8.9,2.92,,-0.06,,-0.12,,,,2.74,5.88,-5.04,-2.3,0.272,147619,2021,14761,1루수,104000.0,1.0,20.0,0.0,104000.0
8,8,임종찬,한화 이글스,40,38,329.0,-0.366,71.0,70.0,0.0,1.0,98.6,1.91,-1.39,-0.81,-0.05,,,,,,-2.25,-7.71,-1.44,-3.69,-0.223,147069,2021,14706,우익수,3600.0,42.0,486.0,0.0,3600.0
9,9,윤대경,한화 이글스,43,9,77.2,,6.0,4.0,2.0,0.0,100.0,0.7,,,,,,,,,0.0,,,,0.0,111109,2021,11110,투수,7700.0,25.0,294.0,0.0,7700.0
10,10,장민재,한화 이글스,12,6,29.1,,2.0,0.0,2.0,0.0,100.0,0.61,,,,,,,,,0.0,0.0,,,0.0,106109,2021,10610,투수,10000.0,17.0,218.0,0.0,10000.0
11,11,카펜터,한화 이글스,31,30,170.0,,25.0,6.0,16.0,3.0,88.0,1.16,,,,,,,,,0.0,,,,0.0,147609,2021,14760,투수,52000.0,3.0,53.0,0.0,52000.0
12,12,임준섭,한화 이글스,13,0,10.2,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,107959,2021,10795,투수,5800.0,34.0,385.0,0.0,5800.0
13,13,김종수,한화 이글스,47,0,46.2,,6.0,2.0,4.0,0.0,100.0,1.16,,,,,,,,,0.0,0.0,,,0.0,111179,2021,11117,투수,6100.0,29.0,347.0,0.0,6100.0
14,14,신정락,한화 이글스,20,0,20.0,,5.0,2.0,3.0,0.0,100.0,2.25,,,,,,,,,0.0,0.0,,,0.0,105169,2021,10516,투수,8000.0,21.0,271.0,0.0,8000.0
15,15,송윤준,한화 이글스,16,0,12.2,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,107489,2021,10748,투수,4000.0,38.0,455.0,0.0,4000.0
16,16,김기탁,한화 이글스,17,0,12.1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,128759,2021,12875,투수,3300.0,49.0,521.0,0.0,3300.0
17,17,정우람,한화 이글스,50,0,44.2,,6.0,1.0,5.0,0.0,100.0,1.21,,,,,,,,,0.0,0.0,,,0.0,101569,2021,10156,투수,80000.0,2.0,36.0,0.0,80000.0
18,18,윤호솔,한화 이글스,54,0,48.2,,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,111709,2021,11170,투수,3100.0,61.0,573.0,0.0,3100.0
19,19,강재민,한화 이글스,58,0,63.1,,11.0,5.0,6.0,0.0,100.0,1.56,,,,,,,,,0.0,0.0,,,0.0,147089,2021,14708,투수,7900.0,23.0,291.0,0.0,7900.0
20,20,오지환,LG 트윈스,132,129,1060.2,1.738,547.0,175.0,359.0,13.0,97.6,4.53,7.69,,-0.28,-0.34,,,,,7.07,7.6,10.46,17.53,0.701,104756,2021,10475,유격수,60000.0,5.0,50.0,0.0,60000.0
21,21,유강남,LG 트윈스,129,117,961.0,1.024,897.0,829.0,65.0,3.0,99.7,8.37,-1.21,,2.61,,-0.42,0.59,-2.26,,-0.01,-0.01,10.34,10.33,-0.001,107536,2021,10753,포수,30000.0,8.0,85.0,0.0,30000.0
22,22,서건창,LG 트윈스,62,58,463.2,0.465,237.0,115.0,121.0,1.0,99.6,4.58,1.93,,0.09,0.23,,,,,2.25,2.25,2.44,4.69,0.223,108556,2021,10855,2루수,22500.0,14.0,114.0,0.0,22500.0
