팀,선수,계약금(만원),포지션
한화 이글스,김서현,50000,투수
한화 이글스,문현빈,15000,내야수
한화 이글스,이민준,11000,내야수
한화 이글스,김관우,9000,투수
한화 이글스,김해찬,7000,외야수
한화 이글스,한서구,5000,투수
한화 이글스,송성훈,5000,투수
한화 이글스,최원준,4000,투수
한화 이글스,박재규,4000,투수
한화 이글스,천보웅,3000,투수
한화 이글스,김예준,3000,내야수
KIA 타이거즈,윤영철,32000,투수
KIA 타이거즈,김동헌,15000,포수
KIA 타이거즈,정해원,10000,내야수
KIA 타이거즈,김세일,6000,투수
KIA 타이거즈,곽도규,6000,투수
KIA 타이거즈,이송찬,5000,투수
KIA 타이거즈,이도현,4000,투수
KIA 타이거즈,박일훈,4000,투수
KIA 타이거즈,김도월,3000,내야수
KIA 타이거즈,김재현,3000,내야수
롯데 자이언츠,김민석,25000,내야수
롯데 자이언츠,이진하,15000,투수
롯데 자이언츠,서현원,11000,투수
롯데 자이언츠,김기준,8000,투수
롯데 자이언츠,정대선,7000,내야수
롯데 자이언츠,이태연,6000,투수
롯데 자이언츠,석상호,5000,투수
롯데 자이언츠,조경민,4000,투수
롯데 자이언츠,정재환,3000,포수
롯데 자이언츠,장세진,3000,투수
롯데 자이언츠,배인혁,2000,내야수
NC 다이노스,신영우,25000,투수
NC 다이노스,박한결,15000,외야수
NC 다이노스,신용석,10000,포수
NC 다이노스,목지훈,8000,투수
NC 다이노스,강건준,6000,투수
NC 다이노스,이준호,6000,투수
NC 다이노스,신성호,5000,내야수
NC 다이노스,정주영,4000,투수
NC 다이노스,서동욱,3000,투수
NC 다이노스,배상호,3000,외야수
NC 다이노스,김주환,3000,투수
SSG 랜더스,이로운,25000,투수
SSG 랜더스,송영진,15000,투수
SSG 랜더스,김정민,10000,외야수
SSG 랜더스,안현서,8000,투수
SSG 랜더스,김건웅,7000,내야수
SSG 랜더스,박세직,6000,외야수
SSG 랜더스,김민준,5000,내야수
SSG 랜더스,류현곤,4000,투수
SSG 랜더스,이승훈,4000,투수
SSG 랜더스,김건이,3000,포수
SSG 랜더스,김준영,3000,투수
키움 히어로즈,김건희,22000,포수 겸 투수
키움 히어로즈,오상원,11000,투수
키움 히어로즈,박윤성,9000,투수
키움 히어로즈,이승원,7000,내야수
키움 히어로즈,송재선,7000,외야수
키움 히어로즈,우승원,5000,내야수
키움 히어로즈,박성빈,5000,포수
키움 히어로즈,이호열,4000,내야수
키움 히어로즈,변헌성,4000,포수
키움 히어로즈,안겸,3000,포수
키움 히어로즈,서유신,3000,내야수
LG 트윈스,김범석,25000,포수
LG 트윈스,김동규,13000,투수
LG 트윈스,박명근,11000,투수
LG 트윈스,이준서,8000,외야수
LG 트윈스,원상훈,7000,투수
LG 트윈스,권동혁,6000,외야수
LG 트윈스,허용주,5000,투수
LG 트윈스,송대현,4000,내야수
LG 트윈스,이철민,4000,내야수
LG 트윈스,곽민호,3000,내야수
LG 트윈스,강민균,3000,내야수
삼성 라이온즈,이호성,20000,투수
삼성 라이온즈,박권후,13000,투수
삼성 라이온즈,김재상,10000,내야수
삼성 라이온즈,신윤호,8000,투수
삼성 라이온즈,강준서,7000,내야수
삼성 라이온즈,김시온,6000,투수
삼성 라이온즈,류승민,5000,외야수
삼성 라이온즈,김민호,4000,내야수
삼성 라이온즈,박시원,4000,투수
삼성 라이온즈,박장민,3000,내야수
삼성 라이온즈,박진우,3000,포수
두산 베어스,최준호,20000,투수
두산 베어스,김유성,15000,투수
두산 베어스,장우진,10000,투수
두산 베어스,임서준,8000,내야수
두산 베어스,윤준호,7000,포수
두산 베어스,한충희,5000,투수
두산 베어스,백승우,5000,투수
두산 베어스,박민준,4000,포수
두산 베어스,김문수,3000,외야수
두산 베어스,류건우,3000,투수
두산 베어스,남율,3000,투수
KT 위즈,김정운,22000,투수
KT 위즈,정준영,12000,외야수
KT 위즈,손민석,9000,내야수
KT 위즈,김건웅,8000,투수
KT 위즈,임정균,7000,투수
KT 위즈,이준희,6000,포수
KT 위즈,류현인,5000,내야수
KT 위즈,황의준,4000,외야수
KT 위즈,정진호,4000,투수
KT 위즈,이준명,3000,투수
KT 위즈,강건,3000,투수
