Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,id,2023,2024,2024_예측
박상언,23 C,0.347,79,38,388.2,368,333,34,1,99.7,8.5,-0.39,0.0,0.51,0.0,-0.02,-0.17,-0.12,0.0,-0.15,-0.24,3.55,3.41,-0.015,125879,-0.35,86,-0.34,-0.01,161,158,145,13,29,5,1,1,39,13,1,2,10,1,0,38,6,3,2,0.2,0.253,0.269,0.522,0.045,37.9,12587,3600.0,4200.0,4787.0
정은원,23 2B,0.32,101,92,797.2,441,188,245,8,98.2,4.89,-2.03,0.0,0.67,0.43,0.0,0.0,0.0,0.0,-0.93,-1.09,4.06,3.13,-0.095,131379,0.74,122,0.83,-0.09,459,453,388,50,86,12,0,2,104,30,6,3,62,3,1,73,4,5,1,0.222,0.333,0.268,0.601,0.089,76.1,13137,21800.0,17800.0,19970.0
최인호,23 LF,0.137,37,35,271.1,77,76,0,1,98.7,2.52,3.09,-0.3,-0.01,0.0,0.0,0.0,0.0,0.0,2.78,9.77,-1.44,1.34,0.284,147079,1.11,41,0.82,0.28,148,146,131,23,39,5,3,2,56,11,1,0,10,4,0,22,2,2,1,0.298,0.363,0.427,0.79,0.146,125.0,14707,3800.0,4800.0,5584.0
이민준,23 SS,0.054,4,0,8.0,2,1,1,0,100.0,2.25,0.47,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.49,17.69,0.04,0.53,0.05,154239,0.07,4,0.02,0.05,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.166,136.1,15423,3000.0,14100.0,11311.0
이재용,23 C,0.039,2,0,4.0,2,2,0,0,100.0,4.5,0.0,0.0,0.01,0.0,0.0,0.0,0.46,0.0,0.33,23.9,0.05,0.38,0.034,129029,0.03,2,-0.01,0.03,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.222,173.2,12902,3100.0,3100.0,5365.0
이상혁,23 CF,-0.098,2,0,6.0,2,2,0,0,100.0,3.0,-0.66,-0.31,0.01,0.0,0.0,0.0,0.0,0.0,-0.96,-19.72,0.0,-0.96,-0.098,151399,-0.18,7,-0.08,-0.1,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.167,-130.0,15139,3000.0,3100.0,3749.0
허관회,23 C,-0.136,8,0,14.2,15,14,0,1,93.3,8.59,-0.88,0.0,0.04,0.0,0.0,-0.19,-0.57,0.0,-1.43,-20.63,0.1,-1.34,-0.146,142049,-0.34,10,-0.19,-0.15,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.167,-139.5,14204,3300.0,3300.0,3522.0
하주석,23 SS,-0.154,23,4,84.0,36,11,23,2,94.4,3.64,-2.73,0.0,0.2,0.38,0.0,0.0,0.0,0.0,-2.15,-12.36,0.64,-1.51,-0.219,109139,-0.53,25,-0.31,-0.22,38,38,35,4,4,1,0,0,5,2,0,0,2,1,0,10,0,0,0,0.114,0.184,0.143,0.327,-0.022,-18.3,10913,10000.0,7000.0,6683.0
오지환,23 SS,1.36,125,115,1010.2,465,176,275,14,97.0,4.02,3.31,0.0,-0.59,0.68,0.0,0.0,0.0,0.0,3.4,3.88,9.94,13.34,0.346,104756,5.01,126,4.66,0.35,502,498,422,65,113,24,3,8,167,62,16,7,64,8,0,82,4,4,4,0.268,0.371,0.396,0.767,0.144,127.0,10475,60000.0,30000.0,30140.0
허도환,23 C,0.195,45,21,212.0,176,168,8,0,100.0,7.47,-0.2,0.0,0.55,0.0,0.0,-0.63,0.48,0.0,0.06,0.18,1.85,1.91,0.006,106846,-0.03,47,-0.04,0.01,81,74,64,8,9,3,0,2,18,10,0,0,3,6,0,20,3,7,1,0.141,0.243,0.281,0.524,0.053,46.0,10684,10000.0,10000.0,7097.0
전준호,23 C,0.005,2,0,3.0,4,4,0,0,100.0,12.0,0.0,0.0,0.01,0.0,0.0,-0.04,0.08,0.0,0.02,1.51,0.02,0.05,0.002,128646,-0.02,2,-0.02,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.167,-140.9,12864,3200.0,3300.0,3666.0
김범석,23 1B,-0.251,5,5,43.0,45,38,5,2,95.6,9.0,-0.85,0.0,-0.42,0.0,-0.79,0.0,0.0,0.0,-2.06,-29.73,-0.4,-2.46,-0.211,154846,-0.47,10,-0.26,-0.21,29,29,27,3,3,1,0,1,7,4,0,0,1,0,0,5,1,0,1,0.111,0.138,0.259,0.397,-0.018,-15.9,15484,3000.0,28300.0,20511.0
문보경,23 3B,-0.33,128,126,1090.2,308,104,184,20,93.5,2.38,-2.45,0.0,-0.94,0.49,-0.34,0.0,0.0,0.0,-3.24,-3.56,0.0,-3.24,-0.33,141376,3.99,131,4.32,-0.33,542,533,469,77,141,29,5,10,210,72,9,8,58,2,2,83,5,9,4,0.301,0.377,0.448,0.825,0.158,138.5,14137,17000.0,30000.0,30460.0
