Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
1,백승현,24 P,0.0,33,0,26.2,6,0,5,1,83.3,1.69,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,정우영,24 P,0.0,27,0,22.2,7,0,7,0,100.0,2.78,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,문승원,24 P,0.0,61,0,60.0,11,2,9,0,100.0,1.65,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,권휘,24 P,0.0,8,0,9.0,3,1,1,1,66.7,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,박정우,24 P,0.0,1,0,1.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
6,오승환,24 P,,58,0,55.0,6,1,5,0,100.0,0.98,,,,,,,,,0.0,0.0,,,0.0,
6,홍건희,24 P,,64,0,59.1,14,1,12,1,92.9,1.97,,,,,,,,,0.0,0.0,,,0.0,
6,김진성,24 P,,70,0,70.1,10,4,5,1,90.0,1.15,,,,,,,,,0.0,0.0,,,0.0,
6,주현상,24 P,,62,0,71.1,12,2,10,0,100.0,1.51,,,,,,,,,0.0,0.0,,,0.0,
6,김명신,24 P,,32,0,32.2,5,2,3,0,100.0,1.38,,,,,,,,,0.0,0.0,,,0.0,
6,김호준,24 P,,15,1,13.1,2,0,2,0,100.0,1.35,,,,,,,,,0.0,0.0,,,0.0,
6,이지강,24 P,,44,2,53.2,10,4,6,0,100.0,1.68,,,,,,,,,0.0,0.0,,,0.0,
6,김재열,24 P,,68,0,68.2,10,3,5,2,80.0,1.05,,,,,,,,,0.0,0.0,,,0.0,
6,주승우,24 P,,55,0,51.2,13,3,10,0,100.0,2.26,,,,,,,,,0.0,0.0,,,0.0,
6,강건,24 P,,4,1,4.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
6,김택연,24 P,,60,0,65.0,7,1,6,0,100.0,0.97,,,,,,,,,0.0,0.0,,,0.0,
6,우규민,24 P,,44,0,43.1,7,1,5,1,85.7,1.25,,,,,,,,,0.0,0.0,,,0.0,
6,김원중,24 P,,54,0,63.1,10,3,6,1,90.0,1.28,,,,,,,,,0.0,0.0,,,0.0,
6,박민호,24 P,,19,0,22.2,1,0,1,0,100.0,0.4,,,,,,,,,0.0,0.0,,,0.0,
6,전상현,24 P,,66,0,66.0,9,2,6,1,88.9,1.09,,,,,,,,,0.0,0.0,,,0.0,
6,김재웅,24 P,,26,0,23.2,5,0,5,0,100.0,1.9,,,,,,,,,0.0,0.0,,,0.0,
6,김영규,24 P,,42,0,45.2,11,2,8,1,90.9,1.97,,,,,,,,,0.0,,,,0.0,
6,손동현,24 P,,41,0,47.1,8,3,3,2,75.0,1.14,,,,,,,,,0.0,0.0,,,0.0,
