선수,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,팀,pid,연도
페냐,투수,4.28,32,32,0,0,0,0,11,11,0,0,177.1,71,82,79.25,751,149,28,5,14,59,18,1,147,13,4,16,3.6,4.16,4.02,3.98,4.06,1.17,한화 이글스,15146,2021
문동주,투수,3.08,23,23,0,0,0,0,8,8,0,0,118.2,49,52,49.95,503,113,20,2,6,42,4,0,95,2,1,5,3.72,3.94,3.79,3.82,3.65,1.31,한화 이글스,15013,2021
산체스,투수,2.59,24,24,0,0,0,0,7,8,0,0,126.0,53,62,60.8,540,136,23,0,13,28,6,2,99,7,0,3,3.79,4.43,4.34,4.29,3.92,1.3,한화 이글스,15643,2021
주현상,투수,2.44,55,0,55,9,0,0,2,2,0,12,59.2,13,13,14.95,228,35,6,1,2,15,3,1,45,1,0,0,1.96,1.96,2.26,2.29,3.25,0.84,한화 이글스,11415,2021
이태양,투수,1.78,50,12,38,6,0,0,3,3,0,2,100.1,36,44,48.5,422,100,25,6,7,21,3,2,72,9,0,1,3.23,3.95,4.35,4.33,3.6,1.21,한화 이글스,10609,2021
윤대경,투수,1.39,47,0,47,10,0,0,5,1,0,2,47.2,13,18,15.95,199,36,9,1,4,19,6,0,28,2,0,2,2.45,3.4,3.01,2.92,5.01,1.15,한화 이글스,11110,2021
한승주,투수,0.85,47,6,41,12,0,0,1,4,0,2,70.2,31,34,37.65,320,81,16,2,6,31,4,2,55,1,0,5,3.95,4.33,4.8,4.75,4.45,1.58,한화 이글스,14621,2021
김기중,투수,0.82,37,6,31,6,0,0,1,3,0,1,56.1,29,33,29.2,253,58,9,3,4,29,9,1,46,2,0,2,4.63,5.27,4.67,4.67,4.69,1.54,한화 이글스,14808,2021
장시환,투수,0.65,38,0,38,7,0,0,2,2,1,7,34.2,13,13,15.75,153,32,4,0,1,21,4,1,24,1,0,3,3.38,3.38,4.09,4.12,4.61,1.53,한화 이글스,10453,2021
김규연,투수,0.53,23,0,23,14,0,0,0,1,1,0,19.2,6,7,6.65,85,16,2,1,0,10,2,0,20,1,0,2,2.75,3.2,3.04,3.07,3.2,1.32,한화 이글스,14871,2021
정우람,투수,0.34,52,0,52,7,0,0,0,1,0,8,40.1,24,24,22.2,183,45,8,2,3,17,2,0,30,2,0,3,5.36,5.36,4.95,4.98,4.34,1.54,한화 이글스,10156,2021
김범수,투수,0.28,76,0,76,5,0,0,5,5,1,18,62.1,29,33,35.8,283,64,10,0,3,33,3,5,52,4,0,4,4.19,4.76,5.17,5.15,3.93,1.56,한화 이글스,11411,2021
이민우,투수,0.24,17,0,17,0,0,0,2,1,0,2,13.2,4,6,6.15,57,8,0,0,2,6,0,0,11,3,0,1,2.63,3.95,4.05,4.24,4.94,1.02,한화 이글스,13003,2021
장민재,투수,0.11,25,13,12,6,0,0,3,8,0,1,69.0,37,46,47.55,308,79,13,2,12,22,5,2,61,4,0,5,4.83,6.0,6.2,6.2,4.83,1.46,한화 이글스,10610,2021
스미스,투수,0.1,1,1,0,0,0,0,0,0,0,0,2.2,2,2,0.8,12,3,0,0,0,0,1,0,2,0,0,0,6.75,6.75,2.7,2.82,3.14,1.13,한화 이글스,15540,2021
류원석,투수,0.03,1,0,1,1,0,0,0,0,0,0,2.0,1,1,1.0,8,1,0,0,0,0,1,0,1,0,0,1,4.5,4.5,4.5,4.13,4.15,0.5,한화 이글스,13251,2021
송윤준,투수,-0.05,4,0,4,1,0,0,0,0,0,0,4.1,4,4,4.0,19,4,2,0,0,2,0,0,3,0,1,0,8.31,8.31,8.31,7.72,3.55,1.38,한화 이글스,10748,2021
류희운,투수,-0.08,3,0,3,1,0,0,0,0,0,0,4.0,5,5,5.0,20,6,1,0,1,2,0,0,4,0,0,0,11.25,11.25,11.25,10.37,5.87,2.0,한화 이글스,12655,2021
박상원,투수,-0.1,55,0,55,40,0,0,5,3,16,0,61.2,25,35,37.75,277,63,9,3,2,29,3,4,57,5,0,2,3.65,5.11,5.51,5.51,3.38,1.49,한화 이글스,12871,2021
윤산흠,투수,-0.12,5,0,5,0,0,0,0,0,0,0,3.0,2,2,2.5,18,3,1,0,0,6,0,0,3,0,0,0,6.0,6.0,7.5,7.3,7.55,3.0,한화 이글스,14196,2021
박준영,투수,-0.16,4,0,4,1,0,0,0,0,0,0,4.1,9,9,5.9,23,2,0,0,0,8,0,0,7,0,0,1,18.69,18.69,12.25,12.19,5.53,2.31,한화 이글스,15014,2021
장지수,투수,-0.17,1,0,1,0,0,0,0,0,0,0,2.0,4,5,5.0,11,4,0,0,0,2,0,0,0,0,0,1,18.0,22.5,22.5,20.63,6.95,3.0,한화 이글스,14178,2021
김재영,투수,-0.19,6,0,6,3,0,0,0,0,0,0,8.0,9,9,8.3,40,13,2,1,2,2,2,0,5,0,0,0,10.13,10.13,9.34,9.41,6.81,1.88,한화 이글스,12547,2021
