선수,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,TBF,H,2B,3B,HR,BB,HP,SO,BK,WP,ERA,FIP,WHIP,WAR,팀,pid,연도,연봉(만원),신인여부,국적,선발투수,연봉등급
페냐,32,32,0,0,0,0,11,11,0,0,177.1,71,82,751,149,28,5,14,59,18,147,4,16,3.6,4.06,1.17,4.28,한화 이글스,15146,2024,65000,False,외국인,1,A
문동주,23,23,0,0,0,0,8,8,0,0,118.2,49,52,503,113,20,2,6,42,4,95,1,5,3.72,3.65,1.31,3.08,한화 이글스,15013,2024,10000,False,내국인,1,B
산체스,24,24,0,0,0,0,7,8,0,0,126.0,53,62,540,136,23,0,13,28,6,99,0,3,3.79,3.92,1.3,2.59,한화 이글스,15643,2024,50000,False,외국인,1,A
주현상,55,0,55,9,0,0,2,2,0,12,59.2,13,13,228,35,6,1,2,15,3,45,0,0,1.96,3.25,0.84,2.44,한화 이글스,11415,2024,11000,False,내국인,0,B
이태양,50,12,38,6,0,0,3,3,0,2,100.1,36,44,422,100,25,6,7,21,3,72,0,1,3.23,3.6,1.21,1.78,한화 이글스,10609,2024,50000,False,내국인,0,A
윤대경,47,0,47,10,0,0,5,1,0,2,47.2,13,18,199,36,9,1,4,19,6,28,0,2,2.45,5.01,1.15,1.39,한화 이글스,11110,2024,11000,False,내국인,0,B
한승주,47,6,41,12,0,0,1,4,0,2,70.2,31,34,320,81,16,2,6,31,4,55,0,5,3.95,4.45,1.58,0.85,한화 이글스,14621,2024,4500,False,내국인,0,D
김기중,37,6,31,6,0,0,1,3,0,1,56.1,29,33,253,58,9,3,4,29,9,46,0,2,4.63,4.69,1.54,0.82,한화 이글스,14808,2024,4400,False,내국인,0,D
장시환,38,0,38,7,0,0,2,2,1,7,34.2,13,13,153,32,4,0,1,21,4,24,0,3,3.38,4.61,1.53,0.65,한화 이글스,10453,2024,20000,False,내국인,0,B
김규연,23,0,23,14,0,0,0,1,1,0,19.2,6,7,85,16,2,1,0,10,2,20,0,2,2.75,3.2,1.32,0.53,한화 이글스,14871,2024,4100,False,내국인,0,D
정우람,52,0,52,7,0,0,0,1,0,8,40.1,24,24,183,45,8,2,3,17,2,30,0,3,5.36,4.34,1.54,0.34,한화 이글스,10156,2024,10000,False,내국인,0,B
김범수,76,0,76,5,0,0,5,5,1,18,62.1,29,33,283,64,10,0,3,33,3,52,0,4,4.19,3.93,1.56,0.28,한화 이글스,11411,2024,19300,False,내국인,0,B
이민우,17,0,17,0,0,0,2,1,0,2,13.2,4,6,57,8,0,0,2,6,0,11,0,1,2.63,4.94,1.02,0.24,한화 이글스,13003,2024,5600,False,내국인,0,C
장민재,25,13,12,6,0,0,3,8,0,1,69.0,37,46,308,79,13,2,12,22,5,61,0,5,4.83,4.83,1.46,0.11,한화 이글스,10610,2024,15000,False,내국인,1,B
박상원,55,0,55,40,0,0,5,3,16,0,61.2,25,35,277,63,9,3,2,29,3,57,0,2,3.65,3.38,1.49,-0.1,한화 이글스,12871,2024,19500,False,내국인,0,B
장지수,1,0,1,0,0,0,0,0,0,0,2.0,4,5,11,4,0,0,0,2,0,0,0,1,18.0,6.95,3.0,-0.17,한화 이글스,14178,2024,3200,False,내국인,0,D
