Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,pid,연도,수상횟수,연봉,샐러리캡,이후연봉
킹험,25,25,0,0,0,0,10,8,0,0,144.0,51,58,57.5,591,117,22,0,11,41,5,1,131,10,2,4,3.19,3.63,3.59,3.62,3.39,1.1,4.59,14582,2021,0.0,45500.0,415241,91000.0
김민우,29,28,1,0,0,0,14,10,0,0,155.1,69,71,66.2,662,131,23,1,15,76,7,1,125,5,1,5,4.0,4.11,3.84,3.93,4.56,1.33,4.4,11410,2021,0.0,9000.0,415241,19100.0
카펜터,31,30,1,0,0,0,5,12,0,0,170.0,75,90,87.75,746,150,21,3,16,72,19,0,179,16,1,7,3.97,4.76,4.65,4.78,3.91,1.31,3.25,14760,2021,0.0,52000.0,415241,71500.0
강재민,58,0,58,18,0,0,2,1,5,13,63.1,15,16,22.6,269,51,13,0,2,26,5,3,55,4,1,1,2.13,2.27,3.21,3.37,3.39,1.22,2.22,14708,2021,0.0,7900.0,415241,15000.0
윤대경,43,9,34,2,0,0,2,5,0,7,77.2,34,35,36.2,337,73,13,0,8,34,6,2,54,5,0,3,3.94,4.06,4.19,4.27,4.81,1.38,1.71,11110,2021,0.0,7700.0,415241,9730.0
주현상,43,0,43,6,0,0,2,2,0,4,50.1,20,21,24.6,218,46,6,3,6,21,1,2,33,3,0,6,3.58,3.75,4.4,4.39,4.78,1.33,0.97,11415,2021,0.0,3300.0,415241,5080.0
김범수,56,2,54,3,0,0,4,9,1,9,70.2,41,44,38.8,319,68,11,2,2,42,2,1,70,3,1,8,5.22,5.6,4.94,5.02,3.56,1.56,0.88,11411,2021,0.0,6500.0,415241,9680.0
김기중,15,12,3,0,0,0,2,4,0,0,53.2,28,32,32.0,260,63,10,1,4,36,4,2,36,3,2,0,4.7,5.37,5.37,5.54,5.29,1.84,0.59,14808,2021,0.0,18000.0,415241,18900.0
장민재,12,6,6,3,0,0,0,2,0,0,29.1,9,17,17.05,128,34,7,0,4,8,0,1,13,3,0,1,2.76,5.22,5.23,5.5,5.13,1.43,0.47,10610,2021,0.0,10000.0,415241,7600.0
송윤준,17,0,17,3,0,0,0,0,0,2,12.2,5,5,4.1,55,12,2,0,1,6,2,1,8,0,0,0,3.55,3.55,2.91,3.02,4.84,1.42,0.35,10748,2021,0.0,4000.0,415241,4100.0
윤호솔,55,0,55,13,0,0,3,0,0,8,48.2,25,29,32.9,214,41,13,2,7,30,3,1,42,5,0,3,4.62,5.36,6.08,6.27,5.36,1.46,0.05,11170,2021,0.0,3100.0,415241,6350.0
김종수,49,0,49,11,0,0,1,1,0,6,46.2,25,29,32.3,208,34,10,0,7,32,3,0,38,4,0,2,4.82,5.59,6.23,6.21,5.84,1.41,0.03,11117,2021,0.0,6100.0,415241,7900.0
남지민,3,3,0,0,0,0,0,1,0,0,7.1,6,6,5.15,41,9,2,0,1,7,3,0,3,0,0,0,7.36,7.36,6.32,6.52,8.59,2.18,0.02,14619,2021,0.0,3000.0,415241,3300.0
황영국,18,0,18,4,0,0,0,2,0,2,14.2,9,10,9.45,71,16,1,0,0,10,1,0,15,1,0,2,5.52,6.14,5.8,6.09,3.54,1.77,0.0,11278,2021,0.0,3300.0,415241,3400.0
신지후,2,0,2,0,0,0,0,0,0,0,0.1,0,2,0.5,3,0,0,0,0,1,0,0,0,1,0,0,0.0,54.0,13.5,15.48,13.07,3.0,-0.02,14620,2021,0.0,3000.0,415241,3100.0
윤산흠,5,0,5,1,0,0,0,0,0,0,3.0,2,2,2.85,19,7,0,0,0,2,2,0,2,0,0,0,6.0,6.0,8.55,8.42,6.23,3.0,-0.03,14196,2021,0.0,3000.0,415241,3100.0
김이환,14,5,9,2,0,0,0,1,0,0,26.0,22,22,19.3,132,32,5,0,2,22,4,0,13,1,0,1,7.62,7.62,6.68,6.78,6.53,2.08,-0.05,14128,2021,0.0,4100.0,415241,3500.0
강경학,1,0,1,0,0,0,0,0,0,0,0.2,4,4,4.0,8,3,1,0,0,2,1,0,0,0,0,0,54.0,54.0,54.0,56.68,17.72,7.5,-0.18,10676,2021,0.0,8700.0,415241,7000.0
김기탁,19,0,19,4,0,0,0,0,0,4,12.1,8,10,10.5,58,14,4,1,0,7,1,0,12,1,0,0,5.84,7.3,7.66,7.78,3.35,1.7,-0.22,12875,2021,0.0,3300.0,415241,3500.0
이충호,17,0,17,3,0,0,1,0,0,0,16.1,14,17,15.1,85,20,2,2,1,13,3,0,11,2,0,0,7.71,9.37,8.32,8.19,5.85,2.02,-0.24,11116,2021,0.0,3000.0,415241,3200.0
정우람,50,0,50,37,0,0,1,4,15,1,44.2,28,29,29.85,199,47,5,0,5,20,5,2,32,2,0,0,5.64,5.84,6.01,6.26,4.9,1.5,-0.24,10156,2021,0.0,80000.0,415241,80000.0
장시환,19,16,3,2,1,0,0,11,0,1,69.0,54,62,57.0,342,87,12,1,4,48,6,2,47,6,0,7,7.04,8.09,7.43,7.67,5.18,1.96,-0.36,10453,2021,0.0,15400.0,415241,21000.0
이승관,8,2,6,1,0,0,0,2,0,0,5.2,17,20,17.05,44,11,3,1,1,16,0,0,5,0,0,1,27.0,31.76,27.08,28.38,12.41,4.76,-0.82,13135,2021,0.0,3000.0,415241,3100.0
임준섭,13,0,13,2,0,0,0,0,0,0,10.2,13,18,17.8,64,19,5,0,1,8,4,0,11,3,1,1,10.97,15.19,15.02,16.6,5.79,2.53,-0.86,10795,2021,0.0,5800.0,415241,4000.0
신정락,20,0,20,4,0,0,0,2,0,2,20.0,19,24,26.45,102,25,6,1,3,15,3,2,14,2,0,0,8.55,10.8,11.9,12.12,6.28,2.0,-1.24,10516,2021,0.0,8000.0,415241,5400.0
켈리,30,30,0,0,0,0,13,8,0,0,177.0,62,64,63.15,744,160,25,0,12,60,11,3,142,7,1,7,3.15,3.25,3.21,3.38,3.76,1.24,5.89,13934,2021,0.0,130000.0,949698,156000.0
정우영,70,0,70,6,0,0,7,3,2,27,65.0,16,16,19.6,263,43,9,0,0,26,8,1,41,3,0,2,2.22,2.22,2.71,2.83,3.76,1.06,2.72,14136,2021,0.0,18000.0,949698,28000.0
고우석,63,0,63,61,0,0,1,5,30,0,58.0,14,15,16.9,240,47,10,1,3,23,3,5,68,1,0,1,2.17,2.33,2.62,2.75,2.63,1.21,2.63,12907,2021,0.0,18000.0,949698,27000.0
이민호,25,22,3,0,0,0,8,9,0,0,115.0,55,58,54.75,477,89,17,0,13,45,14,1,100,3,0,6,4.3,4.54,4.28,4.52,4.53,1.17,2.37,14589,2021,0.0,7000.0,949698,9800.0
김대유,64,0,64,3,0,0,4,1,0,24,50.2,12,13,15.1,209,32,1,0,2,15,9,0,56,2,0,2,2.13,2.31,2.68,2.83,2.94,0.93,2.01,10706,2021,0.0,4000.0,949698,12500.0
