선수,연봉(만원),WAR,WAR당 연봉,팀,pid,연도,팀연봉순위,전체연봉순위
정우람,80000,-0.40,-198244,한화 이글스,10156,2021,1,17
힐리,50000,0.63,79974,한화 이글스,14761,2021,2,39
이성열,40000,-0.07,-601907,한화 이글스,10168,2021,3,57
카펜터,30000,2.79,10768,한화 이글스,14760,2021,4,69
페레즈,30000,0.72,41833,한화 이글스,14991,2021,5,70
최재훈,26000,4.84,5367,한화 이글스,10170,2021,6,90
킹험,25000,4.20,5957,한화 이글스,14582,2021,7,94
노수광,17300,0.17,99751,한화 이글스,11268,2021,8,124
장시환,15400,-0.34,-44832,한화 이글스,10453,2021,9,143
하주석,13500,3.17,4254,한화 이글스,10913,2021,10,152
정은원,12000,4.46,2693,한화 이글스,13137,2021,11,157
정진호,12000,0.08,147045,한화 이글스,10645,2021,12,158
장민재,10000,0.41,24267,한화 이글스,10610,2021,13,179
김민우,9000,3.90,2305,한화 이글스,11410,2021,14,202
신정락,8000,-0.68,-11747,한화 이글스,10516,2021,15,214
강재민,7900,1.79,4410,한화 이글스,14708,2021,16,225
김진영,7900,0.05,151718,한화 이글스,12926,2021,17,226
윤대경,7700,1.39,5526,한화 이글스,11110,2021,18,227
김범수,6500,0.50,12872,한화 이글스,11411,2021,19,257
김종수,6100,-0.11,-56894,한화 이글스,11117,2021,20,264
노시환,6000,4.21,1424,한화 이글스,14125,2021,21,265
이해창,6000,-0.30,-20226,한화 이글스,10391,2021,22,266
임준섭,5800,-0.35,-16395,한화 이글스,10795,2021,23,280
이성곤,5400,0.90,6007,한화 이글스,11206,2021,24,291
김민하,4500,0.59,7603,한화 이글스,10777,2021,25,322
김이환,4100,-0.17,-23741,한화 이글스,14128,2021,26,346
백용환,4000,-0.62,-6485,한화 이글스,10003,2021,27,348
송윤준,4000,0.30,13196,한화 이글스,10748,2021,28,349
김진욱,3900,-,-,한화 이글스,13144,2021,29,364
서균,3700,-0.08,-43733,한화 이글스,11271,2021,30,371
문동욱,3600,0.05,65526,한화 이글스,11230,2021,31,379
임종찬,3600,-1.29,-2782,한화 이글스,14706,2021,32,380
장운호,3500,0.92,3785,한화 이글스,11122,2021,33,384
노태형,3400,-0.45,-7489,한화 이글스,11269,2021,34,402
박정현,3400,-0.18,-19293,한화 이글스,14704,2021,35,403
최인호,3400,0.89,3820,한화 이글스,14707,2021,36,404
조한민,3400,-0.33,-10374,한화 이글스,14210,2021,37,405
장웅정,3300,-0.10,-33828,한화 이글스,14714,2021,38,414
이동훈,3300,-0.51,-6475,한화 이글스,12526,2021,39,415
박주홍,3300,-0.08,-43602,한화 이글스,13136,2021,40,416
황영국,3300,-0.06,-57547,한화 이글스,11278,2021,41,417
오동욱,3300,-0.09,-36793,한화 이글스,14713,2021,42,418
김기탁,3300,-0.17,-19475,한화 이글스,12875,2021,43,419
주현상,3300,0.67,4898,한화 이글스,11415,2021,44,420
