Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
1,최재훈,21 C,1.717,108,100,842.0,765,702,62,1,99.9,8.17,0.11,,2.22,,0.32,1.83,3.51,,6.95,8.62,10.37,17.31,0.689,1.717,한화 이글스,10170
2,하주석,21 SS,0.692,113,111,923.2,376,131,231,14,96.3,3.53,-3.46,,0.0,0.99,,,,,-2.48,-2.58,9.46,6.98,-0.246,0.692,한화 이글스,10913
3,장운호,21 RF,0.503,59,34,349.0,88,85,3,0,100.0,2.27,6.07,0.08,0.48,,,,,,6.63,9.28,-1.56,5.07,0.658,0.503,한화 이글스,11122
4,노시환,21 3B,0.491,96,94,811.0,294,98,176,20,93.2,3.04,4.61,,-0.39,0.43,0.31,,,,4.96,6.67,0.0,4.96,0.491,0.491,한화 이글스,14125
5,박정현,21 2B,0.255,8,6,56.0,33,13,18,2,93.9,4.98,2.13,,0.07,0.14,,,,,2.34,10.21,0.23,2.57,0.232,0.255,한화 이글스,14704
6,최인호,21 LF,0.236,43,39,325.2,76,75,1,0,100.0,2.1,2.75,0.87,0.3,,,,,,3.91,11.5,-1.53,2.38,0.388,0.236,한화 이글스,14707
7,김민하,21 RF,0.215,20,12,118.0,30,28,1,1,96.7,2.21,1.57,0.99,0.16,,,,,,2.73,8.54,-0.56,2.17,0.271,0.215,한화 이글스,10777
8,정은원,21 2B,0.206,125,122,1015.2,511,219,279,13,97.5,4.41,-3.33,,0.28,-0.37,,,,,-3.41,-3.53,5.49,2.08,-0.338,0.206,한화 이글스,13137
9,김태연,21 3B,0.204,30,26,228.0,92,29,58,5,94.6,3.43,2.67,,-0.33,-0.38,0.1,,,,2.06,5.59,0.0,2.06,0.204,0.204,한화 이글스,12585
10,노수광,21 LF,0.194,10,7,66.0,22,21,1,0,100.0,3.0,1.31,0.9,0.06,,,,,,2.26,6.26,-0.3,1.96,0.224,0.194,한화 이글스,11268
11,이도윤,21 3B,0.183,17,4,66.2,26,6,19,1,96.2,3.38,1.43,,0.05,0.55,-0.18,,,,1.85,4.75,0.0,1.85,0.183,0.183,한화 이글스,11414
12,이해창,21 C,0.18,20,16,149.0,129,112,16,1,99.2,7.73,0.27,,-0.02,,-0.06,0.56,-0.54,,0.37,2.68,1.44,1.81,0.037,0.18,한화 이글스,10391
13,김민하,21 CF,0.178,6,5,42.0,18,16,1,1,94.4,3.64,1.79,0.46,-0.46,,,,,,1.79,5.61,0.0,1.79,0.178,0.178,한화 이글스,10777
14,김지수,21 RF,0.175,6,4,30.0,11,11,0,0,100.0,3.3,1.59,0.26,0.04,,,,,,1.89,24.81,-0.13,1.76,0.188,0.175,한화 이글스,12662
15,정진호,21 LF,0.175,41,38,302.2,82,77,3,2,97.6,2.38,4.04,-0.12,-0.72,,,,,,3.2,9.61,-1.44,1.76,0.318,0.175,한화 이글스,10645
16,김민하,21 LF,0.162,16,11,98.1,28,27,0,1,96.4,2.47,2.17,0.3,-0.41,,,,,,2.06,6.43,-0.42,1.64,0.204,0.162,한화 이글스,10777
17,강경학,21 2B,0.161,4,2,21.0,16,8,8,0,100.0,6.86,1.5,,0.03,,,,,,1.52,8.77,0.1,1.62,0.151,0.161,한화 이글스,10676
18,김태연,21 RF,0.125,18,17,119.0,33,30,3,0,100.0,2.5,0.85,0.93,0.16,,,,,,1.94,5.28,-0.68,1.26,0.193,0.125,한화 이글스,12585
19,정민규,21 1B,0.115,1,1,8.0,10,6,4,0,100.0,11.25,1.21,,0.01,,,,,,1.22,29.25,-0.06,1.16,0.121,0.115,한화 이글스,14813
20,김태연,21 2B,0.096,8,2,34.0,23,10,11,2,91.3,5.56,0.99,,-0.46,0.28,,,,,0.81,2.2,0.16,0.97,0.08,0.096,한화 이글스,12585
21,조한민,21 2B,0.095,9,4,41.0,23,12,10,1,95.7,4.83,1.49,,-0.45,-0.28,,,,,0.76,2.11,0.19,0.95,0.076,0.095,한화 이글스,14210
22,김현민,21 2B,0.089,3,1,13.0,7,2,5,0,100.0,4.85,0.95,,0.02,-0.11,,,,,0.85,24.46,0.05,0.9,0.084,0.089,한화 이글스,14209
23,이동훈,21 LF,0.082,4,0,10.0,3,3,0,0,100.0,2.7,1.08,-0.24,0.01,,,,,,0.85,3.69,-0.02,0.83,0.084,0.082,한화 이글스,12526
24,노시환,21 1B,0.061,5,0,12.2,10,9,1,0,100.0,7.11,0.71,,0.01,,,,,,0.72,0.96,-0.1,0.62,0.071,0.061,한화 이글스,14125
25,조한민,21 CF,0.06,3,2,16.0,4,4,0,0,100.0,2.25,0.58,0.01,0.02,,,,,,0.61,1.68,0.0,0.61,0.06,0.06,한화 이글스,14210
26,유로결,21 RF,0.056,3,2,19.0,3,3,0,0,100.0,1.42,0.04,0.58,0.03,,,,,,0.65,2.74,-0.08,0.57,0.064,0.056,한화 이글스,14126
27,박정현,21 SS,0.056,17,11,110.0,46,18,27,1,97.8,3.68,1.3,,-0.32,-1.45,,,,,-0.48,-2.09,1.04,0.56,-0.048,0.056,한화 이글스,14704
28,페레즈,21 2B,0.051,5,5,38.0,22,9,12,1,95.5,4.97,-0.06,,0.05,0.34,,,,,0.32,0.79,0.19,0.51,0.032,0.051,한화 이글스,14991
29,페레즈,21 SS,0.046,12,10,83.0,39,13,25,1,97.4,4.12,-1.16,,0.13,0.59,,,,,-0.43,-1.06,0.9,0.47,-0.043,0.046,한화 이글스,14991
30,페레즈,21 RF,0.033,6,3,28.0,6,6,0,0,100.0,1.93,1.02,-0.57,0.04,,,,,,0.49,1.2,-0.16,0.33,0.049,0.033,한화 이글스,14991
31,강경학,21 SS,0.021,1,0,3.0,3,2,1,0,100.0,9.0,0.0,,0.0,0.2,,,,,0.2,1.13,0.02,0.22,0.02,0.021,한화 이글스,10676
32,이성열,21 1B,0.019,10,7,64.0,52,46,5,1,98.1,7.17,0.7,,0.05,,,,,,0.76,2.37,-0.56,0.2,0.075,0.019,한화 이글스,10168
33,장규현,21 C,0.019,4,1,16.0,12,12,0,0,100.0,6.75,0.0,,0.05,,,0.0,0.0,,0.05,1.01,0.14,0.19,0.005,0.019,한화 이글스,14811
34,조한민,21 LF,0.014,9,7,54.0,17,15,1,1,94.1,2.67,1.03,-0.21,-0.45,,,,,,0.37,1.01,-0.22,0.15,0.036,0.014,한화 이글스,14210
35,강상원,21 RF,0.008,9,3,30.0,4,4,0,0,100.0,1.2,0.37,-0.21,0.04,,,,,,0.19,0.8,-0.11,0.08,0.019,0.008,한화 이글스,12564
36,정민규,21 2B,0.001,1,0,1.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.03,0.01,0.01,0.0,0.001,한화 이글스,14813
37,정진호,21 P,0.0,3,0,1.2,1,1,0,0,100.0,5.4,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,한화 이글스,10645
38,페레즈,21 LF,-0.005,10,10,68.0,9,8,0,1,88.9,1.06,0.26,-0.02,0.06,,,,,,0.3,0.74,-0.35,-0.05,0.03,-0.005,한화 이글스,14991
39,최인호,21 RF,-0.008,2,2,10.0,2,2,0,0,100.0,1.8,-0.05,,0.01,,,,,,-0.04,-0.12,-0.04,-0.08,-0.004,-0.008,한화 이글스,14707
