Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
최재훈,22 C,1.479,106,101,853.2,725,644,78,3,99.6,7.61,0.17,,1.15,,-0.41,1.74,2.67,,4.51,5.7,9.84,14.35,0.465,101709
이성곤,22 1B,0.048,28,20,175.1,174,161,11,2,98.9,8.83,1.94,,0.13,,0.0,,,,2.07,7.25,-1.6,0.47,0.213,112069
백용환,22 C,0.012,1,0,3.0,4,4,0,0,100.0,12.0,0.0,,0.01,,,,0.08,,0.06,2.32,0.05,0.11,0.007,100039
이해창,22 C,-0.024,4,3,26.0,21,19,2,0,100.0,7.27,-0.08,,0.08,,-0.29,-0.39,0.26,,-0.5,-17.97,0.26,-0.24,-0.051,103919
허관회,22 C,-0.084,5,1,13.0,14,13,1,0,100.0,9.69,-0.08,,0.04,,,-0.4,-0.71,,-0.94,-9.02,0.12,-0.82,-0.097,142049
박상언,22 C,-0.085,51,35,329.2,310,275,26,9,97.1,8.22,-0.48,,-2.38,,0.11,-0.99,-0.71,,-4.23,-10.89,3.41,-0.83,-0.436,125879
허인서,22 C,-0.115,8,4,43.0,35,33,1,1,97.1,7.12,-0.14,,-0.35,,,0.04,-1.6,,-1.57,-28.21,0.46,-1.11,-0.162,150159
김인환,22 1B,-0.118,75,71,603.2,629,567,57,5,99.2,9.3,4.59,,0.45,,-0.17,,,,4.88,6.21,-6.02,-1.14,0.503,125899
정민규,22 1B,-0.171,8,7,58.0,46,39,6,1,97.8,6.98,-0.65,,0.04,,-0.6,,,,-1.2,-19.24,-0.46,-1.66,-0.124,148139
장시환,22 P,,64,0,63.2,11,4,7,0,100.0,1.55,,,,,,,,,0.0,0.0,,,0.0,104539
김민우,22 P,,29,29,163.0,26,9,16,1,96.2,1.38,,,,,,,,,0.0,0.0,,,0.0,114109
문동주,22 P,,13,4,28.2,7,1,6,0,100.0,2.2,,,,,,,,,0.0,,,,0.0,150139
류희운,22 P,,7,0,6.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,126559
신정락,22 P,,44,0,47.0,16,6,10,0,100.0,3.06,,,,,,,,,0.0,0.0,,,0.0,105169
주현상,22 P,,49,0,55.1,12,4,8,0,100.0,1.95,,,,,,,,,0.0,0.0,,,0.0,114159
김범수,22 P,,78,0,66.0,17,5,11,1,94.1,2.18,,,,,,,,,0.0,0.0,,,0.0,114119
윤호솔,22 P,,52,0,42.1,4,1,2,1,75.0,0.64,,,,,,,,,0.0,0.0,,,0.0,111709
오지환,22 SS,1.729,142,137,1167.0,585,210,359,16,97.3,4.39,5.0,,0.96,-0.53,,,,,5.44,5.51,11.34,16.78,0.56,104756
유강남,22 C,1.41,134,116,1008.1,899,821,71,7,99.2,7.96,0.32,,0.17,,0.25,0.26,2.65,,2.86,2.96,10.82,13.68,0.294,107536
김기연,22 C,0.076,12,1,24.0,12,12,0,0,100.0,4.5,-0.08,,0.07,,,,0.75,,0.52,6.2,0.22,0.73,0.053,125496
허도환,22 C,0.031,63,27,254.2,224,211,13,0,100.0,7.92,-0.03,,0.78,,0.07,-0.26,-3.42,,-1.83,-4.12,2.14,0.3,-0.189,106846
김호은,22 1B,-0.003,1,0,3.0,2,2,0,0,100.0,6.0,-0.01,,0.0,,,,,,-0.01,-0.5,-0.02,-0.03,-0.001,125546
서건창,22 2B,-0.153,63,54,474.0,257,98,155,4,98.4,4.8,-3.68,,0.07,0.07,,,,,-3.54,-6.61,2.05,-1.49,-0.364,108556
