선수,연봉(만원),WAR,WAR당 연봉,팀,pid
최재훈,100000,2.06,48459,한화 이글스,10170
정우람,80000,0.20,395107,한화 이글스,10156
킹험,70000,0.46,151248,한화 이글스,14582
터크먼,70000,4.05,17268,한화 이글스,15012
페냐,40000,1.39,28851,한화 이글스,15146
카펜터,35000,0.66,53415,한화 이글스,14760
라미레즈,27500,1.39,19799,한화 이글스,15145
장시환,21000,0.30,69661,한화 이글스,10453
하주석,20090,0.97,20752,한화 이글스,10913
김민우,19100,3.24,5898,한화 이글스,11410
정은원,19080,2.81,6792,한화 이글스,13137
강재민,15000,0.27,54799,한화 이글스,14708
박상원,13300,0.18,74020,한화 이글스,12871
노수광,12840,1.69,7593,한화 이글스,11268
노시환,12000,2.07,5811,한화 이글스,14125
윤대경,9730,-0.46,-21213,한화 이글스,11110
김범수,9680,0.62,15517,한화 이글스,11411
김종수,7900,-0.65,-12210,한화 이글스,11117
장민재,7600,3.15,2416,한화 이글스,10610
이성곤,6400,0.20,32395,한화 이글스,11206
윤호솔,6350,-0.05,-123835,한화 이글스,11170
이해창,6000,-0.28,-21273,한화 이글스,10391
장진혁,5800,0.61,9446,한화 이글스,12583
김태연,5600,1.56,3599,한화 이글스,12585
김재영,5500,-0.48,-11370,한화 이글스,12547
신정락,5400,-0.28,-19114,한화 이글스,10516
장운호,5350,0.75,7181,한화 이글스,11122
주현상,5080,-0.64,-7950,한화 이글스,11415
이민우,4800,-0.24,-19602,한화 이글스,13003
송윤준,4100,-0.01,-591925,한화 이글스,10748
백용환,4000,-0.01,-446476,한화 이글스,10003
임준섭,4000,0.01,278100,한화 이글스,10795
김기중,3900,-0.11,-34431,한화 이글스,14808
이진영,3600,-0.09,-40741,한화 이글스,12539
임종찬,3600,-0.30,-11987,한화 이글스,14706
김기탁,3500,-,-,한화 이글스,12875
박정현,3500,1.46,2399,한화 이글스,14704
황영국,3400,-,-,한화 이글스,11278
이도윤,3400,-0.36,-9491,한화 이글스,11414
허관회,3370,-0.15,-22848,한화 이글스,14204
류희운,3300,-0.18,-18420,한화 이글스,12655
이원석,3300,-0.46,-7183,한화 이글스,13138
유로결,3300,-0.90,-3649,한화 이글스,14126
남지민,3300,-0.09,-35358,한화 이글스,14619
강상원,3250,0.00,26752274,한화 이글스,12564
이충호,3200,-0.05,-64257,한화 이글스,11116
박상언,3200,0.02,164932,한화 이글스,12587
김인환,3200,2.42,1323,한화 이글스,12589
박윤철,3200,0.09,35140,한화 이글스,14129
장규현,3200,-,-,한화 이글스,14811
장지승,3200,-,-,한화 이글스,14880
이승관,3100,-0.02,-124811,한화 이글스,13135
윤산흠,3100,0.93,3327,한화 이글스,14196
김건,3100,-,-,한화 이글스,14209
신지후,3100,-,-,한화 이글스,14620
송호정,3100,-,-,한화 이글스,14812
정민규,3100,-0.31,-10055,한화 이글스,14813
원혁재,3000,-0.42,-7175,한화 이글스,12872
이성원,3000,-,-,한화 이글스,13140
김민기,3000,-,-,한화 이글스,13141
권광민,3000,0.03,103566,한화 이글스,13676
변우혁,3000,-0.05,-55318,한화 이글스,14124
정이황,3000,-,-,한화 이글스,14127
한승주,3000,0.02,133323,한화 이글스,14621
최이경,3000,-,-,한화 이글스,14715
조은,3000,-,-,한화 이글스,14810
김규연,3000,-0.06,-46958,한화 이글스,14871
문승진,3000,-,-,한화 이글스,14874
이준기,3000,-,-,한화 이글스,14875
조현진,3000,-,-,한화 이글스,14877
안창호,3000,-,-,한화 이글스,14878
이종완,3000,-,-,한화 이글스,14879
