Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,pid,연봉(만원),WAR,WAR당 연봉,bat_G,PA,ePA,AB,R_y,H_y,2B_y,3B_y,HR_y,RBI,SB,CS,BB_y,HP_y,IB_y,SO_y,GDP,SH,SF,팀
이도윤,유격수,97,90,746.0,157,203,8,4.34,6.37,8.66,11414,3400,2.27,1501,106,346,331,309,36,78,13,2,1,13,11,3,18,4,1,55,6,15,0,한화 이글스
최재훈,포수,120,106,884.1,704,67,3,7.85,1.95,2.24,10170,80000,3.9,20492,125,417,407,327,23,81,12,0,1,33,1,1,56,23,1,48,9,9,2,한화 이글스
노시환,3루수,122,121,1065.2,114,228,19,2.89,3.61,3.97,14125,13100,6.82,1920,131,595,590,514,85,153,30,1,31,101,2,1,74,4,5,118,13,0,3,한화 이글스
박상언,포수,79,38,388.2,333,34,1,8.5,-0.15,-0.24,12587,3600,-0.3,-12106,86,161,158,145,13,29,5,1,1,13,1,2,10,1,0,38,6,3,2,한화 이글스
문현빈,2루수,54,42,358.0,77,102,5,4.5,1.36,1.42,15422,3000,1.87,1606,137,481,470,428,47,114,22,2,5,49,5,1,33,6,2,84,7,9,5,한화 이글스
정은원,2루수,101,92,797.2,188,245,8,4.89,-0.93,-1.09,13137,21800,1.03,21251,122,459,453,388,50,86,12,0,2,30,6,3,62,3,1,73,4,5,1,한화 이글스
이진영,우익수,80,53,509.1,127,9,4,2.4,4.75,5.65,12539,3900,3.6,1083,121,422,418,358,57,89,22,0,10,50,5,0,53,2,0,127,4,4,5,한화 이글스
이원석,중견수,64,25,294.1,93,3,2,2.94,1.76,3.13,13138,3300,0.25,12947,81,138,138,116,20,22,1,1,0,8,13,3,21,1,0,33,3,0,0,한화 이글스
오선진,2루수,8,3,30.0,14,7,0,6.3,1.64,2.62,10557,10000,0.02,472498,90,199,196,165,17,38,6,0,0,14,2,0,24,5,0,34,7,3,2,한화 이글스
김태연,우익수,30,26,188.2,45,2,1,2.24,2.45,3.88,12585,6000,1.41,4268,91,280,278,245,25,64,13,0,4,25,5,1,27,3,1,59,3,1,4,한화 이글스
최인호,좌익수,37,35,271.1,76,0,1,2.52,2.78,9.77,14707,3800,1.49,2545,41,148,146,131,23,39,5,3,2,11,1,0,10,4,0,22,2,2,1,한화 이글스
노수광,중견수,7,4,41.1,10,0,0,2.18,1.32,6.34,11268,10900,-0.12,-88193,30,94,92,77,6,17,5,0,0,4,2,1,13,0,0,27,3,2,2,한화 이글스
이도윤,2루수,15,2,57.0,14,22,0,5.68,1.09,1.48,11414,3400,2.27,1501,106,346,331,309,36,78,13,2,1,13,11,3,18,4,1,55,6,15,0,한화 이글스
김태연,2루수,6,5,41.0,8,21,1,6.37,0.88,1.39,12585,6000,1.41,4268,91,280,278,245,25,64,13,0,4,25,5,1,27,3,1,59,3,1,4,한화 이글스
문현빈,유격수,9,5,48.0,10,13,2,4.31,0.56,0.59,15422,3000,1.87,1606,137,481,470,428,47,114,22,2,5,49,5,1,33,6,2,84,7,9,5,한화 이글스
윌리엄스,우익수,21,21,159.0,33,1,2,1.92,1.82,3.86,15647,25000,-0.81,-30701,68,273,273,258,29,63,14,0,9,45,1,1,8,4,0,63,6,0,3,한화 이글스
오그레디,좌익수,15,15,126.2,36,1,0,2.63,1.41,9.21,15541,70000,-0.87,-80365,22,86,86,80,3,10,3,0,0,8,1,0,5,0,0,40,0,0,1,한화 이글스
김태연,3루수,9,4,38.0,3,4,0,1.66,0.77,1.22,12585,6000,1.41,4268,91,280,278,245,25,64,13,0,4,25,5,1,27,3,1,59,3,1,4,한화 이글스
권광민,1루수,8,1,20.0,20,2,1,9.9,0.89,1.95,13676,3100,-1.03,-2999,66,81,80,73,11,11,1,1,2,9,2,0,6,1,0,24,2,1,0,한화 이글스
이명기,좌익수,2,1,14.0,5,0,1,3.21,0.67,6.94,10119,5000,-0.29,-17008,14,42,42,40,2,7,1,0,0,5,1,0,2,0,0,9,0,0,0,한화 이글스
이진영,좌익수,21,15,140.1,34,0,1,2.18,1.2,1.42,12539,3900,3.6,1083,121,422,418,358,57,89,22,0,10,50,5,0,53,2,0,127,4,4,5,한화 이글스
이민준,유격수,4,0,8.0,1,1,0,2.25,0.49,17.69,15423,3000,0.05,63253,4,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,한화 이글스
유로결,좌익수,8,3,33.0,7,0,0,1.91,0.63,3.36,14126,3300,-0.45,-7413,27,53,52,48,5,7,1,0,0,5,1,0,1,1,0,10,3,1,2,한화 이글스
박정현,2루수,2,0,7.0,1,0,0,1.29,0.41,1.11,14704,4200,-0.33,-12799,53,113,110,105,12,19,6,0,2,4,0,0,3,2,0,36,2,3,0,한화 이글스
채은성,우익수,23,22,171.1,34,2,1,1.89,1.29,1.36,11215,180000,2.36,76221,137,596,593,521,71,137,17,0,23,84,0,0,52,20,8,102,16,0,3,한화 이글스
박정현,유격수,32,20,186.0,37,47,7,4.06,-1.1,-2.98,14704,4200,-0.33,-12799,53,113,110,105,12,19,6,0,2,4,0,0,3,2,0,36,2,3,0,한화 이글스
이재용,포수,2,0,4.0,2,0,0,4.5,0.33,23.9,12902,3100,0.04,76581,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,한화 이글스
김인환,좌익수,1,0,2.0,0,0,0,0.0,0.34,0.44,12589,6400,0.23,27855,112,365,365,325,34,73,16,0,7,42,1,0,35,2,2,91,4,0,3,한화 이글스
문현빈,3루수,1,0,1.0,1,1,0,18.0,0.29,0.31,15422,3000,1.87,1606,137,481,470,428,47,114,22,2,5,49,5,1,33,6,2,84,7,9,5,한화 이글스
