Name_x,포지션,pit_G,GR,GF,CG,SHO,W,L,S,HD,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,RA9,FIP,WHIP,팀,pid,Sort▼_y,fid_G,fid_GS,fid_IP,PO,Ass,E,F%,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,연봉(만원),WAR,WAR당 연봉,팀_y
양현종,투수,29,0,0,0,0,9,11,0,0,68,78,76.45,729,181,33,1,13,48,1,1,133,9,0,5,3.58,4.11,3.7,1.34,KIA 타이거즈,10058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000,3.54,14142,KIA 타이거즈
진해수,투수,19,19,3,0,0,0,0,0,2,6,8,9.2,72,18,3,0,2,10,0,0,12,1,0,3,3.68,4.91,5.54,1.91,LG 트윈스,10075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000,-0.01,-3024251,LG 트윈스
고효준,투수,73,73,7,0,0,4,1,0,13,29,31,29.8,262,49,3,0,3,42,3,0,66,3,0,4,4.5,4.81,4.03,1.57,SSG 랜더스,10124,0.0,70.0,0.0,58.0,1.0,8.0,2.0,81.8,1.4,0.0,0.0,8500,0.78,10840,SSG 랜더스
김광현,투수,30,0,0,0,0,9,8,0,0,66,75,72.75,713,163,30,0,11,70,2,0,119,9,0,5,3.53,4.01,4.19,1.38,SSG 랜더스,10126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000,4.48,22341,SSG 랜더스
박종훈,투수,18,2,0,0,0,2,6,0,0,55,57,56.65,382,77,13,1,8,60,19,0,56,4,0,2,6.19,6.41,6.35,1.71,SSG 랜더스,10131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000,0.39,129359,SSG 랜더스
송은범,투수,4,4,1,0,0,0,0,0,0,1,1,1.7,17,6,0,0,0,3,0,0,2,0,0,0,2.45,2.45,5.02,2.45,LG 트윈스,10137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000,0.04,390910,LG 트윈스
정우람,투수,52,52,7,0,0,0,1,0,8,24,24,22.2,183,45,8,2,3,17,2,0,30,2,0,3,5.36,5.36,4.34,1.54,한화 이글스,10156,0.0,52.0,0.0,40.1,0.0,1.0,0.0,100.0,0.22,0.0,0.0,50000,0.26,193563,한화 이글스
노경은,투수,76,76,6,0,0,9,5,2,30,33,33,36.45,357,78,13,2,4,36,4,5,65,4,0,8,3.58,3.58,3.81,1.37,SSG 랜더스,10203,0.0,74.0,0.0,83.0,6.0,8.0,1.0,93.3,1.52,0.0,0.0,17000,1.64,10340,SSG 랜더스
이용찬,투수,60,60,50,0,0,4,4,29,0,28,28,28.85,254,53,6,1,5,19,3,1,51,2,0,4,4.13,4.13,3.8,1.18,NC 다이노스,10217,0.0,60.0,0.0,61.0,7.0,9.0,1.0,94.1,2.36,0.0,0.0,40000,0.72,55281,NC 다이노스
이재학,투수,15,2,0,0,0,5,5,0,0,34,36,34.3,293,55,5,2,6,33,5,0,43,4,0,7,4.54,4.81,5.06,1.31,NC 다이노스,10220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000,1.16,17179,NC 다이노스
