Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,포지션
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
1,박동원,24 C,4.4,130,3.43,0.96,498,495,434,58,118,22,0,20,200,80,1,0,55,0,2,112,14,2,7,0.272,0.349,0.461,0.81,0.144,111.0,4.4,포수
2,강민호,24 C,3.32,136,3.02,0.3,452,450,403,48,122,19,1,19,200,77,3,0,35,8,2,52,17,0,6,0.303,0.365,0.496,0.861,0.161,115.6,3.32,포수
3,장성우,24 C,3.23,131,3.13,0.1,489,486,418,53,112,19,0,19,188,81,5,0,60,1,1,86,8,2,8,0.268,0.355,0.45,0.805,0.144,104.2,3.23,포수
4,양의지,24 C,3.21,119,3.4,-0.19,485,482,430,57,135,18,1,17,206,94,2,1,40,9,5,56,13,0,6,0.314,0.379,0.479,0.858,0.164,125.3,3.21,포수
5,최재훈,24 C,1.82,116,1.69,0.13,348,340,280,34,72,10,0,4,94,37,0,0,33,21,0,58,10,8,6,0.257,0.371,0.336,0.707,0.131,96.6,1.82,포수
6,한준수,24 C,1.54,115,1.66,-0.12,316,316,287,39,88,22,0,7,131,41,0,0,21,2,1,48,7,0,6,0.307,0.351,0.456,0.807,0.141,105.2,1.54,포수
7,이지영,24 C,1.53,123,0.96,0.57,432,425,398,45,111,11,1,5,139,50,8,1,18,7,0,35,10,7,2,0.279,0.32,0.349,0.669,0.097,70.1,1.53,포수
8,김기연,24 C,1.16,95,0.85,0.31,283,279,252,31,70,10,0,5,95,31,0,2,22,2,0,47,5,4,3,0.278,0.337,0.377,0.714,0.113,86.7,1.16,포수
9,김태군,24 C,1.13,105,0.81,0.32,270,259,235,24,62,7,0,7,90,34,0,0,12,11,0,24,14,11,1,0.264,0.328,0.383,0.711,0.115,85.3,1.13,포수
10,박세혁,24 C,0.48,82,0.69,-0.21,171,166,148,21,39,9,0,1,51,10,4,0,14,3,0,43,3,5,1,0.264,0.337,0.345,0.682,0.108,82.4,0.48,포수
11,박상언,24 C,0.47,27,0.48,-0.02,52,52,42,4,12,3,0,0,15,4,1,0,9,1,0,12,0,0,0,0.286,0.423,0.357,0.78,0.166,119.8,0.47,포수
12,조대현,24 C,0.46,26,0.17,0.29,45,40,36,2,11,2,0,0,13,3,0,0,3,0,0,12,1,5,1,0.306,0.35,0.361,0.711,0.113,81.4,0.46,포수
13,김형준,24 C,0.42,119,0.31,0.11,414,407,354,39,69,12,0,17,132,50,0,0,45,2,0,144,6,7,6,0.195,0.285,0.373,0.658,0.086,64.9,0.42,포수
14,강현우,24 C,0.34,18,0.46,-0.12,36,34,26,4,8,1,0,1,12,8,0,0,8,0,0,10,0,2,0,0.308,0.471,0.462,0.933,0.216,161.1,0.34,포수
15,안중열,24 C,0.23,10,0.29,-0.06,25,25,21,5,6,1,0,2,13,4,0,0,3,0,0,7,0,0,1,0.286,0.36,0.619,0.979,0.187,138.4,0.23,포수
16,김건희,24 C,0.22,83,0.37,-0.16,283,283,261,27,67,15,0,9,109,38,0,0,18,0,0,82,7,0,4,0.257,0.3,0.418,0.718,0.103,79.2,0.22,포수
17,김준태,24 C,0.15,23,0.15,0.0,30,30,25,6,6,2,0,0,8,3,0,0,5,0,0,6,0,0,0,0.24,0.367,0.32,0.687,0.122,91.3,0.15,포수
18,이주헌,24 C,0.13,3,0.22,-0.09,6,6,6,0,4,2,0,0,6,3,0,0,0,0,0,2,0,0,0,0.667,0.667,1.0,1.667,0.487,367.5,0.13,포수
19,류현준,24 C,0.12,2,0.11,0.01,3,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.667,0.667,1.0,1.667,0.487,380.3,0.12,포수
20,이병헌,24 C,0.1,95,0.23,-0.13,166,164,145,9,36,4,0,1,43,9,0,0,17,2,0,48,0,2,0,0.248,0.335,0.297,0.632,0.094,66.8,0.1,포수
21,유강남,24 C,0.08,52,-0.08,0.16,155,153,136,11,26,3,0,5,44,20,0,0,9,7,0,25,4,2,1,0.191,0.275,0.324,0.599,0.071,50.3,0.08,포수
22,손성빈,24 C,0.08,86,0.19,-0.11,171,170,152,24,30,6,2,6,58,21,0,0,13,3,0,38,3,1,2,0.197,0.271,0.382,0.653,0.082,58.7,0.08,포수
23,김민수,24 C,0.07,9,0.09,-0.02,8,8,8,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0.25,0.25,0.625,0.875,0.136,99.8,0.07,포수
24,전준호,24 C,-0.01,3,-0.03,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-134.5,-0.01,포수
