Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
1,박동원,25 C,0.876,81,63,579.0,528,476,47,5,99.1,8.13,0.31,,-0.02,,-0.14,0.04,2.4,,1.86,3.05,6.74,8.61,0.19,0.876,포수
2,김태군,25 C,0.864,61,53,437.2,422,373,46,3,99.3,8.62,0.7,,0.0,,0.55,0.05,4.21,,4.24,9.69,4.25,8.49,0.432,0.864,포수
3,김형준,25 C,0.845,70,60,515.1,475,435,37,3,99.4,8.24,-0.06,,0.26,,-0.25,1.31,2.12,,2.75,5.43,5.54,8.3,0.28,0.845,포수
4,강민호,25 C,0.841,78,61,562.2,526,496,29,1,99.8,8.4,0.56,,1.44,,0.06,-0.98,0.92,,1.73,3.16,6.53,8.26,0.176,0.841,포수
5,조형우,25 C,0.678,63,52,453.2,476,439,36,1,99.8,9.42,0.61,,1.07,,-0.1,1.14,-1.05,,1.98,4.52,4.68,6.66,0.201,0.678,포수
6,양의지,25 C,0.668,66,64,504.1,451,415,32,4,99.1,7.98,0.17,,-0.28,,-0.08,0.25,0.54,,0.44,0.72,6.12,6.56,0.045,0.668,포수
7,장성우,25 C,0.656,76,69,578.1,539,504,31,4,99.3,8.33,-1.61,,0.99,,0.35,-0.9,1.04,,-0.44,-0.76,6.89,6.45,-0.045,0.656,포수
8,이재원,25 C,0.553,70,25,296.1,318,288,26,4,98.7,9.54,0.83,,-1.0,,0.06,0.88,3.09,,2.93,6.04,2.5,5.43,0.299,0.553,포수
9,유강남,25 C,0.4,63,58,391.2,376,348,27,1,99.7,8.62,-0.29,,0.85,,-0.1,-0.39,-1.23,,-0.8,-1.56,4.73,3.93,-0.082,0.4,포수
10,최재훈,25 C,0.372,76,66,509.1,578,532,43,3,99.5,10.16,1.0,,0.24,,0.13,-0.88,-2.92,,-1.56,-2.95,5.21,3.65,-0.159,0.372,포수
11,정보근,25 C,0.364,70,30,339.0,343,322,19,2,99.4,9.05,-0.91,,0.67,,-0.13,0.19,0.85,,0.41,0.84,3.17,3.58,0.041,0.364,포수
12,김건희,25 C,0.346,55,44,386.0,321,287,30,4,98.8,7.39,0.04,,-0.69,,-0.42,0.7,-0.64,,-0.82,-2.11,4.22,3.4,-0.084,0.346,포수
