Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
1,안현민,25 RF,4.61,63,4.69,-0.08,271,269,224,44,80,10,3,16,144,54,5,0,42,5,2,37,2,0,0,0.357,0.469,0.643,1.112,0.255,214.6,4.61
2,김성윤,25 CF,3.03,72,2.73,0.30,288,281,244,52,81,18,3,2,111,31,15,3,34,2,0,32,6,7,1,0.332,0.416,0.455,0.871,0.180,142.9,3.03
3,케이브,25 RF,2.80,82,2.28,0.51,356,355,324,41,100,20,2,8,148,48,13,0,24,2,1,73,4,0,6,0.309,0.354,0.457,0.811,0.142,123.9,2.80
4,이주형,25 CF,2.64,77,2.20,0.44,312,311,266,34,67,10,0,9,104,25,8,1,30,16,1,71,3,0,0,0.252,0.362,0.391,0.753,0.136,125.0,2.64
5,레이예스,25 LF,2.59,92,2.57,0.02,409,401,369,52,125,29,0,10,184,70,4,1,33,1,9,48,16,0,6,0.339,0.389,0.499,0.888,0.161,131.2,2.59
6,김현수,25 LF,2.34,90,2.44,-0.10,355,355,303,43,88,16,0,7,125,58,3,0,48,3,0,47,8,0,1,0.290,0.392,0.413,0.805,0.159,138.5,2.34
7,박해민,25 CF,2.25,91,1.50,0.75,347,332,281,44,71,8,2,1,86,21,31,10,44,6,0,69,5,15,1,0.253,0.364,0.306,0.670,0.119,103.9,2.25
8,권희동,25 LF,1.99,83,2.15,-0.16,299,295,232,40,57,17,0,4,86,26,2,2,53,10,0,52,8,4,0,0.246,0.407,0.371,0.778,0.164,138.6,1.99
9,정수빈,25 CF,1.98,87,1.61,0.37,362,356,305,61,79,9,0,5,103,27,19,8,44,6,1,36,5,5,2,0.259,0.361,0.338,0.699,0.122,106.4,1.98
