선수,연봉(만원),WAR,WAR당 연봉,팀,pid,연도
채은성,180000.0,2.36,76221,한화 이글스,11215,2023
최재훈,80000.0,3.90,20492,한화 이글스,10170,2023
스미스,104000.0,0.09,756875,한화 이글스,15540,2023
오그레디,91000.0,-0.87,-80365,한화 이글스,15541,2023
이태양,66000.0,1.44,45702,한화 이글스,10609,2023
페냐,55000.0,4.20,13083,한화 이글스,15146,2023
정우람,50000.0,0.26,193563,한화 이글스,10156,2023
산체스,40000.0,2.51,15960,한화 이글스,15643,2023
장시환,28000.0,0.52,53948,한화 이글스,10453,2023
윌리엄스,25000.0,-0.81,-30701,한화 이글스,15647,2023
김민우,22800.0,-0.46,-49756,한화 이글스,11410,2023
정은원,21800.0,1.03,21251,한화 이글스,13137,2023
강재민,15000.0,-0.64,-23513,한화 이글스,14708,2023
김범수,14100.0,0.17,84338,한화 이글스,11411,2023
박상원,13300.0,-0.18,-75459,한화 이글스,12871,2023
노시환,13100.0,6.82,1920,한화 이글스,14125,2023
장민재,11500.0,0.05,223567,한화 이글스,10610,2023
노수광,10900.0,-0.12,-88193,한화 이글스,11268,2023
오선진,10000.0,0.02,472498,한화 이글스,10557,2023
하주석,10000.0,-0.58,-17260,한화 이글스,10913,2023
윤대경,9000.0,1.08,8310,한화 이글스,11110,2023
김종수,8900.0,-,-,한화 이글스,11117,2023
김인환,6400.0,0.23,27855,한화 이글스,12589,2023
한승혁,6200.0,-0.26,-23712,한화 이글스,10812,2023
장진혁,6000.0,-0.44,-13624,한화 이글스,12583,2023
김태연,6000.0,1.41,4268,한화 이글스,12585,2023
주현상,5800.0,2.21,2621,한화 이글스,11415,2023
김재영,5300.0,-0.14,-38416,한화 이글스,12547,2023
이민우,5100.0,0.16,32490,한화 이글스,13003,2023
이명기,5000.0,-0.29,-17008,한화 이글스,10119,2023
장운호,5000.0,-0.08,-63382,한화 이글스,11122,2023
이성곤,4800.0,-0.20,-24185,한화 이글스,11206,2023
윤산흠,4800.0,-0.14,-34278,한화 이글스,14196,2023
남지민,4300.0,-0.14,-31683,한화 이글스,14619,2023
박정현,4200.0,-0.33,-12799,한화 이글스,14704,2023
이진영,3900.0,3.60,1083,한화 이글스,12539,2023
최인호,3800.0,1.49,2545,한화 이글스,14707,2023
박상언,3600.0,-0.30,-12106,한화 이글스,12587,2023
김기중,3600.0,0.67,5394,한화 이글스,14808,2023
송윤준,3500.0,-0.04,-99340,한화 이글스,10748,2023
류원석,3500.0,0.02,198876,한화 이글스,13251,2023
이도윤,3400.0,2.27,1501,한화 이글스,11414,2023
박윤철,3400.0,-0.09,-39271,한화 이글스,14129,2023
류희운,3300.0,-0.06,-59419,한화 이글스,12655,2023
이원석,3300.0,0.25,12947,한화 이글스,13138,2023
유로결,3300.0,-0.45,-7413,한화 이글스,14126,2023
허관회,3300.0,-0.27,-12371,한화 이글스,14204,2023
문동주,3300.0,2.96,1115,한화 이글스,15013,2023
유상빈,3300.0,-0.03,-127240,한화 이글스,15141,2023
이충호,3200.0,-0.10,-32240,한화 이글스,11116,2023
장지수,3200.0,-0.05,-58276,한화 이글스,14178,2023
장지승,3200.0,-0.06,-53377,한화 이글스,14880,2023
원혁재,3100.0,-,-,한화 이글스,12872,2023
이재용,3100.0,0.04,76581,한화 이글스,12902,2023
이승관,3100.0,-,-,한화 이글스,13135,2023
권광민,3100.0,-1.03,-2999,한화 이글스,13676,2023
김건,3100.0,-0.35,-8914,한화 이글스,14209,2023
신지후,3100.0,-,-,한화 이글스,14620,2023
한승주,3100.0,0.57,5440,한화 이글스,14621,2023
정민규,3100.0,-,-,한화 이글스,14813,2023
김규연,3100.0,0.46,6801,한화 이글스,14871,2023
박준영,3100.0,-0.08,-37897,한화 이글스,15014,2023
이재민,3100.0,-,-,한화 이글스,15020,2023
이성원,3000.0,-,-,한화 이글스,13140,2023
김민기,3000.0,-,-,한화 이글스,13141,2023
정이황,3000.0,-,-,한화 이글스,14127,2023
김현우,3000.0,-,-,한화 이글스,14166,2023
김범준,3000.0,-,-,한화 이글스,14710,2023
오세훈,3000.0,-,-,한화 이글스,14835,2023
안진,3000.0,-,-,한화 이글스,14876,2023
양경모,3000.0,-,-,한화 이글스,15017,2023
김겸재,3000.0,-,-,한화 이글스,15018,2023
노석진,3000.0,-,-,한화 이글스,15022,2023
민승기,3000.0,-,-,한화 이글스,15137,2023
이상혁,3000.0,-0.16,-18204,한화 이글스,15139,2023
김서현,3000.0,-0.24,-12563,한화 이글스,15421,2023
문현빈,3000.0,1.87,1606,한화 이글스,15422,2023
이민준,3000.0,0.05,63253,한화 이글스,15423,2023
김관우,3000.0,-,-,한화 이글스,15424,2023
김해찬,3000.0,-,-,한화 이글스,15425,2023
한서구,3000.0,-,-,한화 이글스,15426,2023
송성훈,3000.0,-,-,한화 이글스,15427,2023
최원준,3000.0,-,-,한화 이글스,15428,2023
박재규,3000.0,-,-,한화 이글스,15429,2023
천보웅,3000.0,-,-,한화 이글스,15430,2023
김예준,3000.0,-,-,한화 이글스,15431,2023
이정재,3000.0,-,-,한화 이글스,15628,2023
고영재,3000.0,-,-,한화 이글스,15629,2023
이석제,3000.0,-,-,한화 이글스,15630,2023
성지훈,3000.0,-,-,한화 이글스,15631,2023
김석훈,3000.0,-,-,한화 이글스,15632,2023
한경빈,3000.0,-,-,한화 이글스,15633,2023
켈리,105000.0,3.41,30748,LG 트윈스,13934,2023
김현수,100000.0,2.19,45737,LG 트윈스,10187,2023
플럿코,80000.0,4.58,17476,LG 트윈스,15003,2023
오지환,60000.0,5.14,11668,LG 트윈스,10475,2023
박해민,60000.0,4.80,12494,LG 트윈스,11190,2023
고우석,43000.0,0.53,81646,LG 트윈스,12907,2023
정우영,40000.0,-0.74,-54168,LG 트윈스,14136,2023
오스틴,40000.0,5.74,6973,LG 트윈스,15532,2023
최원태,35000.0,3.20,10921,LG 트윈스,11379,2023
박동원,30000.0,2.92,10290,LG 트윈스,10387,2023
홍창기,30000.0,7.91,3793,LG 트윈스,12546,2023
진해수,25000.0,-0.01,-3024251,LG 트윈스,10075,2023
