선수,연도,기존pid,연봉,이후연봉,예측연봉,포지션,연봉순서,개선순서,2024FA,외국인
노시환,2024,14125,35000.0,33000.0,35163.986,3루수,79,79,False,False
최재훈,2024,10170,92000.0,82000.0,78469.422,포수,44,40,False,False
황영묵,2024,16110,3000.0,8300.0,9952.2,2루수,216,221,False,False
안치홍,2024,10014,50000.0,50000.0,44875.032,1루수,63,60,False,False
최인호,2024,14707,4800.0,6800.0,7243.4,좌익수,251,273,False,False
김태연,2024,12585,7800.0,14600.0,15585.766,3루수,152,151,False,False
이도윤,2024,11414,7500.0,11000.0,12474.64,유격수,181,188,False,False
장진혁,2024,12583,5800.0,11500.0,11338.95,중견수,179,199,False,False
문현빈,2024,15422,23000.0,8800.0,15402.694,중견수,210,153,False,False
박상언,2024,12587,4200.0,4200.0,4408.96,포수,335,395,False,False
권광민,2024,13676,3300.0,3800.0,3910.67,좌익수,365,419,False,False
하주석,2024,10913,7000.0,9000.0,7906.8,유격수,207,249,True,False
유로결,2024,14126,3300.0,3500.0,3725.37,우익수,389,433,False,False
한경빈,2024,15633,3000.0,3100.0,3383.17,유격수,445,467,False,False
장규현,2024,14811,3200.0,3300.0,3337.95,포수,416,473,False,False
이진영,2024,12539,7000.0,6200.0,6219.3,우익수,263,300,False,False
이상혁,2024,15139,3100.0,3500.0,3456.4,우익수,388,457,False,False
이원석,2024,13138,3600.0,5000.0,5379.05,중견수,301,341,False,False
임종찬,2024,14706,3400.0,3700.0,3903.4,우익수,367,420,False,False
이재원,2024,10082,5000.0,10000.0,8470.7,포수,199,235,True,False
김인환,2024,12589,6900.0,5500.0,6020.1,1루수,287,310,False,False
홍창기,2024,12546,51000.0,65000.0,62335.82,우익수,53,48,False,False
문보경,2024,14137,30000.0,41000.0,43672.564,3루수,66,64,False,False
오지환,2024,10475,30000.0,30000.0,31365.57,유격수,90,91,False,False
신민재,2024,13056,11500.0,20000.0,22475.932,2루수,121,111,False,False
문성주,2024,13112,20000.0,18000.0,19934.382,좌익수,130,126,False,False
구본혁,2024,14140,7000.0,13500.0,13806.95,2루수,158,170,False,False
최원영,2024,15084,3000.0,4000.0,4320.37,좌익수,352,401,False,False
이주헌,2024,15081,3000.0,3300.0,3402.74,포수,418,465,False,False
김주성,2024,12545,3500.0,3500.0,3598.49,3루수,383,445,False,False
