,Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉(만원)
0,최재훈,23 C,1.18,120,106,884.1,774,704,67,3,99.6,7.85,0.65,,0.8,,-0.02,0.36,0.23,,1.95,2.24,9.62,11.57,0.199,101709,3.23,125,3.03,0.2,417,407,327,23,81,12,0,1,96,33,1,1,56,23,1,48,9,9,2,0.248,0.392,0.294,0.686,0.131,111.6,80000
1,박상언,23 C,0.347,79,38,388.2,368,333,34,1,99.7,8.5,-0.39,,0.51,,-0.02,-0.17,-0.12,,-0.15,-0.24,3.55,3.41,-0.015,125879,-0.35,86,-0.34,-0.01,161,158,145,13,29,5,1,1,39,13,1,2,10,1,0,38,6,3,2,0.2,0.253,0.269,0.522,0.045,37.9,3600
2,정은원,23 2B,0.32,101,92,797.2,441,188,245,8,98.2,4.89,-2.03,,0.67,0.43,,,,,-0.93,-1.09,4.06,3.13,-0.095,131379,0.74,122,0.83,-0.09,459,453,388,50,86,12,0,2,104,30,6,3,62,3,1,73,4,5,1,0.222,0.333,0.268,0.601,0.089,76.1,21800
3,최인호,23 LF,0.137,37,35,271.1,77,76,0,1,98.7,2.52,3.09,-0.3,-0.01,,,,,,2.78,9.77,-1.44,1.34,0.284,147079,1.11,41,0.82,0.28,148,146,131,23,39,5,3,2,56,11,1,0,10,4,0,22,2,2,1,0.298,0.363,0.427,0.79,0.146,125.0,3800
4,이민준,23 SS,0.054,4,0,8.0,2,1,1,0,100.0,2.25,0.47,,0.02,,,,,,0.49,17.69,0.04,0.53,0.05,154239,0.07,4,0.02,0.05,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.166,136.1,3000
5,이재용,23 C,0.039,2,0,4.0,2,2,0,0,100.0,4.5,0.0,,0.01,,,,0.46,,0.33,23.9,0.05,0.38,0.034,129029,0.03,2,-0.01,0.03,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.222,173.2,3100
6,유상빈,23 RF,0.022,1,1,8.0,1,1,0,0,100.0,1.13,0.23,,0.02,,,,,,0.24,11.74,-0.03,0.21,0.025,151419,-0.01,3,-0.03,0.02,8,8,6,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0.25,0.0,0.25,0.005,4.2,3300
7,이성곤,23 1B,-0.045,1,0,3.0,3,3,0,0,100.0,9.0,-0.43,,0.01,,,,,,-0.42,-7.6,-0.02,-0.44,-0.043,112069,-0.25,8,-0.21,-0.04,16,15,14,2,2,0,0,0,2,0,0,0,1,0,0,3,0,1,0,0.143,0.2,0.143,0.343,-0.019,-15.7,4800
8,이상혁,23 CF,-0.098,2,0,6.0,2,2,0,0,100.0,3.0,-0.66,-0.31,0.01,,,,,,-0.96,-19.72,0.0,-0.96,-0.098,151399,-0.18,7,-0.08,-0.1,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.167,-130.0,3000
9,허관회,23 C,-0.136,8,0,14.2,15,14,0,1,93.3,8.59,-0.88,,0.04,,,-0.19,-0.57,,-1.43,-20.63,0.1,-1.34,-0.146,142049,-0.34,10,-0.19,-0.15,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.167,-139.5,3300
10,하주석,23 SS,-0.154,23,4,84.0,36,11,23,2,94.4,3.64,-2.73,,0.2,0.38,,,,,-2.15,-12.36,0.64,-1.51,-0.219,109139,-0.53,25,-0.31,-0.22,38,38,35,4,4,1,0,0,5,2,0,0,2,1,0,10,0,0,0,0.114,0.184,0.143,0.327,-0.022,-18.3,10000
11,박상원,23 P,,55,0,61.2,18,3,14,1,94.4,2.48,,,,,,,,,0.0,0.0,,,0.0,128719,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,13300
12,장지승,23 LF,,1,0,2.0,0,0,0,0,0.0,0.0,-0.38,,0.0,,,,,,-0.38,-18.19,,,-0.039,148809,-0.11,3,-0.08,-0.04,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.167,-145.6,3200
13,정우람,23 P,,52,0,40.1,1,0,1,0,100.0,0.22,,,,,,,,,0.0,,,,0.0,101569,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,50000
14,윤대경,23 P,,47,0,47.2,7,1,6,0,100.0,1.32,,,,,,,,,0.0,0.0,,,0.0,111109,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,9000
15,이태양,23 P,,50,12,100.1,19,6,13,0,100.0,1.7,,,,,,,,,0.0,0.0,,,0.0,106099,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,66000
16,박준영,23 P,,4,0,4.1,1,0,1,0,100.0,2.08,,,,,,,,,0.0,0.0,,,0.0,150149,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3100
17,김서현,23 P,,20,1,22.1,4,0,4,0,100.0,1.61,,,,,,,,,0.0,0.0,,,0.0,154219,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
18,강재민,23 P,,43,0,43.1,5,0,5,0,100.0,1.04,,,,,,,,,0.0,,,,0.0,147089,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15000
19,오지환,23 SS,1.36,125,115,1010.2,465,176,275,14,97.0,4.02,3.31,,-0.59,0.68,,,,,3.4,3.88,9.94,13.34,0.346,104756,5.01,126,4.66,0.35,502,498,422,65,113,24,3,8,167,62,16,7,64,8,0,82,4,4,4,0.268,0.371,0.396,0.767,0.144,127.0,60000
20,박동원,23 C,1.24,128,112,982.0,831,751,72,8,99.0,7.54,-0.64,,-1.42,,0.14,1.9,1.55,,1.07,1.18,11.09,12.15,0.109,103876,4.13,130,4.02,0.11,481,471,409,54,102,17,1,20,181,75,0,1,49,7,3,90,7,8,8,0.249,0.334,0.443,0.777,0.134,117.7,30000
21,박해민,23 CF,0.92,142,136,1187.2,343,338,2,3,99.1,2.58,8.18,0.81,0.03,,,,,,9.02,9.02,0.0,9.02,0.92,111906,3.35,144,2.43,0.92,558,534,485,80,138,14,2,6,174,59,26,12,45,3,0,74,7,24,1,0.285,0.348,0.359,0.707,0.117,103.4,60000
22,허도환,23 C,0.195,45,21,212.0,176,168,8,0,100.0,7.47,-0.2,,0.55,,,-0.63,0.48,,0.06,0.18,1.85,1.91,0.006,106846,-0.03,47,-0.04,0.01,81,74,64,8,9,3,0,2,18,10,0,0,3,6,0,20,3,7,1,0.141,0.243,0.281,0.524,0.053,46.0,10000
23,전준호,23 C,0.005,2,0,3.0,4,4,0,0,100.0,12.0,0.0,,0.01,,,-0.04,0.08,,0.02,1.51,0.02,0.05,0.002,128646,-0.02,2,-0.02,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.167,-140.9,3200
24,이천웅,23 LF,-0.03,2,0,2.0,0,0,0,0,0.0,0.0,-0.29,,0.0,,,,,,-0.28,-10.19,-0.01,-0.29,-0.029,109356,0.13,4,0.16,-0.03,3,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.612,520.1,8000
25,송대현,23 SS,-0.082,3,0,6.0,3,1,1,1,66.7,3.0,-0.86,,0.01,,,,,,-0.84,-30.37,0.04,-0.8,-0.086,154926,-0.16,4,-0.07,-0.09,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.167,-150.8,3000
26,김범석,23 1B,-0.251,5,5,43.0,45,38,5,2,95.6,9.0,-0.85,,-0.42,,-0.79,,,,-2.06,-29.73,-0.4,-2.46,-0.211,154846,-0.47,10,-0.26,-0.21,29,29,27,3,3,1,0,1,7,4,0,0,1,0,0,5,1,0,1,0.111,0.138,0.259,0.397,-0.018,-15.9,3000
