Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼
1,폰세,25 P,6.21,19,19,0,0,0,0,12,0,0,0,121.2,25,28,25.6,460,76,11,0,7,27,4,0,169,3,3,5,1.85,2.07,1.89,1.94,1.86,0.85,6.21
2,네일,25 P,4.77,18,18,0,0,0,0,5,2,0,0,109.1,29,31,30.3,436,86,14,1,4,26,12,0,99,4,0,2,2.39,2.55,2.49,2.49,3.12,1.02,4.77
3,후라도,25 P,4.5,19,19,0,2,2,1,8,7,0,0,121.1,38,45,44.5,500,119,8,2,13,25,3,0,92,4,0,2,2.82,3.34,3.3,3.0,3.95,1.19,4.5
4,앤더슨,25 P,4.4,19,19,0,0,0,0,6,5,0,0,109.2,28,34,32.45,443,78,11,1,8,32,6,1,160,4,0,5,2.3,2.79,2.66,2.67,2.16,1.0,4.4
5,임찬규,25 P,3.93,18,18,0,1,1,1,8,3,0,0,108.2,35,38,35.45,444,101,27,1,6,30,4,1,73,4,0,0,2.9,3.15,2.94,3.03,3.78,1.21,3.93
6,와이스,25 P,3.67,19,19,0,0,0,0,10,3,0,0,111.1,42,45,44.3,458,91,17,0,10,28,6,0,131,5,1,3,3.4,3.64,3.58,3.33,2.94,1.07,3.67
7,소형준,25 P,3.67,17,17,0,0,0,0,7,3,0,0,103.1,33,36,35.3,426,99,17,2,3,22,3,1,91,4,0,3,2.87,3.14,3.07,3.06,2.72,1.17,3.67
8,라일리,25 P,3.58,18,18,0,0,0,0,11,4,0,0,108.2,36,42,38.9,441,79,15,1,11,36,2,0,139,10,0,3,2.98,3.48,3.22,3.28,2.96,1.06,3.58
9,잭로그,25 P,3.45,18,18,0,0,0,0,5,7,0,0,108.2,39,44,41.55,443,84,16,1,5,31,10,0,92,8,0,2,3.23,3.64,3.44,3.46,3.47,1.06,3.45
10,오원석,25 P,3.45,17,17,0,0,0,0,10,4,0,0,95.2,31,35,32.45,396,78,14,0,6,42,4,1,84,5,0,4,2.92,3.29,3.05,3.02,3.92,1.25,3.45
11,데이비슨,25 P,3.41,19,19,0,0,0,0,8,5,0,0,107.1,42,45,43.8,460,106,18,1,8,43,5,0,106,2,1,4,3.52,3.77,3.67,3.52,3.68,1.39,3.41
12,로건,25 P,3.15,19,19,0,0,0,0,5,8,0,0,110.1,38,46,43.75,484,100,18,1,6,45,7,2,89,12,0,4,3.1,3.75,3.57,3.63,3.92,1.31,3.15
13,화이트,25 P,3.12,14,14,0,1,1,0,7,3,0,0,80.2,22,26,24.95,327,59,7,2,4,26,3,0,86,7,0,3,2.45,2.9,2.78,2.78,2.91,1.05,3.12
